actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-28T01:11:02.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-28T01:11:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-28T01:11:06.3Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2023-12-28T01:11:06Z,40000,False,,,0,,Jump Ball J. Nurkic vs. A. Sengun: Tip to D. Booker,"[1626164, 203994, 1630578]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Nurkic,203994.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-12-28T01:11:21.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,6.1268068331143235,59.31372549019608,1610612756,0,0,2023-12-28T01:11:33Z,70000,False,-47.0,5.0,1,left,MISS J. Nurkic turnaround bank Shot,[203994],1610612756.0,PHX,turnaround bank,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,4.69,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-12-28T01:11:22.8Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2023-12-28T01:11:33Z,80000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2023-12-28T01:11:33.7Z,1,REGULAR,3pt,Jump Shot,[],1630578,67.23061760840999,49.754901960784316,1610612745,0,0,2023-12-28T01:11:40Z,90000,False,-1.0,256.0,1,right,MISS A. Sengun 25' 3PT,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Center,25.55,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2023-12-28T01:11:35.7Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,0,0,2023-12-28T01:11:40Z,100000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M20.00S,2023-12-28T01:11:40.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628960,30.56833114323259,23.774509803921568,1610612756,0,0,2023-12-28T01:11:57Z,110000,False,131.0,235.0,1,left,MISS G. Allen 26' running pullup 3PT,[1628960],1610612756.0,PHX,running pullup,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,26.89,Missed,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2023-12-28T01:11:47.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,0,0,2023-12-28T01:11:47Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Above the Break 3,24+ Right Center,,,11.0,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2023-12-28T01:12:08.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201142,8.623521681997373,75.73529411764706,1610612756,0,0,2023-12-28T01:12:34Z,140000,False,-129.0,29.0,1,left,MISS K. Durant 13' Jump Shot,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,13.18,Missed,,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2023-12-28T01:12:09.4Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,0,0,2023-12-28T01:12:15Z,150000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M00.00S,2023-12-28T01:12:17.8Z,1,REGULAR,2pt,Jump Shot,[],1630224,78.9257555847569,68.87254901960785,1610612745,2,0,2023-12-28T01:12:25Z,160000,False,94.0,146.0,1,right,J. Green 17' pullup Jump Shot (2 PTS),[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,17.35,Made,,,,,2.0,,,,,,,,,,,,,
17,PT10M49.00S,2023-12-28T01:12:30.3Z,1,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,2,0,2023-12-28T01:12:37Z,170000,False,,,0,,D. Booker bad pass out-of-bounds TURNOVER (1 TO),[1626164],1610612756.0,PHX,bad pass,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right,,,,,,,,203591.0,1.0,,,,,,,,,,,
18,PT10M33.00S,2023-12-28T01:12:51.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630224,78.53153745072274,47.05882352941176,1610612745,4,0,2023-12-28T01:12:59Z,180000,False,-15.0,149.0,1,right,J. Green 15' fadeaway Jump Shot (4 PTS),[1630224],1610612745.0,HOU,fadeaway,,,Green,J. Green,,,,,Mid-Range,8-16 Center,15.0,Made,,,,,4.0,,,,,,,,,,,,,
19,PT10M20.00S,2023-12-28T01:13:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,6.258212877792378,43.872549019607845,1610612756,4,2,2023-12-28T01:13:12Z,190000,False,31.0,6.0,1,left,E. Gordon driving finger roll Layup (2 PTS),[201569],1610612756.0,PHX,driving finger roll,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,3.12,Made,,,,,2.0,,,,,,,,,,,,,
