actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-22T00:11:20.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-22T00:11:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-22T00:11:22.8Z,1,REGULAR,jumpball,recovered,[],1628415,,,1610612745,0,0,2024-03-22T00:11:22Z,40000,False,,,0,,Jump Ball J. Smith Jr. vs. N. Vucevic: Tip to D. Brooks,"[1628415, 1631095, 202696]",1610612745.0,HOU,startperiod,D. Brooks,1628415.0,Brooks,D. Brooks,Smith Jr.,1631095.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2024-03-22T00:11:27.0Z,1,REGULAR,3pt,Jump Shot,[],1631095,28.991458607095925,27.696078431372552,1610612745,0,0,2024-03-22T00:11:35Z,70000,False,112.0,220.0,1,left,MISS J. Smith Jr. 24' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,24.66,Missed,,,,,,,,,,,,,,,,,,
8,PT11M52.00S,2024-03-22T00:11:28.0Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,0,0,2024-03-22T00:11:53Z,80000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M49.00S,2024-03-22T00:12:58.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,0,0,2024-03-22T00:12:58Z,100000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M36.00S,2024-03-22T00:14:42.7Z,1,REGULAR,2pt,Jump Shot,[],201942,93.24901445466492,70.34313725490196,1610612741,0,0,2024-03-22T00:15:06Z,110000,False,102.0,11.0,1,right,MISS D. DeRozan 10' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Right,10.23,Missed,,,,,,,,,,,,,,,,,,
12,PT11M34.00S,2024-03-22T00:14:44.7Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2024-03-22T00:14:49Z,120000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Right,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M21.00S,2024-03-22T00:14:58.8Z,1,REGULAR,foul,personal,[],1627936,,,1610612745,0,0,2024-03-22T00:15:15Z,130000,False,,,0,,A. Caruso personal FOUL (1 PF),"[1627936, 1630224]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Left Center,,,,,,,200832.0,1.0,0.0,Green,1630224.0,,,,,,,,,
15,PT11M09.00S,2024-03-22T00:15:42.1Z,1,REGULAR,2pt,Jump Shot,[],1631095,18.347568988173457,72.79411764705883,1610612745,0,0,2024-03-22T00:16:00Z,150000,False,-114.0,120.0,1,left,MISS J. Smith Jr. 16' pullup Shot,[1631095],1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Left Center,16.55,Missed,,,,,,,,,,,,,,,,,,
16,PT11M08.00S,2024-03-22T00:15:43.1Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,0,0,2024-03-22T00:15:48Z,160000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M58.00S,2024-03-22T00:15:53.1Z,1,REGULAR,turnover,bad pass,[],1630245,,,1610612741,0,0,2024-03-22T00:15:56Z,170000,False,,,0,,A. Dosunmu bad pass TURNOVER (1 TO),"[1630245, 1627832]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1.0,VanVleet,1627832.0,,,,,,
18,PT10M58.00S,2024-03-22T00:15:53.1Z,1,REGULAR,steal,,[],1627832,,,1610612745,0,0,2024-03-22T00:15:54Z,180000,False,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
19,PT10M55.00S,2024-03-22T00:15:56.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630224,5.732588699080158,49.26470588235294,1610612745,2,0,2024-03-22T00:16:10Z,190000,False,4.0,1.0,1,left,J. Green running finger roll Layup (2 PTS),[1630224],1610612745.0,HOU,running finger roll,,,Green,J. Green,,,,,Restricted Area,0-8 Center,0.4,Made,,,,,,,,,,,,,2.0,,,,,
20,PT10M26.00S,2024-03-22T00:16:24.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,92.32917214191852,42.15686274509804,1610612741,2,2,2024-03-22T00:16:32Z,200000,False,-39.0,20.0,1,right,A. Dosunmu driving finger roll Layup (2 PTS) (A. Caruso 1 AST),"[1630245, 1627936]",1610612741.0,CHI,driving finger roll,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),0-8 Center,4.38,Made,,,,,,,,,,,,,2.0,A. Caruso,1627936.0,1.0,,
22,PT10M17.00S,2024-03-22T00:16:33.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,5.863994743758213,46.32352941176471,1610612745,4,2,2024-03-22T00:17:06Z,220000,False,18.0,3.0,1,left,D. Brooks driving Layup (2 PTS) (F. VanVleet 1 AST),"[1628415, 1627832]",1610612745.0,HOU,driving,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,1.86,Made,,,,,,,,,,,,,2.0,F. VanVleet,1627832.0,1.0,,
24,PT10M11.00S,2024-03-22T00:16:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,92.9862023653088,51.9607843137255,1610612741,4,4,2024-03-22T00:16:45Z,240000,False,10.0,13.0,1,right,A. Dosunmu driving Layup (4 PTS),[1630245],1610612741.0,CHI,driving,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,1.66,Made,,,,,,,,,,,,,4.0,,,,,
25,PT09M53.00S,2024-03-22T00:16:58.1Z,1,REGULAR,2pt,Jump Shot,[],1631095,8.623521681997373,17.647058823529413,1610612745,4,4,2024-03-22T00:17:04Z,250000,False,162.0,29.0,1,left,MISS J. Smith Jr. 16' Jump Shot,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Right,16.43,Missed,,,,,,,,,,,,,,,,,,
26,PT09M52.00S,2024-03-22T00:16:59.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,4,4,2024-03-22T00:17:04Z,260000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Right,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M43.00S,2024-03-22T00:17:09.3Z,1,REGULAR,foul,personal,['2freethrow'],1627832,,,1610612741,4,4,2024-03-22T00:17:25Z,270000,False,,,0,,F. VanVleet shooting personal FOUL (1 PF) (Vucevic 2 FT),"[1627832, 202696]",1610612745.0,HOU,shooting,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,201638.0,1.0,0.0,Vucevic,202696.0,,,,,,,,,
29,PT09M43.00S,2024-03-22T00:17:37.4Z,1,REGULAR,freethrow,1 of 2,[],202696,,,1610612741,4,4,2024-03-22T00:17:37Z,290000,False,,,0,,MISS N. Vucevic Free Throw 1 of 2,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
30,PT09M43.00S,2024-03-22T00:17:37.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,4,4,2024-03-22T00:17:37Z,300000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,
31,PT09M43.00S,2024-03-22T00:17:51.5Z,1,REGULAR,freethrow,2 of 2,[],202696,,,1610612741,4,5,2024-03-22T00:17:51Z,310000,False,,,0,,N. Vucevic Free Throw 2 of 2 (1 PTS),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
32,PT09M27.00S,2024-03-22T00:18:09.4Z,1,REGULAR,3pt,Jump Shot,[],1630224,31.35676741130092,31.862745098039213,1610612745,4,5,2024-03-22T00:18:15Z,320000,False,91.0,242.0,1,left,MISS J. Green 25' step back 3PT,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,25.87,Missed,,,,,,,,,,,,,,,,,,
33,PT09M27.00S,2024-03-22T00:18:09.4Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,4,5,2024-03-22T00:18:15Z,330000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:2),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Right Center,,,32.0,2.0,2.0,0.0,,,,,,,,,,,,,,
34,PT09M20.00S,2024-03-22T00:18:18.4Z,1,REGULAR,foul,personal,[],1631095,,,1610612741,4,5,2024-03-22T00:18:28Z,340000,False,,,0,,J. Smith Jr. personal FOUL (1 PF),"[1631095, 202696]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,200832.0,1.0,0.0,Vucevic,202696.0,,,,,,,,,
