actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-12T01:11:22.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-12T01:11:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-12T01:11:24.7Z,1,REGULAR,jumpball,recovered,[],1631103,,,1610612759,0,0,2023-12-12T01:11:24Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. A. Sengun: Tip to M. Branham,"[1631103, 1641705, 1630578]",1610612759.0,SAS,startperiod,M. Branham,1631103.0,Branham,M. Branham,Wembanyama,1641705.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2023-12-12T01:11:32.6Z,1,REGULAR,2pt,Jump Shot,[],1631110,19.004599211563733,69.6078431372549,1610612759,0,2,2023-12-12T01:37:28Z,70000,False,-98.0,126.0,1,left,J. Sochan 15' turnaround Jump Shot (2 PTS) (M. Branham 1 AST),"[1631110, 1631103]",1610612759.0,SAS,turnaround,,,Sochan,J. Sochan,,,,,Mid-Range,8-16 Left,15.97,Made,2.0,M. Branham,1631103.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2023-12-12T01:11:57.6Z,1,REGULAR,2pt,Jump Shot,[],1630578,80.3712220762155,29.411764705882355,1610612745,0,2,2023-12-12T01:12:04Z,90000,False,-103.0,132.0,1,right,MISS A. Sengun 16' fadeaway Shot,[1630578],1610612745.0,HOU,fadeaway,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Left Center,16.74,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2023-12-12T01:11:59.6Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,0,2,2023-12-12T01:12:04Z,100000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Left Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M16.00S,2023-12-12T01:12:07.0Z,1,REGULAR,turnover,out-of-bounds,[],1641705,,,1610612759,0,2,2023-12-12T01:12:25Z,110000,False,,,0,,V. Wembanyama step out-of-bounds TURNOVER (1 TO),[1641705],1610612759.0,SAS,step,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1627529.0,1.0,,,,,,,,
12,PT11M05.00S,2023-12-12T01:12:27.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630578,88.25558475689881,49.01960784313725,1610612745,0,2,2023-12-12T01:12:33Z,120000,False,-5.0,58.0,1,right,MISS A. Sengun Hook,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,5.81,Missed,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2023-12-12T01:12:30.2Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,0,2,2023-12-12T01:12:30Z,130000,False,,,0,,A. Sengun REBOUND (Off:1 Def:0),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,
14,PT10M58.00S,2023-12-12T01:12:34.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631095,81.2910643889619,37.745098039215684,1610612745,0,2,2023-12-12T01:12:40Z,140000,False,-61.0,123.0,1,right,MISS J. Smith Jr. 13' Jump Shot,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,13.78,Missed,,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2023-12-12T01:12:35.9Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,0,2,2023-12-12T01:12:40Z,150000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:2),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,
