actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-27T01:11:13.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-27T01:11:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-12-27T01:11:15.0Z,1,REGULAR,jumpball,recovered,[],1628415,,,1610612745,0,0,2023-12-27T01:11:15Z,40000,False,,,0,,Jump Ball A. Sengun vs. M. Turner: Tip to D. Brooks,"[1628415, 1630578, 1626167]",1610612745.0,HOU,startperiod,D. Brooks,1628415.0,Brooks,D. Brooks,Sengun,1630578.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M56.00S,2023-12-27T01:11:17.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,92.19776609724047,58.333333333333336,1610612745,0,0,2023-12-27T01:11:29Z,70000,False,42.0,21.0,1,right,MISS D. Brooks driving Layup - blocked,"[1628415, 1630188]",1610612745.0,HOU,driving,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,4.66,Missed,Smith,1630188.0,,,,,,,,,,,,,,,,
8,PT11M56.00S,2023-12-27T01:11:17.5Z,1,REGULAR,block,,[],1630188,,,1610612745,0,0,2023-12-27T01:11:29Z,80000,False,,,0,,J. Smith BLOCK (1 BLK),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M56.00S,2023-12-27T01:11:17.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,0,0,2023-12-27T01:11:29Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M50.00S,2023-12-27T01:11:40.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630578,92.06636005256242,53.18627450980392,1610612745,2,0,2023-12-27T01:11:46Z,110000,False,16.0,22.0,1,right,A. Sengun cutting DUNK (2 PTS) (F. VanVleet 1 AST),"[1630578, 1627832]",1610612745.0,HOU,cutting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,2.72,Made,,,,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,
13,PT11M32.00S,2023-12-27T01:11:56.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,6.1268068331143235,45.83333333333333,1610612754,2,0,2023-12-27T01:12:07Z,130000,False,21.0,5.0,1,left,MISS J. Smith driving reverse Layup,[1630188],1610612754.0,IND,driving reverse,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,2.14,Missed,,,,,,,,,,,,,,,,,,
14,PT11M31.00S,2023-12-27T01:11:57.9Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,0,2023-12-27T01:12:07Z,140000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,13.0,,,,,1.0,1.0,0.0,,,,,,,,
15,PT11M27.00S,2023-12-27T01:12:02.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631095,75.3777923784494,12.5,1610612745,2,0,2023-12-27T01:12:30Z,150000,False,-188.0,179.0,1,right,MISS J. Smith Jr. 25' running 3PT,[1631095],1610612745.0,HOU,running,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,25.92,Missed,,,,,,,,,,,,,,,,,,
16,PT11M26.00S,2023-12-27T01:12:03.8Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,2,0,2023-12-27T01:12:13Z,160000,False,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Left Center,,,,,15.0,,,,,1.0,1.0,0.0,,,,,,,,
