actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-24T01:11:23.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-24T01:11:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-24T01:11:26.3Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2024-02-24T01:11:26Z,40000,False,,,0,,Jump Ball D. Eubanks vs. A. Sengun: Tip to D. Booker,"[1626164, 1629234, 1630578]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Eubanks,1629234.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-02-24T01:11:37.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628960,14.931011826544022,56.86274509803921,1610612756,0,2,2024-02-24T01:11:43Z,70000,False,-34.0,88.0,1,left,G. Allen 9' driving floating Jump Shot (2 PTS) (K. Durant 1 AST),"[1628960, 201142]",1610612756.0,PHX,driving floating,,,Allen,G. Allen,,,,,In The Paint (Non-RA),8-16 Center,9.44,Made,2.0,K. Durant,201142.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-02-24T01:11:52.8Z,1,REGULAR,3pt,Jump Shot,[],1627832,75.3777923784494,86.76470588235294,1610612745,3,2,2024-02-24T01:18:24Z,90000,False,184.0,179.0,1,right,F. VanVleet 25' 3PT pullup (3 PTS),[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,25.65,Made,3.0,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2024-02-24T01:12:02.7Z,1,REGULAR,2pt,Jump Shot,[],1626164,23.340998685939553,41.911764705882355,1610612756,3,2,2024-02-24T01:12:11Z,100000,False,40.0,167.0,1,left,MISS D. Booker 17' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,17.17,Missed,,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2024-02-24T01:12:03.7Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,3,2,2024-02-24T01:12:11Z,110000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M07.00S,2024-02-24T01:12:16.4Z,1,REGULAR,turnover,bad pass,[],1627832,,,1610612745,3,2,2024-02-24T01:12:21Z,120000,False,,,0,,F. VanVleet bad pass TURNOVER (1 TO),"[1627832, 1628960]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Allen,1628960.0,,,,,,,
13,PT11M07.00S,2024-02-24T01:12:16.4Z,1,REGULAR,steal,,[],1628960,,,1610612756,3,2,2024-02-24T01:12:18Z,130000,False,,,0,,G. Allen STEAL (1 STL),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2024-02-24T01:12:22.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1626164,16.90210249671485,40.68627450980392,1610612756,3,4,2024-02-24T01:12:33Z,140000,False,47.0,106.0,1,left,D. Booker 11' running pullup Jump Shot (2 PTS),[1626164],1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,11.62,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M49.00S,2024-02-24T01:12:34.2Z,1,REGULAR,turnover,lost ball,[],1630224,,,1610612745,3,4,2024-02-24T01:12:39Z,150000,False,,,0,,J. Green lost ball TURNOVER (1 TO),"[1630224, 201569]",1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,Gordon,201569.0,,,,,,,
