actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-10-29T23:13:55.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-29T23:13:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-10-29T23:13:57.7Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2023-10-29T23:13:57Z,40000,False,,,0,,Jump Ball A. Sengun vs. K. Looney: Tip to J. Smith Jr.,"[1631095, 1630578, 1626172]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-10-29T23:14:16.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,17.821944809461236,49.26470588235294,1610612745,0,0,2023-10-29T23:14:21Z,70000,False,4.0,115.0,1,left,MISS D. Brooks 11' pullup Shot,[1628415],1610612745.0,HOU,pullup,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,11.51,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2023-10-29T23:14:19.9Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2023-10-29T23:14:21Z,80000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2023-10-29T23:14:31.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,93.24901445466492,57.84313725490197,1610612744,0,0,2023-10-29T23:14:40Z,90000,False,39.0,11.0,1,right,MISS A. Wiggins driving Layup - blocked,"[203952, 1630224]",1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,4.07,Missed,,,,,Green,1630224.0,,,,,,,,,,,,
10,PT11M23.00S,2023-10-29T23:14:31.7Z,1,REGULAR,block,,[],1630224,,,1610612744,0,0,2023-10-29T23:14:34Z,100000,False,,,0,,J. Green BLOCK (1 BLK),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2023-10-29T23:14:31.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,0,0,2023-10-29T23:14:40Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Restricted Area,0-8 Center,,,9.0,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2023-10-29T23:14:59.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,6.521024967148489,47.549019607843135,1610612745,2,0,2023-10-29T23:15:04Z,130000,False,12.0,9.0,1,left,J. Green driving finger roll Layup (2 PTS),[1630224],1610612745.0,HOU,driving finger roll,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.51,Made,,,,,,,2.0,,,,,,,,,,,
14,PT10M43.00S,2023-10-29T23:15:15.5Z,1,REGULAR,3pt,Jump Shot,[],201939,66.5735873850197,61.029411764705884,1610612744,2,0,2023-10-29T23:15:23Z,140000,False,55.0,262.0,1,right,MISS S. Curry 26' step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,26.74,Missed,,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2023-10-29T23:15:16.5Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,2,0,2023-10-29T23:15:23Z,150000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M27.00S,2023-10-29T23:15:32.5Z,1,REGULAR,3pt,Jump Shot,[],1631095,28.597240473061763,13.970588235294118,1610612745,5,0,2023-10-29T23:15:36Z,160000,False,180.0,216.0,1,left,J. Smith Jr. 28' 3PT  (3 PTS) (A. Sengun 1 AST),"[1631095, 1630578]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,28.15,Made,,,,,,,3.0,A. Sengun,1630578.0,1.0,,,,,,,,
18,PT10M04.00S,2023-10-29T23:15:55.0Z,1,REGULAR,2pt,Jump Shot,[],202691,94.56307490144546,72.05882352941177,1610612744,5,2,2023-10-29T23:16:45Z,180000,False,110.0,-1.0,1,right,K. Thompson 11' step back Jump Shot (2 PTS),[202691],1610612744.0,GSW,step back,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Right,11.03,Made,,,,,,,2.0,,,,,,,,,,,
