actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-25T01:10:54.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-25T01:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-25T01:10:56.9Z,1,REGULAR,jumpball,recovered,[],202704,,,1610612743,0,0,2023-11-25T01:10:56Z,40000,False,,,0,,Jump Ball N. Jokic vs. A. Sengun: Tip to R. Jackson,"[202704, 203999, 1630578]",1610612743.0,DEN,startperiod,R. Jackson,202704.0,Jackson,R. Jackson,Jokic,203999.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-11-25T01:11:15.3Z,1,REGULAR,2pt,Jump Shot,[],203999,17.296320630749015,25.735294117647058,1610612743,0,2,2023-11-25T01:11:21Z,70000,False,121.0,110.0,1,left,N. Jokic 16' Jump Shot (2 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,16-24 Right Center,16.38,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M18.00S,2023-11-25T01:11:34.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,85.49605781865965,50.73529411764706,1610612745,0,2,2023-11-25T01:11:39Z,80000,False,4.0,84.0,1,right,MISS A. Sengun 8' Hook,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,8.39,Missed,,,,,,,,,,,,,,,,,,
9,PT11M17.00S,2023-11-25T01:11:35.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,2,2023-11-25T01:11:44Z,90000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M05.00S,2023-11-25T01:11:48.2Z,1,REGULAR,3pt,Jump Shot,[],203999,30.17411300919842,31.372549019607842,1610612743,0,5,2023-11-25T01:11:52Z,100000,False,93.0,231.0,1,left,N. Jokic 24' 3PT  (5 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Right Center,24.91,Made,5.0,,,,,,,,,,,,,,,,,
11,PT10M49.00S,2023-11-25T01:12:04.8Z,1,REGULAR,3pt,Jump Shot,[],1627832,68.67608409986859,63.23529411764706,1610612745,3,5,2023-11-25T01:12:09Z,110000,False,66.0,242.0,1,right,F. VanVleet 25' 3PT  (3 PTS) (A. Sengun 1 AST),"[1627832, 1630578]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,25.08,Made,3.0,,,,,A. Sengun,1630578.0,1.0,,,,,,,,,,
14,PT10M28.00S,2023-11-25T01:12:25.1Z,1,REGULAR,turnover,bad pass,[],202704,,,1610612743,3,5,2023-11-25T01:12:28Z,130000,False,,,0,,R. Jackson bad pass TURNOVER (1 TO),"[202704, 1630224]",1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Green,1630224.0,,,,,,,
15,PT10M28.00S,2023-11-25T01:12:25.1Z,1,REGULAR,steal,,[],1630224,,,1610612745,3,5,2023-11-25T01:12:26Z,140000,False,,,0,,J. Green STEAL (1 STL),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M23.00S,2023-11-25T01:12:29.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631095,93.24901445466492,50.73529411764706,1610612745,5,5,2023-11-25T01:12:35Z,150000,False,4.0,11.0,1,right,J. Smith Jr. running DUNK (2 PTS) (J. Green 1 AST),"[1631095, 1630224]",1610612745.0,HOU,running,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,1.16,Made,2.0,,,,,J. Green,1630224.0,1.0,,,,,,,,,,
