actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-26T00:12:39.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-26T00:12:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-26T00:12:42.0Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2024-02-26T00:12:42Z,40000,False,,,0,,Jump Ball C. Holmgren vs. A. Sengun: Tip to S. Gilgeous-Alexander,"[1628983, 1631096, 1630578]",1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Holmgren,1631096.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-02-26T00:12:54.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,9.149145860709593,35.78431372549019,1610612760,0,0,2024-02-26T00:13:04Z,70000,False,71.0,34.0,1,left,MISS J. Giddey 7' driving floating bank Shot,[1630581],1610612760.0,OKC,driving floating bank,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,7.86,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2024-02-26T00:12:55.7Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2024-02-26T00:13:04Z,80000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-02-26T00:13:09.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628415,88.78120893561103,45.09803921568628,1610612745,0,0,2024-02-26T00:55:18Z,90000,False,-25.0,53.0,1,right,MISS D. Brooks driving Hook,[1628415],1610612745.0,HOU,driving,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,5.84,Missed,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2024-02-26T00:13:09.1Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,0,0,2024-02-26T00:13:17Z,100000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M16.00S,2024-02-26T00:13:39.8Z,1,REGULAR,violation,kicked ball,[],1630578,,,1610612760,0,0,2024-02-26T00:13:46Z,110000,False,,,0,,A. Sengun kicked ball VIOLATION,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,1628953.0,,,,,,,,,,,,,
12,PT11M09.00S,2024-02-26T00:13:56.7Z,1,REGULAR,3pt,Jump Shot,[],1631096,27.54599211563732,20.34313725490196,1610612760,0,0,2024-02-26T00:14:02Z,120000,False,148.0,206.0,1,left,MISS C. Holmgren 25' 3PT,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,25.42,Missed,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2024-02-26T00:14:00.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,0,0,2024-02-26T00:14:00Z,130000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Right Center,,,12.0,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2024-02-26T00:14:18.6Z,1,REGULAR,2pt,Jump Shot,[],1630578,93.64323258869908,31.862745098039213,1610612745,0,0,2024-02-26T01:02:47Z,150000,False,-91.0,7.0,1,right,MISS A. Sengun 9' floating Shot,[1630578],1610612745.0,HOU,floating,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,9.1,Missed,,,,,,,,,,,,,,,,,,
