actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-16T21:11:14.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-16T21:11:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-16T21:11:17.9Z,1,REGULAR,jumpball,recovered,[],1627777,,,1610612739,0,0,2024-03-16T21:11:17Z,40000,False,,,0,,Jump Ball J. Allen vs. J. Smith Jr.: Tip to G. Niang,"[1627777, 1628386, 1631095]",1610612739.0,CLE,startperiod,G. Niang,1627777.0,Niang,G. Niang,Allen,1628386.0,Smith Jr.,1631095.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-03-16T21:11:30.1Z,1,REGULAR,turnover,lost ball,[],1628386,,,1610612739,0,0,2024-03-16T21:11:34Z,70000,False,,,0,,J. Allen lost ball TURNOVER (1 TO),"[1628386, 1628415]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,8-16 Center,1.0,Brooks,1628415.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-03-16T21:11:30.1Z,1,REGULAR,steal,,[],1628415,,,1610612745,0,0,2024-03-16T21:11:32Z,80000,False,,,0,,D. Brooks STEAL (1 STL),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2024-03-16T21:11:34.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631095,93.24901445466492,49.01960784313725,1610612745,2,0,2024-03-16T21:11:45Z,90000,False,-5.0,11.0,1,right,J. Smith Jr. running DUNK (2 PTS) (J. Green 1 AST),"[1631095, 1630224]",1610612745.0,HOU,running,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,1.2,Made,2.0,J. Green,1630224.0,1.0,,,,,,,,,,,
11,PT11M22.00S,2024-03-16T21:11:51.5Z,1,REGULAR,3pt,Jump Shot,[],1628378,28.728646517739815,74.01960784313727,1610612739,2,3,2024-03-16T21:11:58Z,110000,False,-120.0,218.0,1,left,D. Mitchell 24' 3PT pullup (3 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,24.85,Made,3.0,,,,,,,,,,,,,,
13,PT10M56.00S,2024-03-16T21:12:29.8Z,1,REGULAR,3pt,Jump Shot,[],1628415,83.919185282523,2.941176470588235,1610612745,5,3,2024-03-16T21:12:35Z,130000,False,-235.0,99.0,1,right,D. Brooks 25' 3PT step back (3 PTS) (F. VanVleet 1 AST),"[1628415, 1627832]",1610612745.0,HOU,step back,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,,25.52,Made,3.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,
15,PT10M39.00S,2024-03-16T21:12:46.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,15.325229960578188,54.65686274509803,1610612739,5,3,2024-03-16T21:12:53Z,150000,False,-23.0,92.0,1,left,MISS J. Allen 9' turnaround Hook - blocked,"[1628386, 1627832]",1610612739.0,CLE,turnaround,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,9.45,Missed,,,,,VanVleet,1627832.0,,,,,,,,,
16,PT10M39.00S,2024-03-16T21:12:46.9Z,1,REGULAR,block,,[],1627832,,,1610612739,5,3,2024-03-16T21:12:49Z,160000,False,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M36.00S,2024-03-16T21:12:49.9Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,5,3,2024-03-16T21:12:53Z,170000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
18,PT10M31.00S,2024-03-16T21:12:54.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630224,80.50262812089356,90.44117647058823,1610612745,8,3,2024-03-16T21:13:02Z,180000,False,202.0,131.0,1,right,J. Green 24' 3PT running (3 PTS) (F. VanVleet 2 AST),"[1630224, 1627832]",1610612745.0,HOU,running,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,24.08,Made,3.0,F. VanVleet,1627832.0,2.0,,,,,,,,,,,
20,PT10M10.00S,2024-03-16T21:13:15.7Z,1,REGULAR,3pt,Jump Shot,[],1630171,8.09789750328515,2.450980392156863,1610612739,8,6,2024-03-16T21:13:20Z,200000,False,238.0,24.0,1,left,I. Okoro 3PT  (3 PTS) (D. Garland 1 AST),"[1630171, 1629636]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,,,,23.89,Made,3.0,D. Garland,1629636.0,1.0,,,,,,,,,,,
22,PT10M03.00S,2024-03-16T21:13:23.1Z,1,REGULAR,3pt,Jump Shot,[],1627832,76.5604467805519,86.02941176470588,1610612745,8,6,2024-03-16T21:14:38Z,220000,False,180.0,168.0,1,right,MISS F. VanVleet 24' pullup 3PT,[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,,,,24.62,Missed,,,,,,,,,,,,,,,
23,PT09M59.00S,2024-03-16T21:13:27.1Z,1,REGULAR,rebound,offensive,[],1641708,,,1610612745,8,6,2024-03-16T21:28:11Z,230000,False,,,0,,A. Thompson REBOUND (Off:1 Def:0),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,22.0,1.0,0.0,1.0,,,,,
24,PT09M57.00S,2024-03-16T21:13:28.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630224,92.59198423127464,81.86274509803921,1610612745,10,6,2024-03-16T21:15:19Z,240000,False,159.0,17.0,1,right,J. Green 16' step back Jump Shot (5 PTS),[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Mid-Range,16-24 Right,,,,16.02,Made,5.0,,,,,,,,,,,,,,
25,PT09M42.00S,2024-03-16T21:13:43.5Z,1,REGULAR,3pt,Jump Shot,[],1630171,10.726018396846255,4.901960784313726,1610612739,10,6,2024-03-16T21:13:51Z,250000,False,225.0,48.0,1,left,MISS I. Okoro 3PT,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,,,,23.06,Missed,,,,,,,,,,,,,,,
26,PT09M39.00S,2024-03-16T21:13:46.5Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,10,6,2024-03-16T21:13:51Z,260000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,
27,PT09M36.00S,2024-03-16T21:13:50.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630224,91.80354796320631,50.73529411764706,1610612745,10,6,2024-03-16T21:16:27Z,270000,False,4.0,25.0,1,right,MISS J. Green running finger roll Layup,[1630224],1610612745.0,HOU,running finger roll,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,2.48,Missed,,,,,,,,,,,,,,,
28,PT09M34.00S,2024-03-16T21:13:52.6Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612739,10,6,2024-03-16T21:13:52Z,280000,False,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,
29,PT09M30.00S,2024-03-16T21:13:56.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628378,6.1268068331143235,3.1862745098039214,1610612739,10,9,2024-03-16T21:14:02Z,290000,False,234.0,5.0,1,left,D. Mitchell 3PT running (6 PTS) (D. Garland 2 AST),"[1628378, 1629636]",1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Right Corner 3,24+ Right,,,,23.42,Made,6.0,D. Garland,1629636.0,2.0,,,,,,,,,,,
