actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2024-01-21T01:11:04.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-21T01:11:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-01-21T01:11:09.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612745,0,0,2024-01-21T01:11:09Z,40000,False,,,0,,Jump Ball A. Sengun vs. J. Collins: Tip to Team (HOU),"[1630578, 1628381]",1610612745.0,HOU,startperiod,Team (HOU),Sengun,1630578.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-01-21T01:11:32.4Z,1,REGULAR,3pt,Jump Shot,[],1630224,33.327858081471746,45.588235294117645,1610612745,0,0,2024-01-21T01:11:38Z,70000,False,22.0,261.0,1,left,MISS J. Green 26' 3PT,[1630224],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,26.17,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-01-21T01:11:35.4Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,0,0,2024-01-21T01:11:38Z,80000,False,,,0,,A. Sengun REBOUND (Off:1 Def:0),[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,,,Sengun,A. Sengun,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2024-01-21T01:11:37.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630578,7.966491458607096,53.431372549019606,1610612745,0,0,2024-01-21T01:11:46Z,90000,False,-17.0,22.0,1,left,MISS A. Sengun Hook,[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,2.82,Missed,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2024-01-21T01:11:37.0Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,0,0,2024-01-21T01:11:46Z,100000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,,,,Restricted Area,0-8 Center,,,Markkanen,L. Markkanen,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M25.00S,2024-01-21T01:11:47.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628381,90.75229960578186,51.225490196078425,1610612762,0,0,2024-01-21T01:15:45Z,110000,False,6.0,34.0,1,right,MISS J. Collins Hook,[1628381],1610612762.0,UTA,,,,,,,Restricted Area,0-8 Center,3.49,Missed,Collins,J. Collins,,,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2024-01-21T01:11:49.3Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,0,0,2024-01-21T01:11:52Z,120000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,VanVleet,F. VanVleet,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M06.00S,2024-01-21T01:12:05.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,17.559132720105126,59.068627450980394,1610612745,2,0,2024-01-21T01:12:12Z,130000,False,-45.0,113.0,1,left,D. Brooks 12' pullup Jump Shot (2 PTS) (A. Sengun 1 AST),"[1628415, 1630578]",1610612745.0,HOU,pullup,,,,,,In The Paint (Non-RA),8-16 Center,12.14,Made,Brooks,D. Brooks,,,,,2.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,
15,PT10M52.00S,2024-01-21T01:12:20.6Z,1,REGULAR,3pt,Jump Shot,[],1628381,82.34231274638634,3.431372549019608,1610612762,2,0,2024-01-21T01:12:29Z,150000,False,-233.0,113.0,1,right,MISS J. Collins 25' 3PT,[1628381],1610612762.0,UTA,,,,,,,Above the Break 3,24+ Left Center,25.9,Missed,Collins,J. Collins,,,,,,,,,,,,,,,,,,,
16,PT10M51.00S,2024-01-21T01:12:21.6Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,0,2024-01-21T01:12:29Z,160000,False,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,Sengun,A. Sengun,15.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
17,PT10M48.00S,2024-01-21T01:12:24.5Z,1,REGULAR,turnover,bad pass,[],1630578,,,1610612745,2,0,2024-01-21T01:12:33Z,170000,False,,,0,,A. Sengun bad pass TURNOVER (1 TO),"[1630578, 1629012]",1610612745.0,HOU,,,,,,,Mid-Range,16-24 Right Center,,,Sengun,A. Sengun,,,,,,,,,1.0,Sexton,1629012.0,,,,,,,,
18,PT10M48.00S,2024-01-21T01:12:24.5Z,1,REGULAR,steal,,[],1629012,,,1610612762,2,0,2024-01-21T01:12:27Z,180000,False,,,0,,C. Sexton STEAL (1 STL),[1629012],1610612762.0,UTA,,,,,,,Mid-Range,16-24 Right Center,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,
19,PT10M44.00S,2024-01-21T01:12:28.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629012,91.67214191852825,58.333333333333336,1610612762,2,0,2024-01-21T01:18:26Z,190000,False,42.0,26.0,1,right,MISS C. Sexton running Layup,[1629012],1610612762.0,UTA,running,,,,,,In The Paint (Non-RA),0-8 Center,4.9,Missed,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,
20,PT10M42.00S,2024-01-21T01:12:30.7Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,2,0,2024-01-21T01:12:30Z,200000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Green,J. Green,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
21,PT10M39.00S,2024-01-21T01:12:33.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630224,7.046649145860711,43.13725490196079,1610612745,2,0,2024-01-21T01:19:31Z,210000,False,34.0,14.0,1,left,MISS J. Green running Layup,[1630224],1610612745.0,HOU,running,,,,,,Restricted Area,0-8 Center,3.69,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,,
22,PT10M37.00S,2024-01-21T01:12:35.6Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,2,0,2024-01-21T01:12:46Z,220000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612762.0,UTA,,,,,,,Restricted Area,0-8 Center,,,Collins,J. Collins,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
23,PT10M29.00S,2024-01-21T01:12:43.1Z,1,REGULAR,3pt,Jump Shot,[],1628374,88.91261498028909,95.83333333333334,1610612762,2,0,2024-01-21T01:12:48Z,230000,False,229.0,52.0,1,right,MISS L. Markkanen 3PT,[1628374],1610612762.0,UTA,,,,,,,Right Corner 3,24+ Right,23.5,Missed,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,
24,PT10M27.00S,2024-01-21T01:12:46.1Z,1,REGULAR,rebound,offensive,[],1628374,,,1610612762,2,0,2024-01-21T01:12:46Z,240000,False,,,0,,L. Markkanen REBOUND (Off:1 Def:1),[1628374],1610612762.0,UTA,,,,,,,Right Corner 3,24+ Right,,,Markkanen,L. Markkanen,23.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
25,PT10M25.00S,2024-01-21T01:12:48.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628374,91.80354796320631,56.127450980392155,1610612762,2,0,2024-01-21T01:13:01Z,250000,False,31.0,25.0,1,right,MISS L. Markkanen driving floating Shot,[1628374],1610612762.0,UTA,driving floating,,,,,,Restricted Area,0-8 Center,3.92,Missed,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,
26,PT10M25.00S,2024-01-21T01:12:48.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,2,0,2024-01-21T01:12:55Z,260000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,Restricted Area,0-8 Center,,,,,25.0,,,,,,,,,,,,,,,,,,
28,PT10M17.00S,2024-01-21T01:13:12.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629012,92.72339027595268,44.85294117647059,1610612762,2,2,2024-01-21T01:13:20Z,280000,False,-26.0,16.0,1,right,C. Sexton cutting Layup (2 PTS) (K. Dunn 1 AST),"[1629012, 1627739]",1610612762.0,UTA,cutting,,,,,,Restricted Area,0-8 Center,3.02,Made,Sexton,C. Sexton,,,,,2.0,K. Dunn,1627739.0,1.0,,,,,,,,,,,
30,PT09M55.00S,2024-01-21T01:13:34.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,10.33180026281209,46.568627450980394,1610612745,4,2,2024-01-21T01:13:40Z,300000,False,17.0,45.0,1,left,A. Sengun driving Layup (2 PTS) (J. Green 1 AST),"[1630578, 1630224]",1610612745.0,HOU,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.78,Made,Sengun,A. Sengun,,,,,2.0,J. Green,1630224.0,1.0,,,,,,,,,,,
32,PT09M38.00S,2024-01-21T01:13:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,87.59855453350855,50.245098039215684,1610612762,4,2,2024-01-21T01:13:56Z,320000,False,1.0,64.0,1,right,MISS J. Collins 6' cutting Layup,[1628381],1610612762.0,UTA,cutting,,,,,,In The Paint (Non-RA),0-8 Center,6.41,Missed,Collins,J. Collins,,,,,,,,,,,,,,,,,,,
33,PT09M36.00S,2024-01-21T01:13:53.7Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,4,2,2024-01-21T01:13:56Z,330000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Green,J. Green,32.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
35,PT09M27.00S,2024-01-21T01:14:07.9Z,1,REGULAR,foul,personal,['2freethrow'],1629012,,,1610612745,4,2,2024-01-21T01:14:14Z,350000,False,,,0,,C. Sexton shooting personal FOUL (1 PF) (Smith Jr. 2 FT),"[1629012, 1631095]",1610612762.0,UTA,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,Sexton,C. Sexton,,,,,,,,,,,,202901.0,1.0,0.0,Smith Jr.,1631095.0,,,
37,PT09M27.00S,2024-01-21T01:14:36.3Z,1,REGULAR,freethrow,1 of 2,[],1631095,,,1610612745,5,2,2024-01-21T01:14:36Z,370000,False,,,0,,J. Smith Jr. Free Throw 1 of 2 (1 PTS),[1631095],1610612745.0,HOU,,,,,,,,,,Made,Smith Jr.,J. Smith Jr.,,,,,1.0,,,,,,,,,,,,,,
38,PT09M27.00S,2024-01-21T01:14:36.3Z,1,REGULAR,freethrow,2 of 2,[],1631095,,,1610612745,5,2,2024-01-21T01:15:03Z,380000,False,,,0,,MISS J. Smith Jr. Free Throw 2 of 2,[1631095],1610612745.0,HOU,,,,,,,,,,Missed,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,
39,PT09M27.00S,2024-01-21T01:14:36.3Z,1,REGULAR,rebound,defensive,[],1631323,,,1610612762,5,2,2024-01-21T01:15:03Z,390000,False,,,0,,S. Fontecchio REBOUND (Off:0 Def:1),[1631323],1610612762.0,UTA,,,,,,,,,,,Fontecchio,S. Fontecchio,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
40,PT09M15.00S,2024-01-21T01:15:08.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,84.97043363994744,59.55882352941176,1610612762,5,4,2024-01-21T01:15:14Z,400000,False,48.0,89.0,1,right,C. Sexton 10' driving floating Jump Shot (4 PTS),[1629012],1610612762.0,UTA,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,10.08,Made,Sexton,C. Sexton,,,,,4.0,,,,,,,,,,,,,,
41,PT09M01.00S,2024-01-21T01:15:23.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627832,14.14257555847569,49.01960784313725,1610612745,5,4,2024-01-21T01:15:29Z,410000,False,5.0,80.0,1,left,MISS F. VanVleet 8' floating Shot,[1627832],1610612745.0,HOU,floating,,,,,,In The Paint (Non-RA),8-16 Center,8.05,Missed,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,
42,PT09M01.00S,2024-01-21T01:15:23.1Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,5,4,2024-01-21T01:15:29Z,420000,False,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612762.0,UTA,,,,,,,In The Paint (Non-RA),8-16 Center,,,Collins,J. Collins,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
43,PT08M50.00S,2024-01-21T01:15:35.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,86.81011826544021,52.450980392156865,1610612762,5,6,2024-01-21T01:15:42Z,430000,False,12.0,71.0,1,right,J. Collins 7' driving floating Jump Shot (2 PTS) (C. Sexton 1 AST),"[1628381, 1629012]",1610612762.0,UTA,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.26,Made,Collins,J. Collins,,,,,2.0,C. Sexton,1629012.0,1.0,,,,,,,,,,,
45,PT08M50.00S,2024-01-21T01:15:38.6Z,1,REGULAR,foul,personal,['1freethrow'],1627832,,,1610612762,5,6,2024-01-21T01:15:48Z,450000,False,,,0,,F. VanVleet shooting personal FOUL (1 PF) (Collins 1 FT),"[1627832, 1628381]",1610612745.0,HOU,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,VanVleet,F. VanVleet,,,,,,,,,,,,201639.0,1.0,0.0,Collins,1628381.0,,,
47,PT08M50.00S,2024-01-21T01:16:00.3Z,1,REGULAR,freethrow,1 of 1,[],1628381,,,1610612762,5,7,2024-01-21T01:16:00Z,470000,False,,,0,,J. Collins Free Throw 1 of 1 (3 PTS),[1628381],1610612762.0,UTA,,,,,,,,,,Made,Collins,J. Collins,,,,,3.0,,,,,,,,,,,,,,
48,PT08M35.00S,2024-01-21T01:16:15.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,10.200394218134035,52.450980392156865,1610612745,7,7,2024-01-21T01:16:20Z,480000,False,-12.0,43.0,1,left,A. Sengun driving Hook (4 PTS),[1630578],1610612745.0,HOU,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.51,Made,Sengun,A. Sengun,,,,,4.0,,,,,,,,,,,,,,
49,PT08M20.00S,2024-01-21T01:16:31.4Z,1,REGULAR,3pt,Jump Shot,[],1628381,93.24901445466492,95.34313725490196,1610612762,7,7,2024-01-21T01:16:46Z,490000,False,227.0,11.0,1,right,MISS J. Collins 3PT,[1628381],1610612762.0,UTA,,,,,,,Right Corner 3,24+ Right,22.7,Missed,Collins,J. Collins,,,,,,,,,,,,,,,,,,,
50,PT08M18.00S,2024-01-21T01:16:33.4Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,7,7,2024-01-21T01:16:46Z,500000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,,,Brooks,D. Brooks,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
