actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-11T01:10:57.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-11T01:10:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-11T01:11:00.3Z,1,REGULAR,jumpball,recovered,[],1630700,,,1610612740,0,0,2023-11-11T01:11:00Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. A. Sengun: Tip to D. Daniels,"[1630700, 202685, 1630578]",1610612740.0,NOP,startperiod,D. Daniels,1630700.0,Daniels,D. Daniels,Valanciunas,202685.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2023-11-11T01:11:10.0Z,1,REGULAR,foul,personal,['2freethrow'],1627832,,,1610612740,0,0,2023-11-11T01:11:45Z,70000,False,,,0,,F. VanVleet shooting personal FOUL (1 PF) (Williamson 2 FT),"[1627832, 1629627]",1610612745.0,HOU,shooting,,,VanVleet,F. VanVleet,,,,,Mid-Range,8-16 Right,2005.0,1.0,0.0,Williamson,1629627.0,,,,,,,,,,,,,,,
9,PT11M49.00S,2023-11-11T01:11:46.3Z,1,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,0,0,2023-11-11T01:12:33Z,90000,False,,,0,,MISS Z. Williamson Free Throw 1 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M49.00S,2023-11-11T01:11:46.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612740,0,0,2023-11-11T01:12:33Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M49.00S,2023-11-11T01:11:46.3Z,1,REGULAR,violation,lane,[],1631095,,,1610612740,0,0,2023-11-11T01:12:33Z,110000,False,,,0,,J. Smith Jr. lane VIOLATION,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M49.00S,2023-11-11T01:11:46.3Z,1,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,0,0,2023-11-11T01:12:33Z,120000,False,,,0,,MISS Z. Williamson Free Throw 2 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
13,PT11M46.00S,2023-11-11T01:11:49.3Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2023-11-11T01:12:33Z,130000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M31.00S,2023-11-11T01:12:45.8Z,1,REGULAR,2pt,Jump Shot,[],1630578,12.302890932982917,68.13725490196079,1610612745,2,0,2023-11-11T01:13:01Z,140000,False,-91.0,63.0,1,left,A. Sengun 11' floating Jump Shot (2 PTS) (F. VanVleet 1 AST),"[1630578, 1627832]",1610612745.0,HOU,floating,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,,,,,,Made,,,,,11.05,2.0,F. VanVleet,1627832.0,1.0,,,,,
16,PT11M22.00S,2023-11-11T01:12:58.5Z,1,REGULAR,foul,personal,[],1628415,,,1610612740,2,0,2023-11-11T01:13:05Z,160000,False,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 1629627]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Right Center,1627541.0,1.0,0.0,Williamson,1629627.0,,,,,,,,,,,,,,,
18,PT11M13.00S,2023-11-11T01:13:25.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202685,93.64323258869908,47.30392156862745,1610612740,2,2,2023-11-11T01:13:30Z,180000,False,-13.0,7.0,1,right,J. Valanciunas cutting DUNK (2 PTS) (B. Ingram 1 AST),"[202685, 1627742]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,Made,,,,,1.53,2.0,B. Ingram,1627742.0,1.0,,,,,
20,PT10M55.00S,2023-11-11T01:13:43.2Z,1,REGULAR,3pt,Jump Shot,[],1631095,5.338370565045992,96.07843137254902,1610612745,5,2,2023-11-11T01:13:48Z,200000,False,-230.0,-2.0,1,left,J. Smith Jr. 3PT  (3 PTS) (F. VanVleet 2 AST),"[1631095, 1627832]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Left Corner 3,24+ Left,,,,,,Made,,,,,23.04,3.0,F. VanVleet,1627832.0,2.0,,,,,
22,PT10M43.00S,2023-11-11T01:13:55.2Z,1,REGULAR,3pt,Jump Shot,[],202685,69.46452036793693,65.19607843137256,1610612740,5,5,2023-11-11T01:14:00Z,220000,False,76.0,235.0,1,right,J. Valanciunas 24' 3PT  (5 PTS) (J. Hawkins 1 AST),"[202685, 1641722]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,,,,Made,,,,,24.65,5.0,J. Hawkins,1641722.0,1.0,,,,,
24,PT10M34.00S,2023-11-11T01:14:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,5.863994743758213,38.23529411764706,1610612745,5,5,2023-11-11T01:14:17Z,240000,False,59.0,3.0,1,left,MISS J. Green driving finger roll Layup - blocked,"[1630224, 202685]",1610612745.0,HOU,driving finger roll,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,5.89,,,,,Valanciunas,202685.0,,,
25,PT10M34.00S,2023-11-11T01:14:05.9Z,1,REGULAR,block,,[],202685,,,1610612745,5,5,2023-11-11T01:15:37Z,250000,False,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT10M34.00S,2023-11-11T01:14:05.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,5,5,2023-11-11T01:14:17Z,260000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,24.0,,,,,,,,,,,,,
28,PT10M31.00S,2023-11-11T01:14:23.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630224,8.229303547963205,84.31372549019608,1610612745,7,5,2023-11-11T01:14:30Z,280000,False,-172.0,25.0,1,left,J. Green 17' Jump Shot (2 PTS) (D. Brooks 1 AST),"[1630224, 1628415]",1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Left,,,,,,Made,,,,,17.34,2.0,D. Brooks,1628415.0,1.0,,,,,
30,PT10M11.00S,2023-11-11T01:14:47.1Z,1,REGULAR,foul,personal,['2freethrow'],1628415,,,1610612740,7,5,2023-11-11T01:15:04Z,300000,False,,,0,,D. Brooks shooting personal FOUL (2 PF) (Williamson 2 FT),"[1628415, 1629627]",1610612745.0,HOU,shooting,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,2005.0,2.0,0.0,Williamson,1629627.0,,,,,,,,,,,,,,,
32,PT10M11.00S,2023-11-11T01:15:10.7Z,1,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,7,5,2023-11-11T01:15:10Z,320000,False,,,0,,MISS Z. Williamson Free Throw 1 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
33,PT10M11.00S,2023-11-11T01:15:10.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,7,5,2023-11-11T01:15:10Z,330000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,
34,PT10M11.00S,2023-11-11T01:15:12.2Z,1,REGULAR,substitution,out,[],1628415,,,1610612740,7,5,2023-11-11T01:15:18Z,340000,False,,,0,,SUB out: D. Brooks,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT10M11.00S,2023-11-11T01:15:12.2Z,1,REGULAR,substitution,in,[],1630256,,,1610612740,7,5,2023-11-11T01:15:18Z,350000,False,,,0,,SUB in: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT10M11.00S,2023-11-11T01:15:30.9Z,1,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,7,6,2023-11-11T01:15:30Z,360000,False,,,0,,Z. Williamson Free Throw 2 of 2 (1 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,Made,,,,,,1.0,,,,,,,,
37,PT09M49.00S,2023-11-11T01:15:54.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,9.937582128777924,61.76470588235294,1610612745,7,6,2023-11-11T01:15:59Z,370000,False,-59.0,41.0,1,left,MISS A. Sengun 7' turnaround Hook - blocked,"[1630578, 202685]",1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,7.16,,,,,Valanciunas,202685.0,,,
38,PT09M49.00S,2023-11-11T01:15:54.1Z,1,REGULAR,block,,[],202685,,,1610612745,7,6,2023-11-11T01:15:56Z,380000,False,,,0,,J. Valanciunas BLOCK (2 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
39,PT09M46.00S,2023-11-11T01:15:57.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,7,6,2023-11-11T01:15:59Z,390000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,
