actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-14T01:11:37.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-14T01:11:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT11M59.00S,2023-12-14T01:11:44.9Z,1,REGULAR,jumpball,recovered,[],0,,,1610612763,0,0,2023-12-14T01:44:41Z,31250,False,,,0,,Jump Ball J. Jackson Jr. vs. A. Sengun: Tip to Team (MEM),"[1628991, 1630578]",1610612763.0,MEM,startperiod,Team (MEM),Jackson Jr.,1628991.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,,,
16,PT11M59.00S,2023-12-14T01:11:52.7Z,1,REGULAR,foul,personal,[],1630578,,,1610612763,0,0,2023-12-14T01:44:41Z,35000,False,,,0,,A. Sengun loose ball personal FOUL (1 PF),"[1630578, 1628991]",1610612745.0,HOU,loose ball,,,,,,Above the Break 3,24+ Center,1626301.0,1.0,0.0,Sengun,A. Sengun,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,
5,PT11M47.00S,2023-12-14T01:12:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631223,94.43166885676742,50.98039215686274,1610612763,0,0,2023-12-14T01:13:26Z,50000,False,5.0,0.0,1,right,MISS D. Roddy driving Layup - blocked,"[1631223, 1631095]",1610612763.0,MEM,driving,,,,,,Restricted Area,0-8 Center,,,,Roddy,D. Roddy,,,0.49,Missed,Smith Jr.,1631095.0,,,,,,,,,,,
6,PT11M47.00S,2023-12-14T01:12:08.3Z,1,REGULAR,block,,[],1631095,,,1610612763,0,0,2023-12-14T01:12:10Z,60000,False,,,0,,J. Smith Jr. BLOCK (1 BLK),[1631095],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-12-14T01:12:11.3Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,0,0,2023-12-14T01:13:04Z,70000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,,Green,J. Green,,,,,,,5.0,1.0,1.0,0.0,,,,,,,
8,PT11M36.00S,2023-12-14T01:12:19.6Z,1,REGULAR,3pt,Jump Shot,[],1630578,27.283180026281208,17.401960784313726,1610612745,0,0,2023-12-14T01:13:08Z,80000,False,163.0,204.0,1,left,MISS A. Sengun 26' 3PT,[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,,Sengun,A. Sengun,,,26.11,Missed,,,,,,,,,,,,,
9,PT11M36.00S,2023-12-14T01:12:19.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,0,0,2023-12-14T01:13:08Z,90000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,8.0,,,,,,,,,,
11,PT11M15.00S,2023-12-14T01:12:42.8Z,1,REGULAR,3pt,Jump Shot,[],201565,83.13074901445466,94.11764705882352,1610612763,0,0,2023-12-14T01:13:16Z,110000,False,221.0,106.0,1,right,MISS D. Rose 24' 3PT,[201565],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Rose,D. Rose,,,24.48,Missed,,,,,,,,,,,,,
12,PT11M12.00S,2023-12-14T01:12:45.8Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2023-12-14T01:13:16Z,120000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,,Sengun,A. Sengun,,,,,,,11.0,1.0,1.0,0.0,,,,,,,
13,PT11M10.00S,2023-12-14T01:12:50.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,5.732588699080158,45.83333333333333,1610612745,2,0,2023-12-14T01:13:20Z,130000,False,21.0,1.0,1,left,A. Sengun Layup (2 PTS),[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,,Sengun,A. Sengun,,,2.08,Made,,,,,,,2.0,,,,,,
14,PT11M10.00S,2023-12-14T01:12:53.0Z,1,REGULAR,foul,personal,['1freethrow'],1631246,,,1610612745,2,0,2023-12-14T01:13:03Z,140000,False,,,0,,V. Williams Jr. shooting personal FOUL (1 PF) (Sengun 1 FT),"[1631246, 1630578]",1610612763.0,MEM,shooting,,,,,,Restricted Area,0-8 Center,1628953.0,1.0,0.0,Williams Jr.,V. Williams Jr.,Sengun,1630578.0,,,,,,,,,,,,,,,
18,PT11M10.00S,2023-12-14T01:13:15.1Z,1,REGULAR,freethrow,1 of 1,[],1630578,,,1610612745,3,0,2023-12-14T01:13:15Z,160000,False,,,0,,A. Sengun Free Throw 1 of 1 (3 PTS),[1630578],1610612745.0,HOU,,,,,,,,,,,,Sengun,A. Sengun,,,,Made,,,,,,,3.0,,,,,,
19,PT10M57.00S,2023-12-14T01:13:29.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,93.64323258869908,53.431372549019606,1610612763,3,2,2023-12-14T01:13:39Z,170000,False,17.0,7.0,1,right,J. Jackson Jr. turnaround bank Jump Shot (2 PTS) (D. Rose 1 AST),"[1628991, 201565]",1610612763.0,MEM,turnaround bank,,,,,,Restricted Area,0-8 Center,,,,Jackson Jr.,J. Jackson Jr.,,,1.87,Made,,,,,,,2.0,D. Rose,201565.0,1.0,,,
21,PT10M45.00S,2023-12-14T01:13:44.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,6.258212877792378,50.73529411764706,1610612745,5,2,2023-12-14T01:13:49Z,190000,False,-4.0,6.0,1,left,J. Green driving Layup (2 PTS) (F. VanVleet 1 AST),"[1630224, 1627832]",1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,,,,Green,J. Green,,,0.73,Made,,,,,,,2.0,F. VanVleet,1627832.0,1.0,,,
23,PT10M45.00S,2023-12-14T01:13:47.1Z,1,REGULAR,foul,personal,['1freethrow'],202687,,,1610612745,5,2,2023-12-14T01:14:04Z,210000,False,,,0,,B. Biyombo shooting personal FOUL (1 PF) (Green 1 FT),"[202687, 1630224]",1610612763.0,MEM,shooting,,,,,,Restricted Area,0-8 Center,1626301.0,1.0,0.0,Biyombo,B. Biyombo,Green,1630224.0,,,,,,,,,,,,,,,
