actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-09T01:11:16.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-09T01:11:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-09T01:11:18.3Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2023-11-09T01:11:18Z,40000,False,,,0,,Jump Ball A. Sengun vs. C. Wood: Tip to J. Smith Jr.,"[1631095, 1630578, 1626174]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-11-09T01:11:33.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,91.5407358738502,46.568627450980394,1610612745,0,0,2023-11-09T01:11:40Z,70000,False,-17.0,27.0,1,right,MISS D. Brooks cutting Layup - blocked,"[1628415, 1626156]",1610612745.0,HOU,cutting,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,3.2,Missed,Russell,1626156.0,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-11-09T01:11:33.3Z,1,REGULAR,block,,[],1626156,,,1610612745,0,0,2023-11-09T01:11:36Z,80000,False,,,0,,D. Russell BLOCK (1 BLK),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2023-11-09T01:11:33.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,0,0,2023-11-09T01:11:40Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Restricted Area,0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M33.00S,2023-11-09T01:11:57.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630578,94.69448094612353,50.245098039215684,1610612745,2,0,2023-11-09T01:12:03Z,110000,False,1.0,-3.0,1,right,A. Sengun driving reverse Layup (2 PTS),[1630578],1610612745.0,HOU,driving reverse,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,0.29,Made,,,,2.0,,,,,,,,,,,,,,
12,PT11M16.00S,2023-11-09T01:12:14.7Z,1,REGULAR,3pt,Jump Shot,[],1627752,7.178055190538765,2.696078431372549,1610612747,2,0,2023-11-09T01:12:20Z,120000,False,237.0,15.0,1,left,MISS T. Prince 3PT,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Right Corner 3,24+ Right,23.7,Missed,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2023-11-09T01:12:15.7Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,0,2023-11-09T01:12:20Z,130000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Right Corner 3,24+ Right,,,,,12.0,,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M57.00S,2023-11-09T01:12:34.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628415,88.38699080157687,49.01960784313725,1610612745,2,0,2023-11-09T01:12:41Z,140000,False,-5.0,57.0,1,right,MISS D. Brooks driving Hook,[1628415],1610612745.0,HOU,driving,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,5.69,Missed,,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2023-11-09T01:12:36.1Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612747,2,0,2023-11-09T01:12:41Z,150000,False,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612747.0,LAL,,,,Wood,C. Wood,,,,,In The Paint (Non-RA),0-8 Center,,,,,14.0,,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M46.00S,2023-11-09T01:12:45.5Z,1,REGULAR,2pt,Jump Shot,[],1626156,21.50131406044678,66.17647058823529,1610612747,2,0,2023-11-09T01:12:57Z,160000,False,-81.0,150.0,1,left,MISS D. Russell 17' pullup Shot,[1626156],1610612747.0,LAL,pullup,,,Russell,D. Russell,,,,,Mid-Range,16-24 Left Center,17.01,Missed,,,,,,,,,,,,,,,,,,
17,PT10M44.00S,2023-11-09T01:12:47.5Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,2,0,2023-11-09T01:12:57Z,170000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Left Center,,,,,16.0,,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M36.00S,2023-11-09T01:12:55.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630224,80.50262812089356,42.40196078431372,1610612745,4,0,2023-11-09T01:13:02Z,180000,False,-38.0,131.0,1,right,J. Green 13' driving floating Jump Shot (2 PTS) (F. VanVleet 1 AST),"[1630224, 1627832]",1610612745.0,HOU,driving floating,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,13.62,Made,,,,2.0,,,,F. VanVleet,1627832.0,1.0,,,,,,,,
19,PT10M23.00S,2023-11-09T01:13:09.7Z,1,REGULAR,foul,personal,[],1628415,,,1610612747,4,0,2023-11-09T01:13:19Z,190000,False,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 2544]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1626300.0,1.0,0.0,James,2544.0,,,
22,PT10M16.00S,2023-11-09T01:13:44.3Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612747,4,0,2023-11-09T01:13:49Z,210000,False,,,0,,D. Russell bad pass TURNOVER (1 TO),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,1.0,,
23,PT09M57.00S,2023-11-09T01:14:14.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630224,83.78777923784494,44.11764705882353,1610612745,6,0,2023-11-09T01:14:21Z,220000,False,-29.0,100.0,1,right,J. Green 10' turnaround fadeaway Jump Shot (4 PTS),[1630224],1610612745.0,HOU,turnaround fadeaway,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,10.41,Made,,,,4.0,,,,,,,,,,,,,,
24,PT09M46.00S,2023-11-09T01:14:25.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626174,19.267411300919843,48.28431372549019,1610612747,6,0,2023-11-09T01:14:33Z,230000,False,9.0,129.0,1,left,MISS C. Wood 12' driving floating Shot,[1626174],1610612747.0,LAL,driving floating,,,Wood,C. Wood,,,,,In The Paint (Non-RA),8-16 Center,12.89,Missed,,,,,,,,,,,,,,,,,,
25,PT09M45.00S,2023-11-09T01:14:26.3Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,6,0,2023-11-09T01:14:33Z,240000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,24.0,,1.0,1.0,0.0,,,,,,,,,,,
26,PT09M36.00S,2023-11-09T01:14:35.4Z,1,REGULAR,3pt,Jump Shot,[],1631095,68.28186596583443,68.38235294117648,1610612745,6,0,2023-11-09T01:14:46Z,250000,False,92.0,246.0,1,right,MISS J. Smith Jr. 26' step back 3PT,[1631095],1610612745.0,HOU,step back,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,26.23,Missed,,,,,,,,,,,,,,,,,,
27,PT09M35.00S,2023-11-09T01:14:36.4Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,6,0,2023-11-09T01:14:46Z,260000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,,,,,26.0,,1.0,1.0,0.0,,,,,,,,,,,
28,PT09M23.00S,2023-11-09T01:14:48.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,19.793035479632064,49.50980392156863,1610612747,6,0,2023-11-09T01:14:57Z,270000,False,2.0,134.0,1,left,MISS A. Reaves 13' pullup Shot,[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,13.36,Missed,,,,,,,,,,,,,,,,,,
