actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-06T00:11:01.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-06T00:11:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-04-06T00:11:04.5Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2024-04-06T00:11:04Z,40000,False,,,0,,Jump Ball J. Green vs. B. Adebayo: Tip to J. Smith Jr.,"[1631095, 201145, 1628389]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Green,201145.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-04-06T00:11:19.4Z,1,REGULAR,3pt,Jump Shot,[],1631095,66.44218134034165,50.245098039215684,1610612745,3,0,2024-04-06T00:11:26Z,70000,False,1.0,263.0,1,right,J. Smith Jr. 26' 3PT  (3 PTS) (F. VanVleet 1 AST),"[1631095, 1627832]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,26.29,Made,3.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,,,,
10,PT11M14.00S,2024-04-06T00:11:59.4Z,1,REGULAR,2pt,Jump Shot,[],1626179,20.97568988173456,34.55882352941176,1610612748,3,2,2024-04-06T00:12:04Z,100000,False,77.0,145.0,1,left,T. Rozier 16' pullup Jump Shot (2 PTS) (B. Adebayo 1 AST),"[1626179, 1628389]",1610612748.0,MIA,pullup,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Right Center,16.4,Made,2.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,,,
12,PT11M03.00S,2024-04-06T00:12:13.1Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612745,3,2,2024-04-06T00:12:25Z,120000,False,,,0,,D. Robinson shooting personal FOUL (1 PF) (Green 2 FT),"[1629130, 1630224]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,201638.0,1.0,0.0,Green,1630224.0,,,,,,,,,
14,PT11M03.00S,2024-04-06T00:12:40.1Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,3,2,2024-04-06T00:12:40Z,140000,False,,,0,,MISS J. Green Free Throw 1 of 2,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2024-04-06T00:12:40.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,3,2,2024-04-06T00:12:40Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,
16,PT11M03.00S,2024-04-06T00:13:03.6Z,1,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,4,2,2024-04-06T00:13:03Z,160000,False,,,0,,J. Green Free Throw 2 of 2 (1 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
17,PT10M48.00S,2024-04-06T00:13:19.1Z,1,REGULAR,3pt,Jump Shot,[],1629130,26.888961892247043,84.80392156862744,1610612748,4,5,2024-04-06T00:13:24Z,170000,False,-174.0,200.0,1,left,D. Robinson 26' 3PT  (3 PTS) (J. Butler 1 AST),"[1629130, 202710]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,26.53,Made,3.0,J. Butler,202710.0,1.0,,,,,,,,,,,,,,
19,PT10M27.00S,2024-04-06T00:13:40.3Z,1,REGULAR,turnover,lost ball,[],1631095,,,1610612745,4,5,2024-04-06T00:13:45Z,190000,False,,,0,,J. Smith Jr. lost ball TURNOVER (1 TO),"[1631095, 1628389]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1.0,Adebayo,1628389.0,,,,,
20,PT10M27.00S,2024-04-06T00:13:40.3Z,1,REGULAR,steal,,[],1628389,,,1610612748,4,5,2024-04-06T00:13:42Z,200000,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M17.00S,2024-04-06T00:13:50.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628389,24.655059132720105,38.48039215686275,1610612748,4,7,2024-04-06T00:13:56Z,210000,False,58.0,179.0,1,left,B. Adebayo 18' pullup Jump Shot (2 PTS) (T. Rozier 1 AST),"[1628389, 1626179]",1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Center,18.83,Made,2.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,
23,PT10M02.00S,2024-04-06T00:14:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,93.24901445466492,56.372549019607845,1610612745,4,7,2024-04-06T00:14:11Z,230000,False,32.0,11.0,1,right,MISS F. VanVleet driving reverse Layup,[1627832],1610612745.0,HOU,driving reverse,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,3.37,Missed,,,,,,,,,,,,,,,,,,
24,PT09M59.00S,2024-04-06T00:14:08.8Z,1,REGULAR,rebound,offensive,[],1627832,,,1610612745,4,7,2024-04-06T00:14:08Z,240000,False,,,0,,F. VanVleet REBOUND (Off:1 Def:0),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,23.0,,,,1.0,0.0,1.0,,
25,PT09M59.00S,2024-04-06T00:14:12.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201145,91.40932982917214,50.49019607843137,1610612745,6,7,2024-04-06T00:14:18Z,250000,False,2.0,28.0,1,right,J. Green driving floating bank Jump Shot (2 PTS) (F. VanVleet 2 AST),"[201145, 1627832]",1610612745.0,HOU,driving floating bank,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.84,Made,2.0,F. VanVleet,1627832.0,2.0,,,,,,,,,,,,,,
27,PT09M59.00S,2024-04-06T00:14:16.3Z,1,REGULAR,foul,personal,['1freethrow'],1631107,,,1610612745,6,7,2024-04-06T00:14:26Z,270000,False,,,0,,N. Jovic shooting personal FOUL (1 PF) (Green 1 FT),"[1631107, 201145]",1610612748.0,MIA,shooting,,,Jovic,N. Jovic,,,,,Restricted Area,0-8 Center,,,,,,,1628172.0,1.0,0.0,Green,201145.0,,,,,,,,,
29,PT09M59.00S,2024-04-06T00:14:42.5Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],201145,,,1610612745,7,7,2024-04-06T00:14:42Z,290000,False,,,0,,J. Green Free Throw 1 of 1 (3 PTS),[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
31,PT09M46.00S,2024-04-06T00:15:08.4Z,1,REGULAR,turnover,bad pass,[],202710,,,1610612748,7,7,2024-04-06T00:15:16Z,310000,False,,,0,,J. Butler bad pass TURNOVER (1 TO),"[202710, 1630224]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,1.0,Green,1630224.0,,,,,
32,PT09M46.00S,2024-04-06T00:15:08.4Z,1,REGULAR,steal,,[],1630224,,,1610612745,7,7,2024-04-06T00:20:09Z,320000,False,,,0,,J. Green STEAL (1 STL),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
33,PT09M40.00S,2024-04-06T00:15:12.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628415,92.46057818659659,45.83333333333333,1610612745,9,7,2024-04-06T00:21:36Z,330000,False,-21.0,18.0,1,right,D. Brooks running DUNK (2 PTS) (J. Green 1 AST),"[1628415, 201145]",1610612745.0,HOU,running,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,2.78,Made,2.0,J. Green,201145.0,1.0,,,,,,,,,,,,,,
35,PT09M26.00S,2024-04-06T00:15:27.9Z,1,REGULAR,turnover,bad pass,[],1631107,,,1610612748,9,7,2024-04-06T00:15:37Z,350000,False,,,0,,N. Jovic bad pass TURNOVER (1 TO),"[1631107, 1631095]",1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Smith Jr.,1631095.0,,,,,
36,PT09M26.00S,2024-04-06T00:15:27.9Z,1,REGULAR,steal,,[],1631095,,,1610612745,9,7,2024-04-06T00:15:30Z,360000,False,,,0,,J. Smith Jr. STEAL (1 STL),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT09M18.00S,2024-04-06T00:15:35.5Z,1,REGULAR,turnover,lost ball,[],1627832,,,1610612745,9,7,2024-04-06T00:15:39Z,370000,False,,,0,,F. VanVleet lost ball TURNOVER (1 TO),"[1627832, 202710]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1.0,Butler,202710.0,,,,,
