actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-04T01:11:13.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-04T01:11:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-04T01:11:15.3Z,1,REGULAR,jumpball,recovered,[],1630224,,,1610612745,0,0,2024-01-04T01:11:15Z,40000,False,,,0,,Jump Ball A. Sengun vs. N. Claxton: Tip to J. Green,"[1630224, 1630578, 1629651]",1610612745.0,HOU,startperiod,J. Green,1630224.0,Green,J. Green,Sengun,1630578.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2024-01-04T01:11:24.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,6.652431011826544,43.627450980392155,1610612745,0,0,2024-01-04T01:11:30Z,70000,False,32.0,10.0,1,left,MISS J. Green driving Layup - blocked,"[1630224, 1627827]",1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.34,Missed,Finney-Smith,1627827.0,,,,,,,,,,,,,,,,
8,PT11M49.00S,2024-01-04T01:11:24.1Z,1,REGULAR,block,,[],1627827,,,1610612745,0,0,2024-01-04T01:12:36Z,80000,False,,,0,,D. Finney-Smith BLOCK (1 BLK),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2024-01-04T01:11:29.1Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,0,2024-01-04T01:11:30Z,90000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M40.00S,2024-01-04T01:11:32.1Z,1,REGULAR,3pt,Jump Shot,[],1627827,69.07030223390277,69.36274509803921,1610612751,0,0,2024-01-04T01:11:39Z,100000,False,97.0,238.0,1,right,MISS D. Finney-Smith 25' 3PT,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Right Center,25.71,Missed,,,,,,,,,,,,,,,,,,
11,PT11M37.00S,2024-01-04T01:11:35.2Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,0,0,2024-01-04T01:11:35Z,110000,False,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,,,10.0,2.0,1.0,1.0,,,,,,,,,,,,
12,PT11M36.00S,2024-01-04T01:11:36.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629651,94.30026281208936,46.568627450980394,1610612751,0,2,2024-01-04T01:11:45Z,120000,False,-17.0,1.0,1,right,N. Claxton reverse DUNK (2 PTS),[1629651],1610612751.0,BKN,reverse,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.72,Made,,,,,,,2.0,,,,,,,,,,,
13,PT11M25.00S,2024-01-04T01:11:46.3Z,1,REGULAR,3pt,Jump Shot,[],1631095,30.436925098554536,31.372549019607842,1610612745,0,2,2024-01-04T01:11:52Z,130000,False,93.0,234.0,1,left,MISS J. Smith Jr. 25' step back 3PT,[1631095],1610612745.0,HOU,step back,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,25.15,Missed,,,,,,,,,,,,,,,,,,
14,PT11M23.00S,2024-01-04T01:11:48.3Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,2,2024-01-04T01:11:52Z,140000,False,,,0,,N. Claxton REBOUND (Off:1 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,,,13.0,3.0,2.0,1.0,,,,,,,,,,,,
