actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-01-30T01:11:12.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-30T01:11:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-01-30T01:11:15.6Z,1,REGULAR,jumpball,recovered,[],1627752,,,1610612747,0,0,2024-01-30T01:11:15Z,40000,False,,,0,,Jump Ball A. Davis vs. A. Sengun: Tip to T. Prince,"[1627752, 203076, 1630578]",1610612747.0,LAL,startperiod,T. Prince,1627752.0,Prince,T. Prince,Davis,203076.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-01-30T01:11:24.7Z,1,REGULAR,3pt,Jump Shot,[],1627752,31.225361366622867,31.862745098039213,1610612747,0,0,2024-01-30T01:11:32Z,70000,False,91.0,241.0,1,left,MISS T. Prince 25' 3PT,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,25.75,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-01-30T01:11:26.7Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2024-01-30T01:11:32Z,80000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M40.00S,2024-01-30T01:11:32.7Z,1,REGULAR,foul,personal,['2freethrow'],203076,,,1610612745,0,0,2024-01-30T01:11:45Z,90000,False,,,0,,A. Davis shooting personal FOUL (1 PF) (Green 2 FT),"[203076, 1630224]",1610612747.0,LAL,shooting,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,200833.0,1.0,0.0,Green,1630224.0,,,,,,,,,
11,PT11M40.00S,2024-01-30T01:11:59.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630224,,,1610612745,1,0,2024-01-30T01:11:59Z,110000,False,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
12,PT11M40.00S,2024-01-30T01:12:15.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630224,,,1610612745,2,0,2024-01-30T01:12:15Z,120000,False,,,0,,J. Green Free Throw 2 of 2 (2 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
13,PT11M19.00S,2024-01-30T01:12:38.3Z,1,REGULAR,2pt,Jump Shot,[],2544,11.12023653088042,88.97058823529412,1610612747,2,0,2024-01-30T01:12:45Z,130000,False,-195.0,52.0,1,left,MISS L. James 20' Jump Shot,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Left,20.17,Missed,,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2024-01-30T01:12:40.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,2,0,2024-01-30T01:12:45Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Mid-Range,16-24 Left,,,13.0,,,,,,,,,,,,,,,,,
16,PT11M08.00S,2024-01-30T01:13:05.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203076,16.770696452036795,29.411764705882355,1610612747,2,0,2024-01-30T01:13:12Z,160000,False,103.0,105.0,1,left,MISS A. Davis 14' turnaround fadeaway Shot,[203076],1610612747.0,LAL,turnaround fadeaway,,,Davis,A. Davis,,,,,Mid-Range,8-16 Right,14.71,Missed,,,,,,,,,,,,,,,,,,
