actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-07T01:11:01.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-07T01:11:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-07T01:11:04.5Z,1,REGULAR,jumpball,recovered,[],1629652,,,1610612760,0,0,2023-12-07T01:11:04Z,40000,False,,,0,,Jump Ball C. Holmgren vs. A. Sengun: Tip to L. Dort,"[1629652, 1631096, 1630578]",1610612760.0,OKC,startperiod,L. Dort,1629652.0,Dort,L. Dort,Holmgren,1631096.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M56.00S,2023-12-07T01:11:06.8Z,1,REGULAR,foul,personal,['2freethrow'],1630224,,,1610612760,0,0,2023-12-07T01:11:15Z,70000,False,,,0,,J. Green shooting personal FOUL (1 PF) (Dort 2 FT),"[1630224, 1629652]",1610612745.0,HOU,shooting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1629178.0,1.0,0.0,Dort,1629652.0,,,,,,,,,,,,,,,
9,PT11M56.00S,2023-12-07T01:11:35.3Z,1,REGULAR,freethrow,1 of 2,[],1629652,,,1610612760,0,1,2023-12-07T01:11:35Z,90000,False,,,0,,L. Dort Free Throw 1 of 2 (1 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M56.00S,2023-12-07T01:11:50.1Z,1,REGULAR,freethrow,2 of 2,[],1629652,,,1610612760,0,2,2023-12-07T01:11:50Z,100000,False,,,0,,L. Dort Free Throw 2 of 2 (2 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M41.00S,2023-12-07T01:12:06.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,91.80354796320631,54.65686274509803,1610612745,2,2,2023-12-07T01:12:12Z,110000,False,23.0,25.0,1,right,A. Sengun turnaround Hook (2 PTS),[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,3.38,,,,,,,,,,,,
12,PT11M24.00S,2023-12-07T01:12:23.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,17.821944809461236,40.931372549019606,1610612760,2,4,2023-12-07T01:12:31Z,120000,False,45.0,115.0,1,left,J. Williams 12' driving floating Jump Shot (2 PTS) (J. Giddey 1 AST),"[1631114, 1630581]",1610612760.0,OKC,driving floating,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,12.36,J. Giddey,1630581.0,1.0,,,,,,,,,
14,PT11M11.00S,2023-12-07T01:12:36.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,86.5473061760841,45.34313725490196,1610612745,2,4,2023-12-07T01:12:43Z,140000,False,-23.0,74.0,1,right,MISS A. Sengun 7' turnaround Hook,[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,7.76,,,,,,,,,,,,
15,PT11M11.00S,2023-12-07T01:12:36.6Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,2,4,2023-12-07T01:12:43Z,150000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,
16,PT10M58.00S,2023-12-07T01:12:49.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,17.296320630749015,45.83333333333333,1610612760,2,4,2023-12-07T01:12:57Z,160000,False,21.0,110.0,1,left,MISS J. Williams 11' fadeaway Shot,[1631114],1610612760.0,OKC,fadeaway,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,11.2,,,,,,,,,,,,
17,PT10M57.00S,2023-12-07T01:12:50.8Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,2,4,2023-12-07T01:12:57Z,170000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
18,PT10M52.00S,2023-12-07T01:12:58.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630224,93.11760840998686,53.18627450980392,1610612745,2,4,2023-12-07T01:14:48Z,180000,False,16.0,12.0,1,right,MISS J. Green running finger roll Layup - blocked,"[1630224, 1631096]",1610612745.0,HOU,running finger roll,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.0,,,,,,,,Holmgren,1631096.0,,,
56,PT10M52.00S,2023-12-07T01:12:58.2Z,1,REGULAR,block,,[],1631096,,,1610612745,2,4,2023-12-07T01:17:38Z,185000,False,,,0,,C. Holmgren BLOCK (1 BLK),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M51.00S,2023-12-07T01:12:59.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,2,4,2023-12-07T01:14:48Z,190000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,
20,PT10M46.00S,2023-12-07T01:13:02.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631114,7.30946123521682,53.431372549019606,1610612760,2,4,2023-12-07T01:13:16Z,200000,False,-17.0,16.0,1,left,MISS J. Williams running Layup,[1631114],1610612760.0,OKC,running,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.36,,,,,,,,,,,,
21,PT10M44.00S,2023-12-07T01:13:04.1Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,2,4,2023-12-07T01:13:16Z,210000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,
22,PT10M32.00S,2023-12-07T01:13:15.7Z,1,REGULAR,3pt,Jump Shot,[],1628415,75.64060446780552,83.33333333333334,1610612745,2,4,2023-12-07T01:13:22Z,220000,False,167.0,176.0,1,right,MISS D. Brooks 24' 3PT,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,24.28,,,,,,,,,,,,
23,PT10M30.00S,2023-12-07T01:13:17.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,2,4,2023-12-07T01:13:22Z,230000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,22.0,,,,,,,,
25,PT10M21.00S,2023-12-07T01:13:45.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630578,93.11760840998686,55.392156862745104,1610612745,2,4,2023-12-07T01:13:55Z,250000,False,27.0,12.0,1,right,MISS A. Sengun driving reverse Layup - blocked,"[1630578, 1631096]",1610612745.0,HOU,driving reverse,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.96,,,,,,,,Holmgren,1631096.0,,,
26,PT10M21.00S,2023-12-07T01:13:45.4Z,1,REGULAR,block,,[],1631096,,,1610612745,2,4,2023-12-07T01:13:48Z,260000,False,,,0,,C. Holmgren BLOCK (2 BLK),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT10M19.00S,2023-12-07T01:13:47.4Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,2,4,2023-12-07T01:14:04Z,270000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,
