actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-10-25T23:40:43.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-25T23:40:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-25T23:40:45.3Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2021-10-25T23:40:45Z,40000,,,0,,Jump Ball P. Achiuwa vs. N. Vucevic: Tip to S. Barnes,"[1630567, 1630173, 202696]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Achiuwa,1630173.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-10-25T23:40:57.6Z,1,REGULAR,turnover,bad pass,[],1628384,,,1610612761,0,0,2021-10-25T23:41:02Z,70000,,,0,,O. Anunoby bad pass TURNOVER (1 TO),"[1628384, 202696]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,1.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-10-25T23:40:57.6Z,1,REGULAR,steal,,[],202696,,,1610612741,0,0,2021-10-25T23:40:59Z,80000,,,0,,N. Vucevic STEAL (1 STL),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2021-10-25T23:41:05.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203897,91.14651773981603,2.450980392156863,1610612741,0,0,2021-10-25T23:41:12Z,90000,-238.0,31.0,1,right,MISS Z. LaVine step back 3PT,[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,,,,23.97,Missed,,,,,,,,,,,,,,,
10,PT11M33.00S,2021-10-25T23:41:09.8Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,0,0,2021-10-25T23:41:12Z,100000,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M23.00S,2021-10-25T23:41:19.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630173,9.937582128777924,59.31372549019608,1610612761,0,0,2021-10-25T23:41:24Z,110000,-47.0,41.0,1,left,MISS P. Achiuwa 6' driving floating Shot,[1630173],1610612761.0,TOR,driving floating,,,Achiuwa,P. Achiuwa,,,,,,,,6.2,Missed,,,,,,,,,,,,,,,
12,PT11M21.00S,2021-10-25T23:41:21.3Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,0,0,2021-10-25T23:41:24Z,120000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M14.00S,2021-10-25T23:41:28.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,90.75229960578186,50.73529411764706,1610612741,0,0,2021-10-25T23:41:32Z,130000,4.0,34.0,1,right,MISS N. Vucevic driving Hook,[202696],1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,,,,3.46,Missed,,,,,,,,,,,,,,,
14,PT11M12.00S,2021-10-25T23:41:30.4Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,0,0,2021-10-25T23:41:32Z,140000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M57.00S,2021-10-25T23:41:45.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,13.61695137976347,47.30392156862745,1610612761,2,0,2021-10-25T23:42:21Z,150000,13.0,75.0,1,left,S. Barnes 7' floating Jump Shot (2 PTS) (O. Anunoby 1 AST),"[1630567, 1628384]",1610612761.0,TOR,floating,,,Barnes,S. Barnes,,,,,,,,7.67,Made,,,,,2.0,O. Anunoby,1628384.0,1.0,,,,,,,
17,PT10M36.00S,2021-10-25T23:42:05.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630172,85.62746386333771,49.01960784313725,1610612741,2,0,2021-10-25T23:42:10Z,170000,-5.0,83.0,1,right,MISS P. Williams 8' pullup Shot,[1630172],1610612741.0,CHI,pullup,,,Williams,P. Williams,,,,,,,,8.27,Missed,,,,,,,,,,,,,,,
18,PT10M33.00S,2021-10-25T23:42:08.8Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,2,0,2021-10-25T23:42:10Z,180000,,,0,,P. Achiuwa REBOUND (Off:0 Def:2),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,,
19,PT10M22.00S,2021-10-25T23:42:20.2Z,1,REGULAR,3pt,Jump Shot,[],1629018,32.933639947437584,57.107843137254896,1610612761,5,0,2021-10-25T23:42:25Z,190000,-36.0,257.0,1,left,G. Trent Jr. 25' 3PT step back (3 PTS) (F. VanVleet 1 AST),"[1629018, 1627832]",1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,,,,25.95,Made,,,,,3.0,F. VanVleet,1627832.0,1.0,,,,,,,
21,PT09M58.00S,2021-10-25T23:42:43.4Z,1,REGULAR,3pt,Jump Shot,[],201942,67.62483574244416,28.186274509803923,1610612741,5,3,2021-10-25T23:42:48Z,210000,-109.0,252.0,1,right,D. DeRozan 27' 3PT  (3 PTS) (Z. LaVine 1 AST),"[201942, 203897]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,27.44,Made,,,,,3.0,Z. LaVine,203897.0,1.0,,,,,,,
23,PT09M43.00S,2021-10-25T23:43:00.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,5.995400788436268,54.166666666666664,1610612761,5,3,2021-10-25T23:43:08Z,230000,-21.0,4.0,1,left,MISS O. Anunoby driving finger roll Layup,[1628384],1610612761.0,TOR,driving finger roll,,,Anunoby,O. Anunoby,,,,,,,,2.12,Missed,,,,,,,,,,,,,,,
25,PT09M43.00S,2021-10-25T23:43:00.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,5,3,2021-10-25T23:43:08Z,250000,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,
26,PT09M43.00S,2021-10-25T23:43:05.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,5,3,2021-10-25T23:43:05Z,260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M36.00S,2021-10-25T23:43:16.0Z,1,REGULAR,3pt,Jump Shot,[],1628366,68.41327201051249,68.38235294117648,1610612741,5,6,2021-10-25T23:43:26Z,270000,92.0,244.0,1,right,L. Ball 26' 3PT pullup (3 PTS) (Z. LaVine 2 AST),"[1628366, 203897]",1610612741.0,CHI,pullup,,,Ball,L. Ball,,,,,,,,26.11,Made,,,,,3.0,Z. LaVine,203897.0,2.0,,,,,,,
28,PT09M16.00S,2021-10-25T23:43:35.2Z,1,REGULAR,2pt,Jump Shot,[],1629018,18.478975032851512,24.264705882352942,1610612761,7,6,2021-10-25T23:43:40Z,280000,129.0,121.0,1,left,G. Trent Jr. 17' Jump Shot (5 PTS) (O. Anunoby 2 AST),"[1629018, 1628384]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,17.68,Made,,,,,5.0,O. Anunoby,1628384.0,2.0,,,,,,,
31,PT09M03.00S,2021-10-25T23:43:48.6Z,1,REGULAR,2pt,Jump Shot,[],1628366,84.44480946123521,22.30392156862745,1610612741,7,6,2021-10-25T23:43:53Z,300000,-138.0,94.0,1,right,MISS L. Ball 16' pullup Shot,[1628366],1610612741.0,CHI,pullup,,,Ball,L. Ball,,,,,,,,16.72,Missed,,,,,,,,,,,,,,,
32,PT09M00.00S,2021-10-25T23:43:51.6Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,7,6,2021-10-25T23:43:53Z,310000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,
