actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-12-03T00:40:48.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-03T00:40:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-03T00:40:52.7Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612761,0,0,2021-12-03T00:40:52Z,40000,,,0,,Jump Ball P. Achiuwa vs. B. Portis: Tip to F. VanVleet,"[1627832, 1630173, 1626171]",1610612761.0,TOR,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Achiuwa,1630173.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2021-12-03T00:41:13.1Z,1,REGULAR,3pt,Jump Shot,[],1629018,31.882391590013142,30.88235294117647,1610612761,3,0,2021-12-03T00:41:31Z,70000,96.0,247.0,1,left,G. Trent Jr. 26' 3PT pullup (3 PTS) (P. Siakam 1 AST),"[1629018, 1627783]",1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,26.5,Made,3.0,P. Siakam,1627783.0,1.0,,,,,,,,,,,,,,,
9,PT11M10.00S,2021-12-03T00:41:37.9Z,1,REGULAR,2pt,Jump Shot,[],1626171,91.93495400788436,26.715686274509803,1610612749,3,0,2021-12-03T00:41:44Z,90000,-116.0,23.0,1,right,MISS B. Portis 11' turnaround fadeaway Shot,[1626171],1610612749.0,MIL,turnaround fadeaway,,,Portis,B. Portis,,,,,11.87,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M06.00S,2021-12-03T00:41:41.9Z,1,REGULAR,rebound,offensive,[],1628960,,,1610612749,3,0,2021-12-03T00:41:44Z,100000,,,0,,G. Allen REBOUND (Off:1 Def:0),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M04.00S,2021-12-03T00:41:44.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628960,68.15045992115637,66.91176470588235,1610612749,3,0,2021-12-03T00:41:48Z,110000,85.0,247.0,1,right,MISS G. Allen 26' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,26.1,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2021-12-03T00:41:46.0Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,3,0,2021-12-03T00:41:48Z,120000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M50.00S,2021-12-03T00:41:57.7Z,1,REGULAR,2pt,Jump Shot,[],1627783,24.52365308804205,47.05882352941176,1610612761,5,0,2021-12-03T00:42:04Z,130000,15.0,178.0,1,left,P. Siakam 17' step back Jump Shot (2 PTS),[1627783],1610612761.0,TOR,step back,,,Siakam,P. Siakam,,,,,17.86,Made,2.0,,,,,,,,,,,,,,,,,,
14,PT10M27.00S,2021-12-03T00:42:20.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626192,89.17542706964521,39.705882352941174,1610612749,5,0,2021-12-03T00:42:25Z,140000,-51.0,49.0,1,right,MISS P. Connaughton 7' turnaround Hook,[1626192],1610612749.0,MIL,turnaround,,,Connaughton,P. Connaughton,,,,,7.13,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M25.00S,2021-12-03T00:42:22.3Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,5,0,2021-12-03T00:42:25Z,150000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M19.00S,2021-12-03T00:42:29.1Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612761,5,0,2021-12-03T00:42:33Z,160000,,,0,,P. Siakam bad pass TURNOVER (1 TO),"[1627783, 1626192]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,1.0,Connaughton,1626192.0,,,,,,,,
17,PT10M19.00S,2021-12-03T00:42:29.1Z,1,REGULAR,steal,,[],1626192,,,1610612749,5,0,2021-12-03T00:42:32Z,170000,,,0,,P. Connaughton STEAL (1 STL),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M06.00S,2021-12-03T00:42:41.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628960,94.95729303547962,4.411764705882353,1610612749,5,0,2021-12-03T00:42:46Z,180000,-228.0,-5.0,1,right,MISS G. Allen 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,22.8,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M03.00S,2021-12-03T00:42:44.9Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,5,0,2021-12-03T00:42:46Z,190000,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT09M56.00S,2021-12-03T00:42:52.0Z,1,REGULAR,3pt,Jump Shot,[],1629018,31.09395532194481,19.362745098039216,1610612761,5,0,2021-12-03T00:42:57Z,200000,153.0,240.0,1,left,MISS G. Trent Jr. 28' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,28.46,Missed,,,,,,,,,,,,,,,,,,,
21,PT09M52.00S,2021-12-03T00:42:56.0Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,5,0,2021-12-03T00:42:57Z,210000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,
22,PT09M47.00S,2021-12-03T00:43:01.2Z,1,REGULAR,2pt,Hook,['fastbreak'],201950,90.88370565045992,30.392156862745097,1610612749,5,2,2021-12-03T00:43:07Z,220000,-98.0,33.0,1,right,J. Holiday 10' driving bank Hook (2 PTS),[201950],1610612749.0,MIL,driving bank,,,Holiday,J. Holiday,,,,,10.35,Made,2.0,,,,,,,,,,,,,,,,,,
23,PT09M28.00S,2021-12-03T00:43:19.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630173,14.931011826544022,58.333333333333336,1610612761,5,2,2021-12-03T00:43:25Z,230000,-42.0,88.0,1,left,MISS P. Achiuwa 9' floating Shot,[1630173],1610612761.0,TOR,floating,,,Achiuwa,P. Achiuwa,,,,,9.73,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M26.00S,2021-12-03T00:43:21.3Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,5,2,2021-12-03T00:43:25Z,240000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,
25,PT09M19.00S,2021-12-03T00:43:31.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,5,2,2021-12-03T00:43:31Z,250000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M19.00S,2021-12-03T00:44:00.8Z,1,REGULAR,stoppage,court clean up,[],0,,,1610612749,5,2,2021-12-03T00:44:00Z,260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M12.00S,2021-12-03T00:44:27.5Z,1,REGULAR,2pt,Jump Shot,[],201950,77.4802890932983,46.32352941176471,1610612749,5,4,2021-12-03T00:44:31Z,270000,-18.0,159.0,1,right,J. Holiday 16' pullup Jump Shot (4 PTS),[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,16.03,Made,4.0,,,,,,,,,,,,,,,,,,
28,PT08M57.00S,2021-12-03T00:44:41.6Z,1,REGULAR,3pt,Jump Shot,[],1627783,6.521024967148489,3.6764705882352944,1610612761,8,4,2021-12-03T00:44:46Z,280000,232.0,9.0,1,left,P. Siakam 3PT  (5 PTS) (P. Achiuwa 1 AST),"[1627783, 1630173]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,23.18,Made,5.0,P. Achiuwa,1630173.0,1.0,,,,,,,,,,,,,,,
30,PT08M46.00S,2021-12-03T00:44:55.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,92.59198423127464,45.34313725490196,1610612749,8,4,2021-12-03T00:45:04Z,300000,-23.0,17.0,1,right,MISS B. Portis Layup - blocked,"[1626171, 1627832]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,2.89,Missed,,,,,,,,,,,,VanVleet,1627832.0,,,,,,
31,PT08M46.00S,2021-12-03T00:44:55.6Z,1,REGULAR,block,,[],1627832,,,1610612749,8,4,2021-12-03T00:45:00Z,310000,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT08M46.00S,2021-12-03T00:44:55.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,8,4,2021-12-03T00:45:04Z,320000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,
33,PT08M46.00S,2021-12-03T00:45:03.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,8,4,2021-12-03T00:45:03Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M32.00S,2021-12-03T00:45:19.7Z,1,REGULAR,3pt,Jump Shot,[],1627832,30.042706964520367,78.67647058823529,1610612761,8,4,2021-12-03T00:45:25Z,340000,-143.0,230.0,1,left,MISS F. VanVleet 27' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,27.1,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M29.00S,2021-12-03T00:45:22.7Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,8,4,2021-12-03T00:45:25Z,350000,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,
36,PT08M28.00S,2021-12-03T00:45:26.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201950,94.82588699080158,50.0,1610612749,8,6,2021-12-03T00:45:34Z,360000,0.0,-4.0,1,right,J. Holiday running Layup (6 PTS) (K. Middleton 1 AST),"[201950, 203114]",1610612749.0,MIL,running,,,Holiday,J. Holiday,,,,,0.39,Made,6.0,K. Middleton,203114.0,1.0,,,,,,,,,,,,,,,
38,PT08M28.00S,2021-12-03T00:45:30.6Z,1,REGULAR,foul,personal,['1freethrow'],1627832,,,1610612749,8,6,2021-12-03T00:45:37Z,380000,,,0,,F. VanVleet shooting personal FOUL (1 PF) (Holiday 1 FT),"[1627832, 201950]",1610612761.0,TOR,shooting,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,203054.0,1.0,0.0,Holiday,201950.0,
40,PT08M28.00S,2021-12-03T00:45:52.6Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],201950,,,1610612749,8,7,2021-12-03T00:45:52Z,400000,,,0,,J. Holiday Free Throw 1 of 1 (7 PTS),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
41,PT08M09.00S,2021-12-03T00:46:14.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,17.559132720105126,43.627450980392155,1610612761,8,7,2021-12-03T00:46:20Z,410000,32.0,113.0,1,left,MISS G. Trent Jr. 11' fadeaway Shot,[1629018],1610612761.0,TOR,fadeaway,,,Trent Jr.,G. Trent Jr.,,,,,11.7,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M06.00S,2021-12-03T00:46:17.3Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,8,7,2021-12-03T00:46:20Z,420000,,,0,,K. Middleton REBOUND (Off:0 Def:2),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,
43,PT08M00.00S,2021-12-03T00:46:26.6Z,1,REGULAR,violation,kicked ball,[],1630567,,,1610612749,8,7,2021-12-03T00:46:31Z,430000,,,0,,S. Barnes kicked ball VIOLATION,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,203054.0,,,,,
