actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-28T23:41:01.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-28T23:41:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-28T23:41:03.2Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612761,0,0,2022-03-28T23:41:03Z,40000,,,0,,Jump Ball S. Barnes vs. D. Theis: Tip to F. VanVleet,"[1627832, 1630567, 1628464]",1610612761.0,TOR,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Barnes,1630567.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-03-28T23:41:15.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630567,11.383048620236531,42.8921568627451,1610612761,0,0,2022-03-28T23:41:20Z,70000,36.0,55.0,1,left,MISS S. Barnes 6' driving Hook,[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,6.5,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-03-28T23:41:17.8Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,0,0,2022-03-28T23:41:20Z,80000,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M41.00S,2022-03-28T23:41:19.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629018,8.09789750328515,94.85294117647058,1610612761,0,0,2022-03-28T23:41:23Z,90000,-224.0,24.0,1,left,MISS G. Trent Jr. 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,22.55,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M38.00S,2022-03-28T23:41:22.3Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612761,0,0,2022-03-28T23:41:23Z,100000,,,0,,O. Anunoby REBOUND (Off:1 Def:0),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M38.00S,2022-03-28T23:41:26.1Z,1,REGULAR,turnover,out-of-bounds,[],1629018,,,1610612761,0,0,2022-03-28T23:41:35Z,110000,,,0,,G. Trent Jr. step out-of-bounds TURNOVER (1 TO),[1629018],1610612761.0,TOR,step,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,1628172.0,1.0,,,,,,,,,,,,,
12,PT11M25.00S,2022-03-28T23:41:45.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203935,64.60249671484888,39.950980392156865,1610612738,0,3,2022-03-28T23:41:50Z,120000,-50.0,280.0,1,right,M. Smart 28' 3PT  (3 PTS) (D. White 1 AST),"[203935, 1628401]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,28.47,Made,,,,,,,3.0,D. White,1628401.0,1.0,,,,,,,,,
14,PT10M58.00S,2022-03-28T23:42:12.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628384,11.514454664914586,48.529411764705884,1610612761,2,3,2022-03-28T23:42:17Z,140000,7.0,56.0,1,left,O. Anunoby driving Hook (2 PTS),[1628384],1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,5.62,Made,,,,,,,2.0,,,,,,,,,,,,
15,PT10M42.00S,2022-03-28T23:42:28.0Z,1,REGULAR,3pt,Jump Shot,[],1628401,67.09921156373193,54.166666666666664,1610612738,2,3,2022-03-28T23:42:32Z,150000,21.0,257.0,1,right,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,25.76,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M39.00S,2022-03-28T23:42:31.0Z,1,REGULAR,rebound,offensive,[],1630174,,,1610612738,2,3,2022-03-28T23:42:32Z,160000,,,0,,A. Nesmith REBOUND (Off:1 Def:0),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
17,PT10M37.00S,2022-03-28T23:42:33.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630174,94.56307490144546,51.225490196078425,1610612738,2,5,2022-03-28T23:42:37Z,170000,6.0,-1.0,1,right,A. Nesmith putback Layup (2 PTS),[1630174],1610612738.0,BOS,putback,,,Nesmith,A. Nesmith,,,,,0.63,Made,,,,,,,2.0,,,,,,,,,,,,
18,PT10M22.00S,2022-03-28T23:42:48.2Z,1,REGULAR,3pt,Jump Shot,[],1627783,25.57490144546649,13.970588235294118,1610612761,2,5,2022-03-28T23:42:52Z,180000,180.0,188.0,1,left,MISS P. Siakam 26' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,26.03,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M18.00S,2022-03-28T23:42:52.2Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,2,5,2022-03-28T23:42:52Z,190000,,,0,,A. Nesmith REBOUND (Off:1 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,18.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
20,PT10M08.00S,2022-03-28T23:43:04.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629684,93.51182654402102,53.92156862745098,1610612738,2,7,2022-03-28T23:43:09Z,200000,20.0,8.0,1,right,G. Williams Layup (2 PTS) (D. Theis 1 AST),"[1629684, 1628464]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,2.14,Made,,,,,,,2.0,D. Theis,1628464.0,1.0,,,,,,,,,
22,PT10M08.00S,2022-03-28T23:43:06.4Z,1,REGULAR,foul,personal,['1freethrow'],1630567,,,1610612738,2,7,2022-03-28T23:43:13Z,220000,,,0,,S. Barnes shooting personal FOUL (1 PF) (Williams 1 FT),"[1630567, 1629684]",1610612761.0,TOR,shooting,,,Barnes,S. Barnes,,,,,,,,,,,1628172.0,,,,,,1.0,0.0,Williams,1629684.0,,,,,
24,PT10M08.00S,2022-03-28T23:43:27.4Z,1,REGULAR,freethrow,1 of 1,[],1629684,,,1610612738,2,8,2022-03-28T23:43:27Z,240000,,,0,,G. Williams Free Throw 1 of 1 (3 PTS),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
25,PT09M56.00S,2022-03-28T23:43:40.4Z,1,REGULAR,3pt,Jump Shot,[],1629018,32.40801576872536,33.57843137254902,1610612761,5,8,2022-03-28T23:43:45Z,250000,82.0,252.0,1,left,G. Trent Jr. 26' 3PT  (3 PTS) (S. Barnes 1 AST),"[1629018, 1630567]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,26.51,Made,,,,,,,3.0,S. Barnes,1630567.0,1.0,,,,,,,,,
27,PT09M31.00S,2022-03-28T23:44:05.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,94.03745072273325,52.450980392156865,1610612738,5,10,2022-03-28T23:44:11Z,270000,12.0,4.0,1,right,M. Smart driving reverse Layup (5 PTS),[203935],1610612738.0,BOS,driving reverse,,,Smart,M. Smart,,,,,1.28,Made,,,,,,,5.0,,,,,,,,,,,,
