actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-02T00:40:59.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-02T00:40:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-02T00:41:01.9Z,1,REGULAR,jumpball,recovered,[],201949,,,1610612751,0,0,2022-03-02T00:41:01Z,40000,,,0,,Jump Ball L. Aldridge vs. S. Barnes: Tip to J. Johnson,"[201949, 200746, 1630567]",1610612751.0,BKN,startperiod,J. Johnson,201949.0,Johnson,J. Johnson,Aldridge,200746.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2022-03-02T00:41:25.4Z,1,REGULAR,3pt,Jump Shot,[],201949,30.042706964520367,76.9607843137255,1610612751,0,3,2022-03-02T00:41:31Z,70000,-135.0,230.0,1,left,J. Johnson 26' 3PT  (3 PTS) (S. Curry 1 AST),"[201949, 203552]",1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,26.65,Made,3.0,S. Curry,203552.0,1.0,,,,,,,,,,,,,,,
9,PT11M12.00S,2022-03-02T00:41:47.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627783,84.83902759526939,49.50980392156863,1610612761,2,3,2022-03-02T00:42:04Z,90000,-2.0,90.0,1,right,P. Siakam 9' turnaround Hook (2 PTS),[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,9.0,Made,2.0,,,,,,,,,,,,,,,,,,
10,PT11M12.00S,2022-03-02T00:41:52.2Z,1,REGULAR,foul,personal,['1freethrow'],201949,,,1610612761,2,3,2022-03-02T00:41:58Z,100000,,,0,,J. Johnson shooting personal FOUL (1 PF) (Siakam 1 FT),"[201949, 1627783]",1610612751.0,BKN,shooting,,,Johnson,J. Johnson,,,,,,,,,,,1626301.0,1.0,0.0,Siakam,1627783.0,,,,,,,,,,
12,PT11M12.00S,2022-03-02T00:42:18.0Z,1,REGULAR,freethrow,1 of 1,[],1627783,,,1610612761,3,3,2022-03-02T00:42:18Z,120000,,,0,,P. Siakam Free Throw 1 of 1 (3 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2022-03-02T00:42:30.6Z,1,REGULAR,foul,offensive,[],203552,,,1610612751,3,3,2022-03-02T00:42:52Z,130000,,,0,,S. Curry off-the-ball offensive FOUL (1 PF),"[203552, 1630201]",1610612751.0,BKN,off-the-ball,,,Curry,S. Curry,,,,,,,,,,,1146.0,1.0,0.0,Flynn,1630201.0,,,,,,,,,,
15,PT11M05.00S,2022-03-02T00:42:30.6Z,1,REGULAR,turnover,offensive foul,[],203552,,,1610612751,3,3,2022-03-02T00:42:30Z,150000,,,0,,S. Curry offensive foul TURNOVER (1 TO),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,1146.0,,,,,1.0,,,,,,,,,
16,PT10M52.00S,2022-03-02T00:42:53.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627783,91.01511169513797,59.80392156862745,1610612761,3,3,2022-03-02T00:43:04Z,160000,49.0,32.0,1,right,MISS P. Siakam driving Layup,[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,5.85,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M49.00S,2022-03-02T00:42:56.5Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,3,3,2022-03-02T00:43:04Z,170000,,,0,,L. Aldridge REBOUND (Off:0 Def:1),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
18,PT10M31.00S,2022-03-02T00:43:13.4Z,1,REGULAR,2pt,Jump Shot,[],200746,8.623521681997373,75.24509803921569,1610612751,3,3,2022-03-02T00:43:21Z,180000,-126.0,29.0,1,left,MISS L. Aldridge 12' turnaround fadeaway Shot,[200746],1610612751.0,BKN,turnaround fadeaway,,,Aldridge,L. Aldridge,,,,,12.94,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M29.00S,2022-03-02T00:43:15.4Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,3,3,2022-03-02T00:43:21Z,190000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,
20,PT10M21.00S,2022-03-02T00:43:23.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629018,92.59198423127464,36.51960784313725,1610612761,3,3,2022-03-02T00:43:32Z,200000,-67.0,17.0,1,right,MISS G. Trent Jr. 6' driving finger roll Layup,[1629018],1610612761.0,TOR,driving finger roll,,,Trent Jr.,G. Trent Jr.,,,,,6.95,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M18.00S,2022-03-02T00:43:26.7Z,1,REGULAR,rebound,defensive,[],203552,,,1610612751,3,3,2022-03-02T00:43:32Z,210000,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,
22,PT10M12.00S,2022-03-02T00:43:32.8Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203552,4.944152431011826,15.686274509803921,1610612751,3,5,2022-03-02T00:43:44Z,220000,172.0,-6.0,1,left,S. Curry 17' running pullup Jump Shot (2 PTS),[203552],1610612751.0,BKN,running pullup,,,Curry,S. Curry,,,,,17.17,Made,2.0,,,,,,,,,,,,,,,,,,
23,PT10M02.00S,2022-03-02T00:43:43.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630567,84.57621550591328,48.529411764705884,1610612761,5,5,2022-03-02T00:43:50Z,230000,-7.0,92.0,1,right,S. Barnes 9' driving Hook (2 PTS),[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,9.28,Made,2.0,,,,,,,,,,,,,,,,,,
24,PT09M50.00S,2022-03-02T00:43:55.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],200746,12.959921156373195,40.19607843137255,1610612751,5,7,2022-03-02T00:44:00Z,240000,49.0,69.0,1,left,L. Aldridge 8' turnaround Hook (2 PTS) (B. Brown 1 AST),"[200746, 1628971]",1610612751.0,BKN,turnaround,,,Aldridge,L. Aldridge,,,,,8.49,Made,2.0,B. Brown,1628971.0,1.0,,,,,,,,,,,,,,,
26,PT09M39.00S,2022-03-02T00:44:05.7Z,1,REGULAR,2pt,Jump Shot,[],1630201,81.8166885676741,77.69607843137256,1610612761,7,7,2022-03-02T00:44:11Z,260000,138.0,118.0,1,right,M. Flynn 18' pullup Jump Shot (2 PTS) (S. Barnes 1 AST),"[1630201, 1630567]",1610612761.0,TOR,pullup,,,Flynn,M. Flynn,,,,,18.22,Made,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,,,,
28,PT09M20.00S,2022-03-02T00:44:25.1Z,1,REGULAR,2pt,Jump Shot,[],203552,18.610381077529567,68.87254901960785,1610612751,7,7,2022-03-02T00:44:33Z,280000,-94.0,122.0,1,left,MISS S. Curry 15' driving floating Shot,[203552],1610612751.0,BKN,driving floating,,,Curry,S. Curry,,,,,15.46,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M17.00S,2022-03-02T00:44:28.1Z,1,REGULAR,rebound,defensive,[],1630201,,,1610612761,7,7,2022-03-02T00:44:33Z,290000,,,0,,M. Flynn REBOUND (Off:0 Def:1),[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,
30,PT09M14.00S,2022-03-02T00:44:30.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629018,72.7496714848883,14.950980392156863,1610612761,7,7,2022-03-02T00:44:59Z,300000,-175.0,204.0,1,right,MISS G. Trent Jr. 26' running 3PT,[1629018],1610612761.0,TOR,running,,,Trent Jr.,G. Trent Jr.,,,,,26.87,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M14.00S,2022-03-02T00:44:30.9Z,1,REGULAR,rebound,offensive,[],1629018,,,1610612761,7,7,2022-03-02T00:44:59Z,310000,,,0,,G. Trent Jr. REBOUND (Off:1 Def:0),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,30.0,1.0,0.0,1.0,,,,,
32,PT08M58.00S,2022-03-02T00:44:47.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630201,94.56307490144546,3.431372549019608,1610612761,7,7,2022-03-02T00:45:03Z,320000,-233.0,-1.0,1,right,MISS M. Flynn 3PT,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,23.28,Missed,,,,,,,,,,,,,,,,,,,
33,PT08M54.00S,2022-03-02T00:44:51.3Z,1,REGULAR,rebound,offensive,[],203920,,,1610612761,7,7,2022-03-02T00:45:03Z,330000,,,0,,K. Birch REBOUND (Off:1 Def:0),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,32.0,1.0,0.0,1.0,,,,,
34,PT08M53.00S,2022-03-02T00:44:52.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203920,93.77463863337714,51.225490196078425,1610612761,9,7,2022-03-02T00:45:09Z,340000,6.0,6.0,1,right,K. Birch putback Layup (2 PTS),[203920],1610612761.0,TOR,putback,,,Birch,K. Birch,,,,,0.86,Made,2.0,,,,,,,,,,,,,,,,,,
35,PT08M43.00S,2022-03-02T00:45:02.2Z,1,REGULAR,3pt,Jump Shot,[],201988,17.95335085413929,94.85294117647058,1610612751,9,10,2022-03-02T00:45:16Z,350000,-224.0,116.0,1,left,P. Mills 25' 3PT  (3 PTS) (J. Johnson 1 AST),"[201988, 201949]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,25.27,Made,3.0,J. Johnson,201949.0,1.0,,,,,,,,,,,,,,,
