actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-12-09T00:40:47.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-09T00:40:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-09T00:40:49.3Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612761,0,0,2021-12-09T00:40:49Z,40000,,,0,,Jump Ball C. Boucher vs. J. Robinson-Earl: Tip to F. VanVleet,"[1627832, 1628449, 1630526]",1610612761.0,TOR,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Boucher,1628449.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-12-09T00:41:06.6Z,1,REGULAR,3pt,Jump Shot,[],1627832,90.09526938239159,95.09803921568627,1610612761,0,0,2021-12-09T00:41:14Z,70000,225.0,41.0,1,right,MISS F. VanVleet 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,22.91,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2021-12-09T00:41:09.6Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,0,0,2021-12-09T00:41:14Z,80000,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2021-12-09T00:41:10.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630567,92.9862023653088,51.225490196078425,1610612761,0,0,2021-12-09T00:41:18Z,90000,6.0,13.0,1,right,MISS S. Barnes Layup - blocked,"[1630567, 1629652]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,1.47,Missed,,,,,Dort,1629652.0,,,,,,,,,,,,,
10,PT11M36.00S,2021-12-09T00:41:10.7Z,1,REGULAR,block,,[],1629652,,,1610612761,0,0,2021-12-09T00:41:13Z,100000,,,0,,L. Dort BLOCK (1 BLK),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M33.00S,2021-12-09T00:41:13.7Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,0,0,2021-12-09T00:41:18Z,110000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M29.00S,2021-12-09T00:41:17.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629647,23.603810775295663,86.02941176470588,1610612760,0,0,2021-12-09T00:41:23Z,120000,-180.0,169.0,1,left,MISS D. Bazley 24' running 3PT,[1629647],1610612760.0,OKC,running,,,Bazley,D. Bazley,,,,,24.72,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M26.00S,2021-12-09T00:41:20.3Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,0,2021-12-09T00:41:23Z,130000,,,0,,S. Barnes REBOUND (Off:1 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,12.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
14,PT11M19.00S,2021-12-09T00:41:27.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628449,94.1688567674113,50.0,1610612761,2,0,2021-12-09T00:41:32Z,140000,0.0,2.0,1,right,C. Boucher alley-oop DUNK (2 PTS) (S. Barnes 1 AST),"[1628449, 1630567]",1610612761.0,TOR,alley-oop,,,Boucher,C. Boucher,,,,,0.23,Made,,,,,,,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,
