actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-30T23:40:37.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-30T23:40:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-30T23:40:40.4Z,1,REGULAR,jumpball,recovered,[],1629020,,,1610612750,0,0,2022-03-30T23:40:40Z,40000,,,0,,Jump Ball K. Towns vs. S. Barnes: Tip to J. Vanderbilt,"[1629020, 1626157, 1630567]",1610612750.0,MIN,startperiod,J. Vanderbilt,1629020.0,Vanderbilt,J. Vanderbilt,Towns,1626157.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-03-30T23:40:49.0Z,1,REGULAR,3pt,Jump Shot,[],201976,23.99802890932983,12.254901960784313,1610612750,0,3,2022-03-30T23:40:53Z,70000,189.0,173.0,1,left,P. Beverley 25' 3PT  (3 PTS) (A. Edwards 1 AST),"[201976, 1630162]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,25.61,Made,3.0,A. Edwards,1630162.0,1.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-03-30T23:41:05.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628384,93.38042049934296,52.450980392156865,1610612761,2,3,2022-03-30T23:41:09Z,90000,12.0,10.0,1,right,O. Anunoby cutting DUNK (2 PTS) (S. Barnes 1 AST),"[1628384, 1630567]",1610612761.0,TOR,cutting,,,Anunoby,O. Anunoby,,,,,1.57,Made,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,,,,
11,PT11M17.00S,2022-03-30T23:41:19.7Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612750,2,3,2022-03-30T23:41:24Z,110000,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 1627783]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,1.0,Siakam,1627783.0,,,,,,,,,,,,
12,PT11M17.00S,2022-03-30T23:41:19.7Z,1,REGULAR,steal,,[],1627783,,,1610612761,2,3,2022-03-30T23:41:22Z,120000,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2022-03-30T23:41:25.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629018,95.87713534822602,5.392156862745098,1610612761,5,3,2022-03-30T23:41:31Z,130000,-223.0,-14.0,1,right,G. Trent Jr. 3PT running (3 PTS) (F. VanVleet 1 AST),"[1629018, 1627832]",1610612761.0,TOR,running,,,Trent Jr.,G. Trent Jr.,,,,,22.34,Made,3.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,,,,,
15,PT10M54.00S,2022-03-30T23:41:42.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,14.931011826544022,52.94117647058824,1610612750,5,3,2022-03-30T23:41:48Z,150000,-15.0,88.0,1,left,MISS D. Russell 8' driving floating Shot,[1626156],1610612750.0,MIN,driving floating,,,Russell,D. Russell,,,,,8.91,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M51.00S,2022-03-30T23:41:45.6Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,5,3,2022-03-30T23:41:48Z,160000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:0),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,
17,PT10M50.00S,2022-03-30T23:41:47.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629020,8.886333771353483,48.28431372549019,1610612750,5,3,2022-03-30T23:41:55Z,170000,9.0,31.0,1,left,MISS J. Vanderbilt putback Layup,[1629020],1610612750.0,MIN,putback,,,Vanderbilt,J. Vanderbilt,,,,,3.22,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M50.00S,2022-03-30T23:41:47.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,5,3,2022-03-30T23:41:55Z,180000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,
19,PT10M49.00S,2022-03-30T23:41:52.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,5,3,2022-03-30T23:41:52Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M46.00S,2022-03-30T23:42:08.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,9.280551905387648,51.9607843137255,1610612750,5,3,2022-03-31T00:10:53Z,200000,-10.0,35.0,1,left,MISS K. Towns driving reverse Layup - blocked,"[1626157, 1630567]",1610612750.0,MIN,driving reverse,,,Towns,K. Towns,,,,,3.61,Missed,,,,,,,,,,,,Barnes,1630567.0,,,,,,
201,PT10M46.00S,2022-03-30T23:42:08.3Z,1,REGULAR,block,,[],1630567,,,1610612750,5,3,2022-03-31T00:10:53Z,205000,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
