actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-05T00:40:38.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-05T00:40:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-05T00:40:40.4Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2022-03-05T00:40:40Z,40000,,,0,,Jump Ball S. Barnes vs. M. Bamba: Tip to P. Siakam,"[1627783, 1630567, 1628964]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Barnes,1630567.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-03-05T00:40:54.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630567,13.748357424441524,56.127450980392155,1610612761,0,0,2022-03-05T00:40:59Z,70000,-31.0,77.0,1,left,MISS S. Barnes 8' driving Hook,[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,8.26,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-03-05T00:40:56.3Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,0,0,2022-03-05T00:40:59Z,80000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-03-05T00:41:04.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,0,0,2022-03-05T00:41:04Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2022-03-05T00:41:24.2Z,1,REGULAR,turnover,bad pass,[],1630175,,,1610612753,0,0,2022-03-05T00:41:29Z,100000,,,0,,C. Anthony bad pass TURNOVER (1 TO),"[1630175, 1630201]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,1.0,Flynn,1630201.0,,,,,,,,,,,,
11,PT11M28.00S,2022-03-05T00:41:24.2Z,1,REGULAR,steal,,[],1630201,,,1610612761,0,0,2022-03-05T00:41:26Z,110000,,,0,,M. Flynn STEAL (1 STL),[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2022-03-05T00:41:40.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627783,14.011169513797633,58.08823529411765,1610612761,2,0,2022-03-05T00:41:48Z,120000,-40.0,79.0,1,left,P. Siakam 8' turnaround fadeaway Jump Shot (2 PTS),[1627783],1610612761.0,TOR,turnaround fadeaway,,,Siakam,P. Siakam,,,,,8.89,Made,,,,,,,,2.0,,,,,,,,,,,
13,PT10M50.00S,2022-03-05T00:42:01.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,89.70105124835742,35.78431372549019,1610612753,2,0,2022-03-05T00:42:10Z,130000,-71.0,44.0,1,right,MISS J. Suggs 8' fadeaway bank Shot,[1630591],1610612753.0,ORL,fadeaway bank,,,Suggs,J. Suggs,,,,,8.38,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M47.00S,2022-03-05T00:42:04.9Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,2,0,2022-03-05T00:42:10Z,140000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M42.00S,2022-03-05T00:42:09.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629018,32.802233902759525,39.46078431372549,1610612761,2,0,2022-03-05T00:42:34Z,150000,53.0,256.0,1,left,MISS G. Trent Jr. 26' running 3PT,[1629018],1610612761.0,TOR,running,,,Trent Jr.,G. Trent Jr.,,,,,26.12,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M41.00S,2022-03-05T00:42:10.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,2,0,2022-03-05T00:42:21Z,160000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,
17,PT10M41.00S,2022-03-05T00:42:15.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,2,0,2022-03-05T00:42:15Z,170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M29.00S,2022-03-05T00:42:30.8Z,1,REGULAR,3pt,Jump Shot,[],1629643,76.03482260183968,11.76470588235294,1610612753,2,3,2022-03-05T00:42:38Z,180000,-191.0,173.0,1,right,C. Okeke 25' 3PT  (3 PTS) (F. Wagner 1 AST),"[1629643, 1630532]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,25.77,Made,,,,,,,,3.0,F. Wagner,1630532.0,1.0,,,,,,,,
