actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-08T23:40:58.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-08T23:40:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-04-08T23:41:02.0Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2022-04-08T23:41:02Z,40000,,,0,,Jump Ball S. Barnes vs. A. Sengun: Tip to P. Siakam,"[1627783, 1630567, 1630578]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Barnes,1630567.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-04-08T23:41:20.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,93.11760840998686,47.30392156862745,1610612761,2,0,2022-04-08T23:41:25Z,70000,-13.0,12.0,1,right,S. Barnes driving finger roll Layup (2 PTS),[1630567],1610612761.0,TOR,driving finger roll,,,Barnes,S. Barnes,,,,,1.82,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M17.00S,2022-04-08T23:41:40.2Z,1,REGULAR,3pt,Jump Shot,[],1630256,19.004599211563733,6.61764705882353,1610612745,2,3,2022-04-08T23:41:44Z,80000,217.0,126.0,1,left,J. Tate 25' 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[1630256, 1629645]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,25.09,Made,3.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,
10,PT11M03.00S,2022-04-08T23:41:55.0Z,1,REGULAR,2pt,Jump Shot,[],1629018,73.9323258869908,44.11764705882353,1610612761,2,3,2022-04-08T23:42:00Z,100000,-29.0,193.0,1,right,MISS G. Trent Jr. 19' step back Shot,[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,19.47,Missed,,,,,,,,,,,,,,,,,,
11,PT11M00.00S,2022-04-08T23:41:58.0Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,2,3,2022-04-08T23:42:00Z,110000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M51.00S,2022-04-08T23:42:07.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630224,6.1268068331143235,49.754901960784316,1610612745,2,5,2022-04-08T23:42:12Z,120000,1.0,5.0,1,left,J. Green driving DUNK (2 PTS),[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,0.52,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M41.00S,2022-04-08T23:42:16.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,85.3646517739816,45.83333333333333,1610612761,2,5,2022-04-08T23:42:22Z,130000,-21.0,85.0,1,right,MISS S. Barnes 8' driving floating Shot,[1630567],1610612761.0,TOR,driving floating,,,Barnes,S. Barnes,,,,,8.76,Missed,,,,,,,,,,,,,,,,,,
14,PT10M38.00S,2022-04-08T23:42:18.9Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,2,5,2022-04-08T23:42:18Z,140000,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,
15,PT10M35.00S,2022-04-08T23:42:22.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630567,94.1688567674113,59.55882352941176,1610612761,2,5,2022-04-08T23:42:27Z,150000,48.0,2.0,1,right,MISS S. Barnes Hook,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,4.79,Missed,,,,,,,,,,,,,,,,,,
16,PT10M33.00S,2022-04-08T23:42:24.4Z,1,REGULAR,rebound,defensive,[],1629726,,,1610612745,2,5,2022-04-08T23:42:27Z,160000,,,0,,G. Mathews REBOUND (Off:0 Def:1),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M28.00S,2022-04-08T23:42:29.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630256,7.30946123521682,48.529411764705884,1610612745,2,7,2022-04-08T23:42:40Z,170000,7.0,16.0,1,left,J. Tate running reverse Layup (5 PTS),[1630256],1610612745.0,HOU,running reverse,,,Tate,J. Tate,,,,,1.78,Made,5.0,,,,,,,,,,,,,,,,,
18,PT10M14.00S,2022-04-08T23:42:43.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203920,84.1819973718791,42.40196078431372,1610612761,2,7,2022-04-08T23:42:49Z,180000,-38.0,96.0,1,right,MISS K. Birch 10' floating Shot,[203920],1610612761.0,TOR,floating,,,Birch,K. Birch,,,,,10.34,Missed,,,,,,,,,,,,,,,,,,
19,PT10M11.00S,2022-04-08T23:42:46.5Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,7,2022-04-08T23:44:09Z,190000,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M06.00S,2022-04-08T23:42:52.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1629645,7.178055190538765,49.754901960784316,1610612745,2,9,2022-04-08T23:43:29Z,200000,1.0,15.0,1,left,K. Porter Jr. driving finger roll Layup (2 PTS),[1629645],1610612745.0,HOU,driving finger roll,,,Porter Jr.,K. Porter Jr.,,,,,1.5,Made,2.0,,,,,,,,,,,,,,,,,
22,PT10M06.00S,2022-04-08T23:43:08.8Z,1,REGULAR,violation,defensive goaltending,[],203920,,,1610612745,2,9,2022-04-08T23:43:29Z,220000,,,0,,K. Birch defensive goaltending VIOLATION,[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,2004.0,,,,,,,,,
23,PT09M48.00S,2022-04-08T23:43:20.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,92.85479632063075,54.166666666666664,1610612761,4,9,2022-04-08T23:43:36Z,230000,21.0,15.0,1,right,P. Siakam driving finger roll Layup (2 PTS),[1627783],1610612761.0,TOR,driving finger roll,,,Siakam,P. Siakam,,,,,2.55,Made,2.0,,,,,,,,,,,,,,,,,
24,PT09M20.00S,2022-04-08T23:43:48.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630256,10.068988173455978,55.14705882352941,1610612745,4,9,2022-04-08T23:43:54Z,240000,-26.0,42.0,1,left,MISS J. Tate Hook,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,4.93,Missed,,,,,,,,,,,,,,,,,,
25,PT09M17.00S,2022-04-08T23:43:51.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,4,9,2022-04-08T23:43:54Z,250000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,
26,PT09M14.00S,2022-04-08T23:43:54.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629717,77.4802890932983,9.803921568627452,1610612761,4,9,2022-04-08T23:44:02Z,260000,-201.0,159.0,1,right,MISS A. Brooks 25' running 3PT,[1629717],1610612761.0,TOR,running,,,Brooks,A. Brooks,,,,,25.64,Missed,,,,,,,,,,,,,,,,,,
