actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-10-20T23:47:09.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-20T23:47:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-10-20T23:47:11.1Z,1,REGULAR,jumpball,recovered,[],201609,,,1610612761,0,0,2021-10-20T23:47:11Z,40000,,,0,,Jump Ball P. Achiuwa vs. D. Gafford: Tip to G. Dragic,"[201609, 1630173, 1629655]",1610612761.0,TOR,startperiod,G. Dragic,201609.0,Dragic,G. Dragic,Achiuwa,1630173.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-10-20T23:47:21.4Z,1,REGULAR,3pt,Jump Shot,[],1627832,70.90998685939553,17.15686274509804,1610612761,3,0,2021-10-20T23:47:26Z,70000,-164.0,221.0,1,right,F. VanVleet 27' 3PT  (3 PTS) (G. Dragic 1 AST),"[1627832, 201609]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,27.52,Made,3.0,G. Dragic,201609.0,1.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2021-10-20T23:47:43.4Z,1,REGULAR,3pt,Jump Shot,[],203484,2.1846254927726676,0.0,1610612764,3,0,2021-10-20T23:47:48Z,90000,250.0,-32.0,1,left,MISS K. Caldwell-Pope 25' 3PT,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,25.2,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2021-10-20T23:47:45.6Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,3,0,2021-10-20T23:47:45Z,100000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M06.00S,2021-10-20T23:48:02.2Z,1,REGULAR,2pt,Jump Shot,[],201609,79.05716162943496,36.029411764705884,1610612761,5,0,2021-10-20T23:48:11Z,110000,-70.0,144.0,1,right,G. Dragic 16' fadeaway Jump Shot (2 PTS),[201609],1610612761.0,TOR,fadeaway,,,Dragic,G. Dragic,,,,,16.04,Made,2.0,,,,,,,,,,,,,,,,,,
12,PT10M50.00S,2021-10-20T23:48:18.4Z,1,REGULAR,3pt,Jump Shot,[],1628398,9.411957950065702,96.32352941176471,1610612764,5,3,2021-10-20T23:48:23Z,120000,-232.0,36.0,1,left,K. Kuzma 3PT  (3 PTS) (B. Beal 1 AST),"[1628398, 203078]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,23.44,Made,3.0,B. Beal,203078.0,1.0,,,,,,,,,,,,,,,
14,PT10M37.00S,2021-10-20T23:48:31.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630173,92.9862023653088,46.568627450980394,1610612761,5,3,2021-10-20T23:48:37Z,140000,-17.0,13.0,1,right,MISS P. Achiuwa driving floating Shot,[1630173],1610612761.0,TOR,driving floating,,,Achiuwa,P. Achiuwa,,,,,2.18,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M33.00S,2021-10-20T23:48:35.2Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,5,3,2021-10-20T23:51:53Z,150000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M20.00S,2021-10-20T23:48:47.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203915,8.09789750328515,59.55882352941176,1610612764,5,5,2021-10-20T23:48:59Z,160000,-48.0,24.0,1,left,S. Dinwiddie driving Layup (2 PTS) (K. Caldwell-Pope 1 AST),"[203915, 203484]",1610612764.0,WAS,driving,,,Dinwiddie,S. Dinwiddie,,,,,5.33,Made,2.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,,,,
