actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-11T00:40:28.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-11T00:40:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-11T00:40:30.3Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2021-12-11T00:40:30Z,40000,,,0,,Jump Ball C. Boucher vs. N. Noel: Tip to S. Barnes,"[1630567, 1628449, 203457]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Boucher,1628449.0,Noel,203457.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-12-11T00:40:49.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628449,91.67214191852825,57.59803921568627,1610612761,0,0,2021-12-11T00:40:56Z,70000,38.0,26.0,1,right,MISS C. Boucher driving Hook,[1628449],1610612761.0,TOR,driving,,,Boucher,C. Boucher,,,,,4.59,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-12-11T00:40:52.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2021-12-11T00:40:56Z,90000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
10,PT11M23.00S,2021-12-11T00:41:04.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,17.16491458607096,49.50980392156863,1610612752,0,2,2021-12-11T00:41:10Z,100000,2.0,109.0,1,left,R. Barrett 10' turnaround fadeaway Jump Shot (2 PTS),[1629628],1610612752.0,NYK,turnaround fadeaway,,,Barrett,R. Barrett,,,,,10.89,Made,,,,,2.0,,,,,,,,,,,,,,
11,PT11M09.00S,2021-12-11T00:41:20.9Z,1,REGULAR,violation,kicked ball,[],203457,,,1610612761,0,2,2021-12-11T00:41:32Z,110000,,,0,,N. Noel kicked ball VIOLATION,[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,202026.0,,,,,,,,,,,,,
12,PT11M01.00S,2021-12-11T00:41:45.8Z,1,REGULAR,3pt,Jump Shot,[],1628449,94.30026281208936,96.32352941176471,1610612761,3,2,2021-12-11T00:41:50Z,120000,232.0,1.0,1,right,C. Boucher 3PT  (3 PTS) (F. VanVleet 1 AST),"[1628449, 1627832]",1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,23.16,Made,,,,,3.0,,F. VanVleet,1627832.0,1.0,,,,,,,,,,
14,PT10M37.00S,2021-12-11T00:42:09.7Z,1,REGULAR,2pt,Jump Shot,[],1629628,21.632720105124836,75.24509803921569,1610612752,3,2,2021-12-11T00:42:14Z,140000,-126.0,151.0,1,left,MISS R. Barrett 19' pullup Shot,[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,19.66,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M35.00S,2021-12-11T00:42:11.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,3,2,2021-12-11T00:42:14Z,150000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT10M25.00S,2021-12-11T00:42:23.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628449,93.77463863337714,53.431372549019606,1610612761,5,2,2021-12-11T00:42:26Z,160000,17.0,6.0,1,right,C. Boucher Layup (5 PTS) (P. Siakam 1 AST),"[1628449, 1627783]",1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,1.82,Made,,,,,5.0,,P. Siakam,1627783.0,1.0,,,,,,,,,,
18,PT10M12.00S,2021-12-11T00:42:35.5Z,1,REGULAR,turnover,bad pass,[],202692,,,1610612752,5,2,2021-12-11T00:42:39Z,180000,,,0,,A. Burks bad pass TURNOVER (1 TO),"[202692, 1629018]",1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,1.0,Trent Jr.,1629018.0,,,,,,,
19,PT10M12.00S,2021-12-11T00:42:35.5Z,1,REGULAR,steal,,[],1629018,,,1610612761,5,2,2021-12-11T00:42:37Z,190000,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M09.00S,2021-12-11T00:42:38.7Z,1,REGULAR,turnover,lost ball,[],1629018,,,1610612761,5,2,2021-12-11T00:42:43Z,200000,,,0,,G. Trent Jr. lost ball TURNOVER (1 TO),"[1629018, 202692]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,1.0,Burks,202692.0,,,,,,,
21,PT10M09.00S,2021-12-11T00:42:38.7Z,1,REGULAR,steal,,[],202692,,,1610612752,5,2,2021-12-11T00:42:40Z,210000,,,0,,A. Burks STEAL (1 STL),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M00.00S,2021-12-11T00:42:47.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203095,30.042706964520367,74.75490196078431,1610612752,5,5,2021-12-11T00:43:01Z,220000,-124.0,230.0,1,left,E. Fournier 26' 3PT pullup (3 PTS) (J. Randle 1 AST),"[203095, 203944]",1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,26.11,Made,,,,,3.0,,J. Randle,203944.0,1.0,,,,,,,,,,
24,PT09M48.00S,2021-12-11T00:42:58.6Z,1,REGULAR,3pt,Jump Shot,[],1627832,72.7496714848883,21.07843137254902,1610612761,8,5,2021-12-11T00:43:04Z,240000,-145.0,204.0,1,right,F. VanVleet 24' 3PT pullup (3 PTS),[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,24.98,Made,,,,,3.0,,,,,,,,,,,,,,
25,PT09M20.00S,2021-12-11T00:43:27.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202692,15.456636005256241,47.794117647058826,1610612752,8,5,2021-12-11T00:43:32Z,250000,11.0,93.0,1,left,MISS A. Burks 9' turnaround Hook,[202692],1610612752.0,NYK,turnaround,,,Burks,A. Burks,,,,,9.34,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M17.00S,2021-12-11T00:43:30.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,8,5,2021-12-11T00:43:32Z,260000,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
27,PT09M05.00S,2021-12-11T00:43:42.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,89.70105124835742,39.705882352941174,1610612761,10,5,2021-12-11T00:43:47Z,270000,-51.0,44.0,1,right,S. Barnes 6' turnaround Jump Shot (2 PTS) (F. VanVleet 2 AST),"[1630567, 1627832]",1610612761.0,TOR,turnaround,,,Barnes,S. Barnes,,,,,6.79,Made,,,,,2.0,,F. VanVleet,1627832.0,2.0,,,,,,,,,,
29,PT08M49.00S,2021-12-11T00:43:58.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203457,7.046649145860711,46.32352941176471,1610612752,10,5,2021-12-11T00:44:02Z,290000,18.0,14.0,1,left,MISS N. Noel cutting DUNK,[203457],1610612752.0,NYK,cutting,,,Noel,N. Noel,,,,,2.29,Missed,,,,,,,,,,,,,,,,,,,
30,PT08M49.00S,2021-12-11T00:43:58.1Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,10,5,2021-12-11T00:44:02Z,300000,,,0,,P. Siakam REBOUND (Off:0 Def:3),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,29.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
31,PT08M49.00S,2021-12-11T00:44:01.2Z,1,REGULAR,foul,personal,[],203095,,,1610612761,10,5,2021-12-11T00:47:41Z,310000,,,0,,E. Fournier take personal FOUL (1 PF),"[203095, 1627783]",1610612752.0,NYK,take,,,Fournier,E. Fournier,,,,,,,,,,,,202026.0,,,,,,,1.0,0.0,Siakam,1627783.0,,,
33,PT08M29.00S,2021-12-11T00:44:41.6Z,1,REGULAR,3pt,Jump Shot,[],1629018,77.87450722733246,8.088235294117647,1610612761,13,5,2021-12-11T00:44:46Z,330000,-210.0,155.0,1,right,G. Trent Jr. 26' 3PT  (3 PTS) (F. VanVleet 3 AST),"[1629018, 1627832]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,26.1,Made,,,,,3.0,,F. VanVleet,1627832.0,3.0,,,,,,,,,,
35,PT08M20.00S,2021-12-11T00:44:54.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,13,5,2021-12-11T00:44:54Z,350000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M13.00S,2021-12-11T00:47:55.2Z,1,REGULAR,3pt,Jump Shot,[],203944,26.363337713534822,17.647058823529413,1610612752,13,5,2021-12-11T00:48:00Z,360000,162.0,195.0,1,left,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,25.36,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M09.00S,2021-12-11T00:47:59.2Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,13,5,2021-12-11T00:48:00Z,370000,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
