actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-10-27T23:40:17.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-27T23:40:17Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-10-27T23:40:19.3Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2021-10-27T23:40:19Z,40000,,,0,,Jump Ball P. Achiuwa vs. M. Turner: Tip to S. Barnes,"[1630567, 1630173, 1626167]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Achiuwa,1630173.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2021-10-27T23:40:42.1Z,1,REGULAR,2pt,Jump Shot,[],1630567,73.40670170827858,66.17647058823529,1610612761,0,0,2021-10-27T23:40:48Z,70000,81.0,197.0,1,right,MISS S. Barnes 21' Jump Shot,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,21.34,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2021-10-27T23:40:44.1Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,0,0,2021-10-27T23:40:48Z,80000,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2021-10-27T23:40:56.3Z,1,REGULAR,foul,personal,[],1630173,,,1610612754,0,0,2021-10-27T23:41:07Z,90000,,,0,,P. Achiuwa personal FOUL (1 PF),"[1630173, 1626167]",1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,1830.0,1.0,0.0,Turner,1626167.0,,,,,,,,,,
11,PT11M17.00S,2021-10-27T23:41:18.6Z,1,REGULAR,3pt,Jump Shot,[],203200,30.436925098554536,26.96078431372549,1610612754,0,0,2021-10-27T23:41:25Z,110000,115.0,234.0,1,left,MISS J. Holiday 26' 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,26.05,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2021-10-27T23:41:24.6Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,0,0,2021-10-27T23:41:25Z,120000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M04.00S,2021-10-27T23:41:31.0Z,1,REGULAR,2pt,Jump Shot,[],1628384,72.22404730617609,42.15686274509804,1610612761,0,0,2021-10-27T23:41:39Z,130000,-39.0,209.0,1,right,MISS O. Anunoby 21' pullup Shot,[1628384],1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,21.23,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2021-10-27T23:41:34.0Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,0,0,2021-10-27T23:41:39Z,140000,,,0,,C. Duarte REBOUND (Off:0 Def:2),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
15,PT10M50.00S,2021-10-27T23:41:45.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,7.966491458607096,55.14705882352941,1610612754,0,2,2021-10-27T23:41:49Z,150000,-26.0,22.0,1,left,D. Sabonis Hook (2 PTS) (M. Brogdon 1 AST),"[1627734, 1627763]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,3.41,Made,,,,,,,,,,2.0,M. Brogdon,1627763.0,1.0,,,,,,
17,PT10M39.00S,2021-10-27T23:41:55.5Z,1,REGULAR,3pt,Jump Shot,[],1627832,85.23324572930355,95.34313725490196,1610612761,3,2,2021-10-27T23:42:02Z,170000,227.0,86.0,1,right,F. VanVleet 24' 3PT  (3 PTS) (O. Anunoby 1 AST),"[1627832, 1628384]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,24.26,Made,,,,,,,,,,3.0,O. Anunoby,1628384.0,1.0,,,,,,
19,PT10M24.00S,2021-10-27T23:42:11.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,10.726018396846255,41.911764705882355,1610612754,3,2,2021-10-27T23:42:19Z,190000,40.0,48.0,1,left,MISS M. Brogdon 6' driving Layup - blocked,"[1627763, 1630173]",1610612754.0,IND,driving,,,Brogdon,M. Brogdon,,,,,6.3,Missed,,,,,,,,,,,,,,Achiuwa,1630173.0,,,,
20,PT10M24.00S,2021-10-27T23:42:11.6Z,1,REGULAR,block,,[],1630173,,,1610612754,3,2,2021-10-27T23:42:14Z,200000,,,0,,P. Achiuwa BLOCK (1 BLK),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M24.00S,2021-10-27T23:42:11.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,3,2,2021-10-27T23:42:19Z,210000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,
22,PT10M24.00S,2021-10-27T23:42:16.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,3,2,2021-10-27T23:42:16Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M11.00S,2021-10-27T23:42:33.0Z,1,REGULAR,3pt,Jump Shot,[],1630173,76.03482260183968,86.27450980392157,1610612761,3,2,2021-10-27T23:42:38Z,230000,181.0,173.0,1,right,MISS P. Achiuwa 25' 3PT,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,25.05,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M06.00S,2021-10-27T23:42:38.2Z,1,REGULAR,rebound,offensive,[],1627832,,,1610612761,3,2,2021-10-27T23:42:38Z,240000,,,0,,F. VanVleet REBOUND (Off:1 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,23.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
25,PT10M04.00S,2021-10-27T23:42:40.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627832,93.77463863337714,4.166666666666666,1610612761,3,2,2021-10-27T23:42:44Z,250000,-229.0,6.0,1,right,MISS F. VanVleet 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,22.93,Missed,,,,,,,,,,,,,,,,,,,
26,PT10M02.00S,2021-10-27T23:42:42.4Z,1,REGULAR,rebound,defensive,[],203200,,,1610612754,3,2,2021-10-27T23:42:44Z,260000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
27,PT09M55.00S,2021-10-27T23:42:52.0Z,1,REGULAR,turnover,traveling,[],1627734,,,1610612754,3,2,2021-10-27T23:42:58Z,270000,,,0,,D. Sabonis traveling TURNOVER (1 TO),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,202026.0,,,,,,,,,,,1.0,,,
28,PT09M43.00S,2021-10-27T23:43:14.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628384,94.1688567674113,51.225490196078425,1610612761,5,2,2021-10-27T23:43:20Z,280000,6.0,2.0,1,right,O. Anunoby driving reverse Layup (2 PTS) (F. VanVleet 1 AST),"[1628384, 1627832]",1610612761.0,TOR,driving reverse,,,Anunoby,O. Anunoby,,,,,0.65,Made,,,,,,,,,,2.0,F. VanVleet,1627832.0,1.0,,,,,,
30,PT09M22.00S,2021-10-27T23:43:34.8Z,1,REGULAR,3pt,Jump Shot,[],1627763,30.831143232588698,75.0,1610612754,5,2,2021-10-28T00:26:59Z,300000,-125.0,237.0,1,left,MISS M. Brogdon 26' step back 3PT,[1627763],1610612754.0,IND,step back,,,Brogdon,M. Brogdon,,,,,26.82,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M20.00S,2021-10-27T23:43:36.8Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,5,2,2021-10-27T23:43:41Z,310000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
32,PT09M16.00S,2021-10-27T23:43:43.3Z,1,REGULAR,turnover,out-of-bounds,[],1630567,,,1610612761,5,2,2021-10-27T23:43:51Z,320000,,,0,,S. Barnes bad pass out-of-bounds TURNOVER (1 TO),[1630567],1610612761.0,TOR,bad pass,,,Barnes,S. Barnes,,,,,,,,,,,2005.0,,,,,,,,,,,1.0,,,
33,PT09M08.00S,2021-10-27T23:43:57.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630537,7.440867279894875,95.58823529411765,1610612754,5,2,2021-10-27T23:44:01Z,330000,-228.0,17.0,1,left,MISS C. Duarte 3PT,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,22.86,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M04.00S,2021-10-27T23:44:01.1Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,5,2,2021-10-27T23:44:01Z,340000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
35,PT08M54.00S,2021-10-27T23:44:09.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,94.03745072273325,47.794117647058826,1610612761,7,2,2021-10-27T23:44:16Z,350000,-11.0,4.0,1,right,O. Anunoby driving Layup (4 PTS) (G. Trent Jr. 1 AST),"[1628384, 1629018]",1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,1.15,Made,,,,,,,,,,4.0,G. Trent Jr.,1629018.0,1.0,,,,,,
37,PT08M34.00S,2021-10-27T23:44:30.6Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612754,7,2,2021-10-27T23:44:36Z,370000,,,0,,D. Sabonis lost ball TURNOVER (2 TO),"[1627734, 1629018]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,2.0,Trent Jr.,1629018.0,
38,PT08M34.00S,2021-10-27T23:44:30.6Z,1,REGULAR,steal,,[],1629018,,,1610612761,7,2,2021-10-27T23:44:32Z,380000,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M33.00S,2021-10-27T23:44:35.0Z,1,REGULAR,foul,personal,[],203200,,,1610612761,7,2,2021-10-28T00:27:09Z,390000,,,0,,J. Holiday take personal FOUL (1 PF),"[203200, 1629018]",1610612754.0,IND,take,,,Holiday,J. Holiday,,,,,,,,,,,2005.0,1.0,0.0,Trent Jr.,1629018.0,,,,,,,,,,
41,PT08M21.00S,2021-10-27T23:45:07.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628384,87.99277266754271,49.754901960784316,1610612761,7,2,2021-10-27T23:45:12Z,410000,-1.0,60.0,1,right,MISS O. Anunoby 6' driving Hook,[1628384],1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,6.04,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M19.00S,2021-10-27T23:45:09.7Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,7,2,2021-10-27T23:45:12Z,420000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
43,PT08M07.00S,2021-10-27T23:45:22.1Z,1,REGULAR,2pt,Jump Shot,[],1627763,22.552562417871222,25.735294117647058,1610612754,7,2,2021-10-27T23:45:33Z,430000,121.0,159.0,1,left,MISS M. Brogdon 20' driving floating Shot,[1627763],1610612754.0,IND,driving floating,,,Brogdon,M. Brogdon,,,,,20.04,Missed,,,,,,,,,,,,,,,,,,,
