actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-19T00:40:44.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-19T00:40:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-19T00:40:46.4Z,1,REGULAR,jumpball,recovered,[],1629018,,,1610612761,0,0,2021-12-19T00:40:46Z,40000,,,0,,Jump Ball C. Boucher vs. K. Looney: Tip to G. Trent Jr.,"[1629018, 1628449, 1626172]",1610612761.0,TOR,startperiod,G. Trent Jr.,1629018.0,Trent Jr.,G. Trent Jr.,Boucher,1628449.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-12-19T00:40:58.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,0,0,2021-12-19T00:40:58Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2021-12-19T00:41:21.5Z,1,REGULAR,3pt,Jump Shot,[],1628384,91.67214191852825,3.431372549019608,1610612761,0,0,2021-12-19T00:41:29Z,80000,-233.0,26.0,1,right,MISS O. Anunoby 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,23.42,Missed,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2021-12-19T00:41:25.5Z,1,REGULAR,rebound,defensive,[],1629308,,,1610612744,0,0,2021-12-19T00:41:29Z,90000,,,0,,J. Toscano-Anderson REBOUND (Off:0 Def:1),[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M11.00S,2021-12-19T00:41:46.2Z,1,REGULAR,2pt,Jump Shot,[],1630228,7.046649145860711,82.35294117647058,1610612744,0,0,2021-12-19T00:41:50Z,100000,-162.0,14.0,1,left,MISS J. Kuminga 16' pullup Shot,[1630228],1610612744.0,GSW,pullup,,,Kuminga,J. Kuminga,,,,,16.24,Missed,,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2021-12-19T00:41:48.2Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,0,0,2021-12-19T00:41:50Z,110000,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M03.00S,2021-12-19T00:41:55.3Z,1,REGULAR,3pt,Jump Shot,[],1628449,67.7562417871222,53.431372549019606,1610612761,3,0,2021-12-19T00:42:01Z,120000,17.0,251.0,1,right,C. Boucher 25' 3PT  (3 PTS) (F. VanVleet 1 AST),"[1628449, 1627832]",1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,25.12,Made,,,,,3.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,
14,PT10M50.00S,2021-12-19T00:42:08.9Z,1,REGULAR,turnover,bad pass,[],1627814,,,1610612744,3,0,2021-12-19T00:42:14Z,140000,,,0,,D. Lee bad pass TURNOVER (1 TO),"[1627814, 1629018]",1610612744.0,GSW,,,,Lee,D. Lee,,,,,,,,,,,,,,,1.0,Trent Jr.,1629018.0,,,,,,,
15,PT10M50.00S,2021-12-19T00:42:08.9Z,1,REGULAR,steal,,[],1629018,,,1610612761,3,0,2021-12-19T00:42:11Z,150000,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M49.00S,2021-12-19T00:42:13.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,3,0,2021-12-19T00:42:13Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M37.00S,2021-12-19T00:42:30.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627832,73.01248357424441,14.215686274509803,1610612761,3,0,2021-12-19T00:42:35Z,170000,-179.0,201.0,1,right,MISS F. VanVleet 26' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,26.92,Missed,,,,,,,,,,,,,,,,,,
18,PT10M34.00S,2021-12-19T00:42:33.4Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,3,0,2021-12-19T00:42:35Z,180000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M28.00S,2021-12-19T00:42:41.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,3,0,2021-12-19T00:42:41Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M22.00S,2021-12-19T00:42:57.8Z,1,REGULAR,turnover,bad pass,[],1630228,,,1610612744,3,0,2021-12-19T00:43:02Z,200000,,,0,,J. Kuminga bad pass TURNOVER (1 TO),"[1630228, 1629018]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,1.0,Trent Jr.,1629018.0,,,,,,,
21,PT10M22.00S,2021-12-19T00:42:57.8Z,1,REGULAR,steal,,[],1629018,,,1610612761,3,0,2021-12-19T00:42:59Z,210000,,,0,,G. Trent Jr. STEAL (2 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M03.00S,2021-12-19T00:43:16.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630567,93.24901445466492,14.460784313725492,1610612761,3,0,2021-12-19T00:43:21Z,220000,-178.0,11.0,1,right,MISS S. Barnes 17' turnaround Shot,[1630567],1610612761.0,TOR,turnaround,,,Barnes,S. Barnes,,,,,17.8,Missed,,,,,,,,,,,,,,,,,,
23,PT10M00.00S,2021-12-19T00:43:19.9Z,1,REGULAR,rebound,defensive,[],1629308,,,1610612744,3,0,2021-12-19T00:43:21Z,230000,,,0,,J. Toscano-Anderson REBOUND (Off:0 Def:2),[1629308],1610612744.0,GSW,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,
24,PT09M55.00S,2021-12-19T00:43:24.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627814,31.225361366622867,22.794117647058822,1610612744,3,3,2021-12-19T00:43:30Z,240000,136.0,241.0,1,left,D. Lee 27' 3PT running (3 PTS) (C. Chiozza 1 AST),"[1627814, 1629185]",1610612744.0,GSW,running,,,Lee,D. Lee,,,,,27.67,Made,,,,,3.0,C. Chiozza,1629185.0,1.0,,,,,,,,,,
26,PT09M37.00S,2021-12-19T00:43:44.6Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612761,3,3,2021-12-19T00:43:53Z,260000,,,0,,K. Looney shooting personal FOUL (1 PF) (Boucher 2 FT),"[1626172, 1628449]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,1627541.0,1.0,0.0,Boucher,1628449.0,,
28,PT09M37.00S,2021-12-19T00:44:04.7Z,1,REGULAR,freethrow,1 of 2,[],1628449,,,1610612761,4,3,2021-12-19T00:44:04Z,280000,,,0,,C. Boucher Free Throw 1 of 2 (4 PTS),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
29,PT09M37.00S,2021-12-19T00:44:14.2Z,1,REGULAR,freethrow,2 of 2,[],1628449,,,1610612761,5,3,2021-12-19T00:44:14Z,290000,,,0,,C. Boucher Free Throw 2 of 2 (5 PTS),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
30,PT09M22.00S,2021-12-19T00:44:30.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629308,10.726018396846255,53.18627450980392,1610612744,5,3,2021-12-19T00:44:37Z,300000,-16.0,48.0,1,left,MISS J. Toscano-Anderson driving Layup - blocked,"[1629308, 1627832]",1610612744.0,GSW,driving,,,Toscano-Anderson,J. Toscano-Anderson,,,,,5.08,Missed,,,,,,,,,,,,,,,,,VanVleet,1627832.0
31,PT09M22.00S,2021-12-19T00:44:30.4Z,1,REGULAR,block,,[],1627832,,,1610612744,5,3,2021-12-19T00:44:34Z,310000,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M22.00S,2021-12-19T00:44:30.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,5,3,2021-12-19T00:44:37Z,320000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,
33,PT09M08.00S,2021-12-19T00:44:48.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,93.11760840998686,44.36274509803921,1610612761,7,3,2021-12-19T00:44:53Z,330000,-28.0,12.0,1,right,S. Barnes cutting Layup (2 PTS) (O. Anunoby 1 AST),"[1630567, 1628384]",1610612761.0,TOR,cutting,,,Barnes,S. Barnes,,,,,3.07,Made,,,,,2.0,O. Anunoby,1628384.0,1.0,,,,,,,,,,
