actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-04T00:40:09.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-04T00:40:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-04T00:40:12.5Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2022-02-04T00:40:12Z,40000,,,0,,Jump Ball S. Barnes vs. N. Vucevic: Tip to P. Siakam,"[1627783, 1630567, 202696]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Barnes,1630567.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-02-04T00:40:29.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,13.354139290407357,47.549019607843135,1610612761,2,0,2022-02-04T00:40:35Z,70000,12.0,73.0,1,left,S. Barnes 7' floating Jump Shot (2 PTS) (O. Anunoby 1 AST),"[1630567, 1628384]",1610612761.0,TOR,floating,,,Barnes,S. Barnes,,,,,7.4,Made,2.0,O. Anunoby,1628384.0,1.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-02-04T00:40:44.7Z,1,REGULAR,turnover,bad pass,[],202696,,,1610612741,2,0,2022-02-04T00:43:25Z,90000,,,0,,N. Vucevic bad pass TURNOVER (1 TO),"[202696, 1629018]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,1.0,Trent Jr.,1629018.0,,,,,,,,,,,,
10,PT11M24.00S,2022-02-04T00:40:44.7Z,1,REGULAR,steal,,[],1629018,,,1610612761,2,0,2022-02-04T00:51:34Z,100000,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2022-02-04T00:40:49.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629018,6.389618922470433,48.77450980392157,1610612761,4,0,2022-02-04T00:40:58Z,110000,6.0,8.0,1,left,G. Trent Jr. running Layup (2 PTS) (F. VanVleet 1 AST),"[1629018, 1627832]",1610612761.0,TOR,running,,,Trent Jr.,G. Trent Jr.,,,,,0.97,Made,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,,,,,
12,PT11M05.00S,2022-02-04T00:41:05.3Z,1,REGULAR,foul,personal,['2freethrow'],1629018,,,1610612741,4,0,2022-02-04T00:41:20Z,120000,,,0,,G. Trent Jr. shooting personal FOUL (1 PF) (Green 2 FT),"[1629018, 1629750]",1610612761.0,TOR,shooting,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,201640.0,1.0,0.0,Green,1629750.0,,,,,,,
15,PT11M05.00S,2022-02-04T00:41:36.6Z,1,REGULAR,freethrow,1 of 2,[],1629750,,,1610612741,4,1,2022-02-04T00:41:36Z,140000,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
16,PT11M05.00S,2022-02-04T00:41:56.4Z,1,REGULAR,freethrow,2 of 2,[],1629750,,,1610612741,4,2,2022-02-04T00:41:56Z,150000,,,0,,J. Green Free Throw 2 of 2 (2 PTS),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
17,PT10M46.00S,2022-02-04T00:42:17.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630567,10.463206307490145,43.13725490196079,1610612761,4,2,2022-02-04T00:42:22Z,160000,34.0,46.0,1,left,MISS S. Barnes driving Hook,[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,5.73,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M42.00S,2022-02-04T00:42:21.4Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,4,2,2022-02-04T00:42:22Z,170000,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,
19,PT10M29.00S,2022-02-04T00:42:34.7Z,1,REGULAR,turnover,out-of-bounds,[],201942,,,1610612741,4,2,2022-02-04T00:42:42Z,180000,,,0,,D. DeRozan bad pass out-of-bounds TURNOVER (1 TO),[201942],1610612741.0,CHI,bad pass,,,DeRozan,D. DeRozan,,,,,,,,,,,1.0,,,201640.0,,,,,,,,,,,
20,PT10M23.00S,2022-02-04T00:42:49.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629018,23.47240473061761,67.8921568627451,1610612761,4,2,2022-02-04T00:42:55Z,190000,-89.0,168.0,1,left,MISS G. Trent Jr. 19' pullup Shot,[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,19.04,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M20.00S,2022-02-04T00:42:52.3Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,4,2,2022-02-04T00:42:55Z,200000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,
22,PT10M14.00S,2022-02-04T00:42:57.9Z,1,REGULAR,3pt,Jump Shot,[],202696,67.49342969776609,54.90196078431373,1610612741,4,5,2022-02-04T00:43:02Z,210000,25.0,253.0,1,right,N. Vucevic 25' 3PT  (3 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,25.43,Made,3.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,,,,,
24,PT09M56.00S,2022-02-04T00:43:16.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,13.61695137976347,45.09803921568628,1610612761,6,5,2022-02-04T00:43:21Z,230000,25.0,75.0,1,left,G. Trent Jr. 7' pullup Jump Shot (4 PTS),[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,7.94,Made,4.0,,,,,,,,,,,,,,,,,,
