actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-05T00:40:17.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-05T00:40:17Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-05T00:40:20.0Z,1,REGULAR,jumpball,recovered,[],1629631,,,1610612737,0,0,2022-02-05T00:40:20Z,40000,,,0,,Jump Ball C. Capela vs. S. Barnes: Tip to D. Hunter,"[1629631, 203991, 1630567]",1610612737.0,ATL,startperiod,D. Hunter,1629631.0,Hunter,D. Hunter,Capela,203991.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-02-05T00:40:37.0Z,1,REGULAR,3pt,Jump Shot,[],1629027,36.06685282522996,72.20818014705883,1610612737,0,0,2022-02-05T00:42:03Z,70000,-111.0,287.0,1,left,MISS T. Young 30' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,30.73,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-02-05T00:40:40.0Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,0,2022-02-05T00:40:45Z,80000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-02-05T00:40:45.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1630567,87.72996057818659,40.68627450980392,1610612761,0,0,2022-02-05T00:40:58Z,90000,-47.0,63.0,1,right,MISS S. Barnes 7' running Shot,[1630567],1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,7.82,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2022-02-05T00:40:47.1Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,0,0,2022-02-05T00:40:58Z,100000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M19.00S,2022-02-05T00:40:57.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,16.245072273324574,58.333333333333336,1610612737,0,2,2022-02-05T00:43:26Z,110000,-42.0,100.0,1,left,T. Young 10' floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,floating,,,Young,T. Young,,,,,10.85,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT10M54.00S,2022-02-05T00:41:22.3Z,1,REGULAR,2pt,Jump Shot,[],1629018,89.30683311432325,20.098039215686274,1610612761,2,2,2022-02-05T00:41:27Z,120000,-150.0,48.0,1,right,G. Trent Jr. 15' pullup Jump Shot (2 PTS) (S. Barnes 1 AST),"[1629018, 1630567]",1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,15.7,Made,,,,,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,
14,PT10M47.00S,2022-02-05T00:41:30.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,6.652431011826544,47.549019607843135,1610612737,2,4,2022-02-05T00:44:14Z,140000,12.0,10.0,1,left,D. Hunter Layup (2 PTS) (T. Young 1 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,1.59,Made,,,,,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,
16,PT10M36.00S,2022-02-05T00:41:41.9Z,1,REGULAR,turnover,out-of-bounds,[],1627783,,,1610612761,2,4,2022-02-05T00:41:56Z,160000,,,0,,P. Siakam bad pass out-of-bounds TURNOVER (1 TO),[1627783],1610612761.0,TOR,bad pass,,,Siakam,P. Siakam,,,,,,,,,,,,,,,1155.0,1.0,,,,,,,,,
