actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-29T00:40:39.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-29T00:40:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-29T00:40:41.7Z,1,REGULAR,jumpball,recovered,[],202699,,,1610612755,0,0,2021-12-29T00:40:41Z,40000,,,0,,Jump Ball J. Embiid vs. C. Boucher: Tip to T. Harris,"[202699, 203954, 1628449]",1610612755.0,PHI,startperiod,T. Harris,202699.0,Harris,T. Harris,Embiid,203954.0,Boucher,1628449.0,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-12-29T00:41:02.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,12.565703022339028,60.5392156862745,1610612755,0,0,2021-12-29T00:41:09Z,70000,-53.0,66.0,1,left,MISS T. Harris 8' turnaround Shot,[202699],1610612755.0,PHI,turnaround,,,Harris,T. Harris,,,,,8.41,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2021-12-29T00:41:05.9Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,0,0,2021-12-29T00:41:09Z,80000,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M15.00S,2021-12-29T00:41:23.6Z,1,REGULAR,2pt,Jump Shot,[],1627783,75.77201051248358,69.11764705882352,1610612761,2,0,2021-12-29T00:41:31Z,90000,96.0,175.0,1,right,P. Siakam 19' pullup Jump Shot (2 PTS),[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,19.96,Made,,,,,2.0,,,,,,,,,,,,,
10,PT10M57.00S,2021-12-29T00:41:41.2Z,1,REGULAR,2pt,Jump Shot,[],203954,18.347568988173457,19.852941176470587,1610612755,2,2,2021-12-29T00:41:47Z,100000,151.0,120.0,1,left,J. Embiid 19' Jump Shot (2 PTS) (S. Curry 1 AST),"[203954, 203552]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,19.26,Made,,,,,2.0,S. Curry,203552.0,1.0,,,,,,,,,,
12,PT10M34.00S,2021-12-29T00:42:04.7Z,1,REGULAR,3pt,Jump Shot,[],1630201,94.03745072273325,5.392156862745098,1610612761,2,2,2021-12-29T00:42:14Z,120000,-223.0,4.0,1,right,MISS M. Flynn 3PT,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,22.3,Missed,,,,,,,,,,,,,,,,,,
13,PT10M32.00S,2021-12-29T00:42:06.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,2,2,2021-12-29T00:42:14Z,130000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,
14,PT10M32.00S,2021-12-29T00:42:12.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,2,2,2021-12-29T00:42:12Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M29.00S,2021-12-29T00:42:26.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629018,91.40932982917214,3.6764705882352944,1610612761,5,2,2021-12-29T00:42:33Z,150000,-232.0,28.0,1,right,G. Trent Jr. 3PT pullup (3 PTS) (M. Flynn 1 AST),"[1629018, 1630201]",1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,23.33,Made,,,,,3.0,M. Flynn,1630201.0,1.0,,,,,,,,,,
