actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-01T00:40:40.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-01T00:40:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-01T00:40:42.9Z,1,REGULAR,jumpball,recovered,[],1628415,,,1610612763,0,0,2021-12-01T00:40:42Z,40000,,,0,,Jump Ball S. Adams vs. P. Achiuwa: Tip to D. Brooks,"[1628415, 203500, 1630173]",1610612763.0,MEM,startperiod,D. Brooks,1628415.0,Brooks,D. Brooks,Adams,203500.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-12-01T00:41:03.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,94.30026281208936,50.0,1610612763,0,2,2021-12-01T00:41:11Z,70000,0.0,1.0,1,right,D. Brooks driving Layup (2 PTS),[1628415],1610612763.0,MEM,driving,,,Brooks,D. Brooks,,,,,0.11,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M11.00S,2021-12-01T00:41:28.5Z,1,REGULAR,3pt,Jump Shot,[],1627783,24.52365308804205,11.27450980392157,1610612761,0,2,2021-12-01T00:41:34Z,80000,194.0,178.0,1,left,MISS P. Siakam 26' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,26.3,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M07.00S,2021-12-01T00:41:32.5Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612763,0,2,2021-12-01T00:41:34Z,90000,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M01.00S,2021-12-01T00:41:38.2Z,1,REGULAR,turnover,lost ball,[],1628415,,,1610612763,0,2,2021-12-01T00:41:49Z,100000,,,0,,D. Brooks lost ball TURNOVER (1 TO),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,1.0,,,,,,,,,,,,,
11,PT11M01.00S,2021-12-01T00:41:45.2Z,1,REGULAR,foul,personal,[],1628415,,,1610612761,0,2,2021-12-01T00:41:53Z,110000,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 1630567]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,1199.0,1.0,0.0,Barnes,1630567.0,,,,,,,,
13,PT10M41.00S,2021-12-01T00:42:10.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630567,26.757555847568987,85.7843137254902,1610612761,0,2,2021-12-01T00:42:19Z,130000,-179.0,199.0,1,left,MISS S. Barnes 26' bank 3PT,[1630567],1610612761.0,TOR,bank,,,Barnes,S. Barnes,,,,,26.76,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M39.00S,2021-12-01T00:42:12.5Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,2,2021-12-01T00:42:19Z,140000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M32.00S,2021-12-01T00:42:20.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626145,91.27792378449409,40.44117647058824,1610612763,0,2,2021-12-01T00:42:26Z,150000,-48.0,29.0,1,right,MISS T. Jones driving finger roll Layup,[1626145],1610612763.0,MEM,driving finger roll,,,Jones,T. Jones,,,,,5.62,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M28.00S,2021-12-01T00:42:24.0Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,0,2,2021-12-01T00:42:26Z,160000,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,15.0,2.0,1.0,1.0,,,,,,,,,,,,,,
17,PT10M28.00S,2021-12-01T00:42:23.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,94.40999984741211,50.0,1610612763,0,4,2021-12-01T00:42:23Z,170000,0.0,0.0,1,right,S. Adams tip Layup (2 PTS),[203500],1610612763.0,MEM,tip,,,Adams,S. Adams,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
18,PT10M17.00S,2021-12-01T00:42:35.2Z,1,REGULAR,turnover,lost ball,[],1627783,,,1610612761,0,4,2021-12-01T00:42:40Z,180000,,,0,,P. Siakam lost ball TURNOVER (1 TO),"[1627783, 1626145]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,1.0,,,,,,Jones,1626145.0,,,,,,
19,PT10M17.00S,2021-12-01T00:42:35.2Z,1,REGULAR,steal,,[],1626145,,,1610612763,0,4,2021-12-01T00:42:37Z,190000,,,0,,T. Jones STEAL (1 STL),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M12.00S,2021-12-01T00:42:40.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630217,94.56307490144546,48.03921568627451,1610612763,0,6,2021-12-01T00:42:47Z,200000,-10.0,-1.0,1,right,D. Bane running reverse Layup (2 PTS) (T. Jones 1 AST),"[1630217, 1626145]",1610612763.0,MEM,running reverse,,,Bane,D. Bane,,,,,0.99,Made,2.0,,,,,,,,,,,,,T. Jones,1626145.0,1.0,,,
22,PT09M53.00S,2021-12-01T00:42:57.9Z,1,REGULAR,2pt,Jump Shot,[],1630567,8.754927726675426,21.07843137254902,1610612761,2,6,2021-12-01T00:43:02Z,220000,145.0,30.0,1,left,S. Barnes 14' Jump Shot (2 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,14.76,Made,2.0,,,,,,,,,,,,,,,,,,
23,PT09M30.00S,2021-12-01T00:43:21.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,93.24901445466492,37.00980392156863,1610612763,2,6,2021-12-01T00:43:27Z,230000,-65.0,11.0,1,right,MISS J. Jackson Jr. 6' driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,6.59,Missed,,,,,,,,,,,,,,,,,,,
