actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-10-29T23:10:22.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-29T23:10:22Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-29T23:10:25.8Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2021-10-29T23:10:25Z,40000,,,0,,Jump Ball P. Achiuwa vs. M. Bamba: Tip to S. Barnes,"[1630567, 1630173, 1628964]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Achiuwa,1630173.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-10-29T23:10:43.4Z,1,REGULAR,3pt,Jump Shot,[],1627832,27.54599211563732,15.686274509803921,1610612761,0,0,2021-10-29T23:10:50Z,70000,172.0,206.0,1,left,MISS F. VanVleet 26' pullup 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,26.84,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2021-10-29T23:10:49.4Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,0,0,2021-10-29T23:10:50Z,80000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-10-29T23:11:01.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,0,0,2021-10-29T23:11:01Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2021-10-29T23:11:11.5Z,1,REGULAR,3pt,Jump Shot,[],1630532,91.40932982917214,95.58823529411765,1610612753,0,0,2021-10-29T23:11:16Z,100000,228.0,28.0,1,right,MISS F. Wagner 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,22.97,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2021-10-29T23:11:14.5Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,0,2021-10-29T23:11:16Z,110000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M14.00S,2021-10-29T23:11:23.4Z,1,REGULAR,2pt,Jump Shot,[],1630567,18.74178712220762,27.941176470588236,1610612761,2,0,2021-10-29T23:11:28Z,120000,110.0,124.0,1,left,S. Barnes 16' Jump Shot (2 PTS) (F. VanVleet 1 AST),"[1630567, 1627832]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,16.57,Made,,,,,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,
14,PT10M56.00S,2021-10-29T23:11:40.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,88.38699080157687,42.15686274509804,1610612753,2,0,2021-10-29T23:11:48Z,140000,-39.0,57.0,1,right,MISS F. Wagner 6' turnaround Shot,[1630532],1610612753.0,ORL,turnaround,,,Wagner,F. Wagner,,,,,6.89,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2021-10-29T23:11:43.7Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,2,0,2021-10-29T23:27:38Z,150000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:0),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
