actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-01T00:40:24.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-01T00:40:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-01T00:40:27.6Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2022-01-01T00:40:27Z,40000,,,0,,Jump Ball K. Birch vs. S. Ibaka: Tip to P. Siakam,"[1627783, 203920, 201586]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Birch,203920.0,Ibaka,201586.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-01-01T00:40:37.1Z,1,REGULAR,3pt,Jump Shot,[],1629018,11.251642575558476,3.9215686274509802,1610612761,3,0,2022-01-01T00:40:43Z,70000,230.0,53.0,1,left,G. Trent Jr. 3PT  (3 PTS) (F. VanVleet 1 AST),"[1629018, 1627832]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,23.65,Made,3.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2022-01-01T00:40:52.9Z,1,REGULAR,3pt,Jump Shot,[],1628379,67.62483574244416,51.9607843137255,1610612746,3,3,2022-01-01T00:40:57Z,90000,10.0,252.0,1,right,L. Kennard 25' 3PT  (3 PTS) (S. Ibaka 1 AST),"[1628379, 201586]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,25.2,Made,3.0,S. Ibaka,201586.0,1.0,,,,,,,,,,,,,,,
11,PT11M21.00S,2022-01-01T00:41:02.9Z,1,REGULAR,3pt,Jump Shot,[],1627832,33.196452036793694,65.19607843137256,1610612761,3,3,2022-01-01T00:41:09Z,110000,-76.0,260.0,1,left,MISS F. VanVleet 27' pullup 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,27.04,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2022-01-01T00:41:07.9Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,3,3,2022-01-01T00:48:36Z,120000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M11.00S,2022-01-01T00:41:12.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201586,68.9388961892247,62.5,1610612746,3,6,2022-01-01T00:41:20Z,130000,62.0,239.0,1,right,S. Ibaka 24' 3PT  (3 PTS) (R. Jackson 1 AST),"[201586, 202704]",1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,24.75,Made,3.0,R. Jackson,202704.0,1.0,,,,,,,,,,,,,,,
15,PT10M57.00S,2022-01-01T00:41:26.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,10.463206307490145,54.90196078431373,1610612761,5,6,2022-01-01T00:41:32Z,150000,-25.0,46.0,1,left,P. Siakam turnaround Jump Shot (2 PTS),[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,5.2,Made,2.0,,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2022-01-01T00:41:51.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,5,6,2022-01-01T00:41:51Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M30.00S,2022-01-01T00:42:11.9Z,1,REGULAR,3pt,Jump Shot,[],202704,68.15045992115637,48.28431372549019,1610612746,5,6,2022-01-01T00:43:21Z,170000,-9.0,247.0,1,right,MISS R. Jackson 24' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,24.7,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M30.00S,2022-01-01T00:42:11.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,5,6,2022-01-01T00:43:21Z,180000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,
41,PT10M30.00S,2022-01-01T00:42:27.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612746,5,6,2022-01-01T00:46:31Z,190000,,,0,,LAC shot clock Team TURNOVER,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,202049.0,,,,,,,,,,
20,PT10M17.00S,2022-01-01T00:42:42.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628384,19.793035479632064,49.754901960784316,1610612761,7,6,2022-01-01T00:48:04Z,200000,1.0,134.0,1,left,O. Anunoby 13' step back Jump Shot (2 PTS),[1628384],1610612761.0,TOR,step back,,,Anunoby,O. Anunoby,,,,,13.36,Made,2.0,,,,,,,,,,,,,,,,,,
21,PT09M52.00S,2022-01-01T00:43:06.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,87.33574244415243,50.49019607843137,1610612746,7,6,2022-01-01T00:43:12Z,210000,2.0,67.0,1,right,MISS R. Jackson 6' driving floating Shot,[202704],1610612746.0,LAC,driving floating,,,Jackson,R. Jackson,,,,,6.65,Missed,,,,,,,,,,,,,,,,,,,
22,PT09M48.00S,2022-01-01T00:43:10.4Z,1,REGULAR,rebound,defensive,[],203920,,,1610612761,7,6,2022-01-01T00:43:12Z,220000,,,0,,K. Birch REBOUND (Off:0 Def:1),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,
23,PT09M36.00S,2022-01-01T00:43:23.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203920,8.492115637319317,58.08823529411765,1610612761,7,6,2022-01-01T00:43:29Z,230000,-40.0,27.0,1,left,MISS K. Birch Layup - blocked,"[203920, 201586]",1610612761.0,TOR,,,,Birch,K. Birch,,,,,4.88,Missed,,,,,,,,,,Ibaka,201586.0,,,,,,,,
78,PT09M36.00S,2022-01-01T00:43:23.4Z,1,REGULAR,block,,[],201586,,,1610612761,7,6,2022-01-01T00:54:05Z,235000,,,0,,S. Ibaka BLOCK (1 BLK),[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M35.00S,2022-01-01T00:43:24.4Z,1,REGULAR,rebound,offensive,[],203920,,,1610612761,7,6,2022-01-01T00:43:29Z,240000,,,0,,K. Birch REBOUND (Off:1 Def:1),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,23.0,2.0,1.0,1.0,,,,,,,,,,,
25,PT09M33.00S,2022-01-01T00:43:25.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203920,7.30946123521682,51.9607843137255,1610612761,9,6,2022-01-01T00:43:33Z,250000,-10.0,16.0,1,left,K. Birch putback Layup (2 PTS),[203920],1610612761.0,TOR,putback,,,Birch,K. Birch,,,,,1.89,Made,2.0,,,,,,,,,,,,,,,,,,
