actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-07T23:40:32.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-07T23:40:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-07T23:40:34.4Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2022-04-07T23:40:34Z,40000,,,0,,Jump Ball J. Embiid vs. P. Achiuwa: Tip to T. Maxey,"[1630178, 203954, 1630173]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-04-07T23:40:48.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,15.193823915900131,56.61764705882353,1610612755,0,0,2022-04-07T23:40:56Z,70000,-33.0,90.0,1,left,MISS J. Embiid 9' turnaround Shot,[203954],1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,9.62,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-04-07T23:40:50.8Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,0,0,2022-04-07T23:40:56Z,80000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M37.00S,2022-04-07T23:40:53.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630567,84.44480946123521,94.85294117647058,1610612761,0,0,2022-04-07T23:41:10Z,90000,224.0,94.0,1,right,MISS S. Barnes 24' running 3PT,[1630567],1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,24.31,Missed,,,,,,,,,,,,,,,,,,
10,PT11M37.00S,2022-04-07T23:40:53.9Z,1,REGULAR,rebound,offensive,[],203920,,,1610612761,0,0,2022-04-07T23:41:01Z,100000,,,0,,K. Birch REBOUND (Off:1 Def:0),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M33.00S,2022-04-07T23:40:58.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203920,94.40999984741211,50.0,1610612761,0,0,2022-04-07T23:40:58Z,110000,0.0,0.0,1,right,MISS K. Birch tip Layup,[203920],1610612761.0,TOR,tip,,,Birch,K. Birch,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M32.00S,2022-04-07T23:40:59.8Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,0,0,2022-04-07T23:40:59Z,120000,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,
13,PT11M21.00S,2022-04-07T23:41:12.3Z,1,REGULAR,turnover,out-of-bounds,[],1630173,,,1610612761,0,0,2022-04-07T23:41:18Z,130000,,,0,,P. Achiuwa lost ball out-of-bounds TURNOVER (1 TO),[1630173],1610612761.0,TOR,lost ball,,,Achiuwa,P. Achiuwa,,,,,,,,,,,202058.0,1.0,,,,,,,,,,,,
14,PT10M56.00S,2022-04-07T23:41:44.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",201980,11.645860709592641,58.82352941176471,1610612755,0,0,2022-04-07T23:41:49Z,140000,-44.0,57.0,1,left,MISS D. Green 7' driving Hook,[201980],1610612755.0,PHI,driving,,,Green,D. Green,,,,,7.21,Missed,,,,,,,,,,,,,,,,,,
