actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-08T00:40:00.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-08T00:40:00Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-08T00:40:02.8Z,1,REGULAR,jumpball,recovered,[],1629672,,,1610612762,0,0,2022-01-08T00:40:02Z,40000,,,0,,Jump Ball H. Whiteside vs. S. Barnes: Tip to E. Paschall,"[1629672, 202355, 1630567]",1610612762.0,UTA,startperiod,E. Paschall,1629672.0,Paschall,E. Paschall,Whiteside,202355.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-01-08T00:40:23.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630235,82.7365308804205,44.6078431372549,1610612762,0,0,2022-01-08T00:40:29Z,70000,-27.0,110.0,1,right,MISS T. Forrest 11' driving floating Shot,[1630235],1610612762.0,UTA,driving floating,,,Forrest,T. Forrest,,,,,11.31,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2022-01-08T00:40:29.6Z,1,REGULAR,rebound,offensive,[],1630235,,,1610612762,0,0,2022-01-08T00:40:29Z,80000,,,0,,T. Forrest REBOUND (Off:1 Def:0),[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-01-08T00:40:30.4Z,1,REGULAR,turnover,lost ball,[],1630235,,,1610612762,0,0,2022-01-08T00:40:35Z,90000,,,0,,T. Forrest lost ball TURNOVER (1 TO),"[1630235, 1628384]",1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,1.0,Anunoby,1628384.0,,,,,,,,,,,,
10,PT11M29.00S,2022-01-08T00:40:30.4Z,1,REGULAR,steal,,[],1628384,,,1610612761,0,0,2022-01-08T00:40:32Z,100000,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2022-01-08T00:40:44.1Z,1,REGULAR,turnover,out-of-bounds,[],1627832,,,1610612761,0,0,2022-01-08T00:40:52Z,110000,,,0,,F. VanVleet bad pass out-of-bounds TURNOVER (1 TO),[1627832],1610612761.0,TOR,bad pass,,,VanVleet,F. VanVleet,,,,,,,,,,,1.0,,,2002.0,,,,,,,,,,,
12,PT11M08.00S,2022-01-08T00:41:03.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630215,94.82588699080158,51.9607843137255,1610612762,0,0,2022-01-08T00:41:12Z,120000,10.0,-4.0,1,right,MISS J. Butler driving floating Shot - blocked,"[1630215, 1629018]",1610612762.0,UTA,driving floating,,,Butler,J. Butler,,,,,1.05,Missed,,,,,,,,,Trent Jr.,1629018.0,,,,,,,,,
13,PT11M08.00S,2022-01-08T00:41:03.7Z,1,REGULAR,block,,[],1629018,,,1610612762,0,0,2022-01-08T00:41:07Z,130000,,,0,,G. Trent Jr. BLOCK (1 BLK),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2022-01-08T00:41:03.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,0,0,2022-01-08T00:41:12Z,140000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,
