actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
15,PT11M02.00S,2022-01-08T00:41:25.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629672,72.35545335085413,75.98039215686273,1610612762,0,0,2022-01-08T00:41:31Z,150000,130.0,207.0,1,right,MISS E. Paschall 24' 3PT,[1629672],1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,24.47,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M59.00S,2022-01-08T00:41:28.9Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,0,0,2022-01-08T00:41:31Z,160000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M49.00S,2022-01-08T00:41:38.8Z,1,REGULAR,2pt,Jump Shot,[],1630567,21.632720105124836,49.26470588235294,1610612761,2,0,2022-01-08T00:41:42Z,170000,4.0,151.0,1,left,S. Barnes 15' Jump Shot (2 PTS) (O. Anunoby 1 AST),"[1630567, 1628384]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,15.08,Made,,,,,,,,,,,2.0,O. Anunoby,1628384.0,1.0,,,,,
19,PT10M42.00S,2022-01-08T00:41:46.4Z,1,REGULAR,3pt,Jump Shot,[],1630190,93.77463863337714,96.07843137254902,1610612762,2,3,2022-01-08T00:41:51Z,190000,230.0,6.0,1,right,E. Hughes 3PT  (3 PTS) (J. Butler 1 AST),"[1630190, 1630215]",1610612762.0,UTA,,,,Hughes,E. Hughes,,,,,23.05,Made,,,,,,,,,,,3.0,J. Butler,1630215.0,1.0,,,,,
21,PT10M20.00S,2022-01-08T00:42:07.6Z,1,REGULAR,2pt,Jump Shot,[],1627832,21.632720105124836,30.392156862745097,1610612761,2,3,2022-01-08T00:42:12Z,210000,98.0,151.0,1,left,MISS F. VanVleet 17' pullup Shot,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,17.98,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M18.00S,2022-01-08T00:42:09.6Z,1,REGULAR,rebound,defensive,[],1629672,,,1610612762,2,3,2022-01-08T00:42:12Z,220000,,,0,,E. Paschall REBOUND (Off:0 Def:1),[1629672],1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
23,PT10M07.00S,2022-01-08T00:42:21.2Z,1,REGULAR,3pt,Jump Shot,[],1629672,95.48291721419186,96.32352941176471,1610612762,2,6,2022-01-08T00:42:25Z,230000,232.0,-10.0,1,right,E. Paschall 3PT  (3 PTS) (E. Hughes 1 AST),"[1629672, 1630190]",1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,23.18,Made,,,,,,,,,,,3.0,E. Hughes,1630190.0,1.0,,,,,
25,PT09M55.00S,2022-01-08T00:42:32.7Z,1,REGULAR,3pt,Jump Shot,[],1630567,20.18725361366623,6.862745098039216,1610612761,2,6,2022-01-08T00:42:37Z,250000,216.0,137.0,1,left,MISS S. Barnes 25' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,25.57,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M53.00S,2022-01-08T00:42:34.7Z,1,REGULAR,rebound,defensive,[],1630235,,,1610612762,2,6,2022-01-08T00:42:37Z,260000,,,0,,T. Forrest REBOUND (Off:1 Def:1),[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,25.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
27,PT09M45.00S,2022-01-08T00:42:43.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629672,94.03745072273325,48.03921568627451,1610612762,2,8,2022-01-08T00:42:48Z,270000,-10.0,4.0,1,right,E. Paschall driving Layup (5 PTS),[1629672],1610612762.0,UTA,driving,,,Paschall,E. Paschall,,,,,1.04,Made,,,,,,,,,,,5.0,,,,,,,,
28,PT09M32.00S,2022-01-08T00:42:55.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,7.178055190538765,45.83333333333333,1610612761,2,8,2022-01-08T00:43:00Z,280000,21.0,15.0,1,left,MISS S. Barnes cutting Layup,[1630567],1610612761.0,TOR,cutting,,,Barnes,S. Barnes,,,,,2.56,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M29.00S,2022-01-08T00:42:58.4Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,2,8,2022-01-08T00:42:58Z,290000,,,0,,P. Siakam REBOUND (Off:1 Def:0),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
30,PT09M27.00S,2022-01-08T00:43:00.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629018,30.305519053876477,26.225490196078432,1610612761,2,8,2022-01-08T00:43:05Z,300000,119.0,232.0,1,left,MISS G. Trent Jr. 26' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,26.1,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M23.00S,2022-01-08T00:43:04.7Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,2,8,2022-01-08T00:43:05Z,310000,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,30.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
32,PT09M18.00S,2022-01-08T00:43:10.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628384,5.075558475689881,94.85294117647058,1610612761,5,8,2022-01-08T00:43:15Z,320000,-224.0,-5.0,1,left,O. Anunoby 3PT  (3 PTS) (F. VanVleet 1 AST),"[1628384, 1627832]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,22.44,Made,,,,,,,,,,,3.0,F. VanVleet,1627832.0,1.0,,,,,
34,PT09M01.00S,2022-01-08T00:43:26.6Z,1,REGULAR,3pt,Jump Shot,[],1629672,82.9993429697766,93.87254901960785,1610612762,5,8,2022-01-08T00:43:33Z,340000,219.0,107.0,1,right,MISS E. Paschall 24' 3PT,[1629672],1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,24.42,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M00.00S,2022-01-08T00:43:27.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,5,8,2022-01-08T00:43:33Z,350000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,
36,PT09M00.00S,2022-01-08T00:43:32.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,5,8,2022-01-08T00:43:32Z,360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M55.00S,2022-01-08T00:43:38.4Z,1,REGULAR,3pt,Jump Shot,[],1629018,7.178055190538765,3.6764705882352944,1610612761,5,8,2022-01-08T00:43:43Z,370000,232.0,15.0,1,left,MISS G. Trent Jr. 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,23.21,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M52.00S,2022-01-08T00:43:41.4Z,1,REGULAR,rebound,defensive,[],1630190,,,1610612762,5,8,2022-01-08T00:43:43Z,380000,,,0,,E. Hughes REBOUND (Off:0 Def:1),[1630190],1610612762.0,UTA,,,,Hughes,E. Hughes,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
39,PT08M47.00S,2022-01-08T00:43:46.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630190,71.35348226018397,75.51317401960785,1610612762,5,11,2022-01-08T00:44:03Z,390000,128.0,217.0,1,right,E. Hughes 25' 3PT running pullup (6 PTS),[1630190],1610612762.0,UTA,running pullup,,,Hughes,E. Hughes,,,,,25.16,Made,,,,,,,,,,,6.0,,,,,,,,
40,PT08M33.00S,2022-01-08T00:43:59.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,14.668199737187912,53.18627450980392,1610612761,5,11,2022-01-08T00:44:07Z,400000,-16.0,85.0,1,left,MISS P. Siakam 8' turnaround fadeaway Shot,[1627783],1610612761.0,TOR,turnaround fadeaway,,,Siakam,P. Siakam,,,,,8.69,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M33.00S,2022-01-08T00:43:59.9Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,5,11,2022-01-08T00:44:07Z,410000,,,0,,H. Whiteside REBOUND (Off:0 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
42,PT08M21.00S,2022-01-08T00:44:11.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630235,87.46714848883047,55.392156862745104,1610612762,5,13,2022-01-08T00:44:17Z,420000,27.0,65.0,1,right,T. Forrest 7' driving floating Jump Shot (2 PTS),[1630235],1610612762.0,UTA,driving floating,,,Forrest,T. Forrest,,,,,7.07,Made,,,,,,,,,,,2.0,,,,,,,,
43,PT08M21.00S,2022-01-08T00:44:17.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,5,13,2022-01-08T00:44:17Z,430000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M11.00S,2022-01-08T00:47:15.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,16.113666228646515,52.20588235294118,1610612761,7,13,2022-01-08T00:47:22Z,440000,-11.0,99.0,1,left,S. Barnes 9' floating Jump Shot (4 PTS) (F. VanVleet 2 AST),"[1630567, 1627832]",1610612761.0,TOR,floating,,,Barnes,S. Barnes,,,,,9.96,Made,,,,,,,,,,,4.0,F. VanVleet,1627832.0,2.0,,,,,
46,PT07M58.00S,2022-01-08T00:47:31.2Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612762,7,13,2022-01-08T00:47:40Z,460000,,,0,,P. Siakam shooting personal FOUL (1 PF) (Paschall 2 FT),"[1627783, 1629672]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,,,,,,,,,,2002.0,,,,,,,1.0,0.0,Paschall,1629672.0,
48,PT07M58.00S,2022-01-08T00:47:50.1Z,1,REGULAR,freethrow,1 of 2,[],1629672,,,1610612762,7,13,2022-01-08T00:47:50Z,480000,,,0,,MISS E. Paschall Free Throw 1 of 2,[1629672],1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,,Missed,,,,,,,,,,,,,,,,,,,
49,PT07M58.00S,2022-01-08T00:47:50.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,7,13,2022-01-08T00:47:50Z,490000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,
50,PT07M58.00S,2022-01-08T00:48:02.0Z,1,REGULAR,freethrow,2 of 2,[],1629672,,,1610612762,7,14,2022-01-08T00:48:02Z,500000,,,0,,E. Paschall Free Throw 2 of 2 (6 PTS),[1629672],1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,,Made,,,,,,,,,,,6.0,,,,,,,,
51,PT07M47.00S,2022-01-08T00:48:13.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,13.87976346911958,49.50980392156863,1610612761,7,14,2022-01-08T00:48:19Z,510000,2.0,78.0,1,left,MISS G. Trent Jr. 7' driving floating Shot,[1629018],1610612761.0,TOR,driving floating,,,Trent Jr.,G. Trent Jr.,,,,,7.8,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M45.00S,2022-01-08T00:48:15.5Z,1,REGULAR,rebound,defensive,[],1630190,,,1610612762,7,14,2022-01-08T00:48:19Z,520000,,,0,,E. Hughes REBOUND (Off:0 Def:2),[1630190],1610612762.0,UTA,,,,Hughes,E. Hughes,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
53,PT07M40.00S,2022-01-08T00:48:21.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202355,92.72339027595268,53.431372549019606,1610612762,7,16,2022-01-08T00:49:28Z,530000,17.0,16.0,1,right,H. Whiteside running Layup (2 PTS) (E. Hughes 2 AST),"[202355, 1630190]",1610612762.0,UTA,running,,,Whiteside,H. Whiteside,,,,,2.34,Made,,,,,,,,,,,2.0,E. Hughes,1630190.0,2.0,,,,,
55,PT07M27.00S,2022-01-08T00:48:32.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,17.69053876478318,49.754901960784316,1610612761,7,16,2022-01-08T00:48:38Z,550000,1.0,114.0,1,left,MISS S. Barnes 11' Jump Shot,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,11.38,Missed,,,,,,,,,,,,,,,,,,,
56,PT07M25.00S,2022-01-08T00:48:34.9Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,7,16,2022-01-08T00:48:38Z,560000,,,0,,H. Whiteside REBOUND (Off:0 Def:2),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
57,PT07M15.00S,2022-01-08T00:48:45.5Z,1,REGULAR,3pt,Jump Shot,[],1630215,76.42904073587385,13.23529411764706,1610612762,7,16,2022-01-08T00:48:50Z,570000,-184.0,169.0,1,right,MISS J. Butler 24' 3PT,[1630215],1610612762.0,UTA,,,,Butler,J. Butler,,,,,24.98,Missed,,,,,,,,,,,,,,,,,,,
58,PT07M12.00S,2022-01-08T00:48:48.5Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,7,16,2022-01-08T00:48:50Z,580000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
59,PT07M11.00S,2022-01-08T00:48:52.8Z,1,REGULAR,foul,offensive,[],1629018,,,1610612761,7,16,2022-01-08T00:49:07Z,590000,,,0,,G. Trent Jr. charge offensive FOUL (1 PF),"[1629018, 1630190]",1610612761.0,TOR,charge,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,2002.0,,,,,,,1.0,0.0,Hughes,1630190.0,
61,PT07M11.00S,2022-01-08T00:48:52.8Z,1,REGULAR,turnover,offensive foul,[],1629018,,,1610612761,7,16,2022-01-08T00:48:52Z,610000,,,0,,G. Trent Jr. offensive foul TURNOVER (1 TO),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,1.0,,,2002.0,,,,,,,,,,,
62,PT07M11.00S,2022-01-08T00:49:05.9Z,1,REGULAR,substitution,out,[],1630567,,,1610612762,7,16,2022-01-08T00:49:16Z,620000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M11.00S,2022-01-08T00:49:05.9Z,1,REGULAR,substitution,out,[],1630215,,,1610612762,7,16,2022-01-08T00:49:16Z,630000,,,0,,SUB out: J. Butler,[1630215],1610612762.0,UTA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M11.00S,2022-01-08T00:49:05.9Z,1,REGULAR,substitution,out,[],202355,,,1610612762,7,16,2022-01-08T00:49:16Z,640000,,,0,,SUB out: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M11.00S,2022-01-08T00:49:05.9Z,1,REGULAR,substitution,in,[],203920,,,1610612762,7,16,2022-01-08T00:49:16Z,650000,,,0,,SUB in: K. Birch,[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M11.00S,2022-01-08T00:49:05.9Z,1,REGULAR,substitution,in,[],1628962,,,1610612762,7,16,2022-01-08T00:49:16Z,660000,,,0,,SUB in: U. Azubuike,[1628962],1610612762.0,UTA,,,,Azubuike,U. Azubuike,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M11.00S,2022-01-08T00:49:05.9Z,1,REGULAR,substitution,in,[],1627863,,,1610612762,7,16,2022-01-08T00:49:16Z,670000,,,0,,SUB in: D. House Jr.,[1627863],1610612762.0,UTA,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M00.00S,2022-01-08T00:49:34.8Z,1,REGULAR,turnover,out-of-bounds,[],1630235,,,1610612762,7,16,2022-01-08T00:49:41Z,680000,,,0,,T. Forrest bad pass out-of-bounds TURNOVER (2 TO),[1630235],1610612762.0,UTA,bad pass,,,Forrest,T. Forrest,,,,,,,,,,,2.0,,,1628485.0,,,,,,,,,,,
69,PT06M51.00S,2022-01-08T00:49:53.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628384,22.28975032851511,68.13725490196079,1610612761,7,16,2022-01-08T00:49:58Z,690000,-91.0,157.0,1,left,MISS O. Anunoby 18' turnaround fadeaway Shot,[1628384],1610612761.0,TOR,turnaround fadeaway,,,Anunoby,O. Anunoby,,,,,18.13,Missed,,,,,,,,,,,,,,,,,,,
70,PT06M48.00S,2022-01-08T00:49:56.2Z,1,REGULAR,rebound,defensive,[],1627863,,,1610612762,7,16,2022-01-08T00:49:58Z,700000,,,0,,D. House Jr. REBOUND (Off:0 Def:1),[1627863],1610612762.0,UTA,,,,House Jr.,D. House Jr.,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
71,PT06M41.00S,2022-01-08T00:50:03.4Z,1,REGULAR,2pt,Jump Shot,[],1629672,78.9257555847569,30.88235294117647,1610612762,7,18,2022-01-08T00:50:07Z,710000,-96.0,146.0,1,right,E. Paschall 17' pullup Jump Shot (8 PTS),[1629672],1610612762.0,UTA,pullup,,,Paschall,E. Paschall,,,,,17.42,Made,,,,,,,,,,,8.0,,,,,,,,
72,PT06M32.00S,2022-01-08T00:50:12.2Z,1,REGULAR,3pt,Jump Shot,[],1627832,26.888961892247043,83.08823529411765,1610612761,7,18,2022-01-08T00:50:17Z,720000,-165.0,200.0,1,left,MISS F. VanVleet 25' pullup 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,25.98,Missed,,,,,,,,,,,,,,,,,,,
73,PT06M29.00S,2022-01-08T00:50:15.2Z,1,REGULAR,rebound,defensive,[],1627863,,,1610612762,7,18,2022-01-08T00:50:17Z,730000,,,0,,D. House Jr. REBOUND (Off:0 Def:2),[1627863],1610612762.0,UTA,,,,House Jr.,D. House Jr.,,,,,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
74,PT06M26.00S,2022-01-08T00:50:18.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630190,80.89684625492772,92.15686274509804,1610612762,7,18,2022-01-08T00:50:25Z,740000,211.0,127.0,1,right,MISS E. Hughes 24' running pullup 3PT,[1630190],1610612762.0,UTA,running pullup,,,Hughes,E. Hughes,,,,,24.62,Missed,,,,,,,,,,,,,,,,,,,
75,PT06M23.00S,2022-01-08T00:50:21.7Z,1,REGULAR,rebound,offensive,[],1627863,,,1610612762,7,18,2022-01-08T00:50:21Z,750000,,,0,,D. House Jr. REBOUND (Off:1 Def:2),[1627863],1610612762.0,UTA,,,,House Jr.,D. House Jr.,,,,,,,74.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
76,PT06M21.00S,2022-01-08T00:50:23.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627863,94.1688567674113,53.92156862745098,1610612762,7,20,2022-01-08T00:50:29Z,760000,20.0,2.0,1,right,D. House Jr. driving Layup (2 PTS),[1627863],1610612762.0,UTA,driving,,,House Jr.,D. House Jr.,,,,,1.97,Made,,,,,,,,,,,2.0,,,,,,,,
77,PT06M09.00S,2022-01-08T00:50:34.9Z,1,REGULAR,2pt,Jump Shot,[],1627832,22.421156373193167,32.59803921568628,1610612761,9,20,2022-01-08T00:50:41Z,770000,87.0,158.0,1,left,F. VanVleet 18' pullup Jump Shot (2 PTS) (P. Siakam 1 AST),"[1627832, 1627783]",1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,18.06,Made,,,,,,,,,,,2.0,P. Siakam,1627783.0,1.0,,,,,
78,PT05M46.00S,2022-01-08T00:50:58.3Z,1,REGULAR,3pt,Jump Shot,[],1629672,75.77201051248358,14.705882352941178,1610612762,9,23,2022-01-08T00:51:02Z,780000,-176.0,175.0,1,right,E. Paschall 24' 3PT  (11 PTS),[1629672],1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,24.87,Made,,,,,,,,,,,11.0,,,,,,,,
79,PT05M28.00S,2022-01-08T00:51:15.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203920,19.267411300919843,50.49019607843137,1610612761,11,23,2022-01-08T00:51:22Z,790000,-2.0,129.0,1,left,K. Birch 12' floating Jump Shot (2 PTS) (F. VanVleet 3 AST),"[203920, 1627832]",1610612761.0,TOR,floating,,,Birch,K. Birch,,,,,12.86,Made,,,,,,,,,,,2.0,F. VanVleet,1627832.0,3.0,,,,,
81,PT05M09.00S,2022-01-08T00:51:33.9Z,1,REGULAR,3pt,Jump Shot,[],1627863,93.38042049934296,96.07843137254902,1610612762,11,26,2022-01-08T00:51:39Z,810000,230.0,10.0,1,right,D. House Jr. 3PT  (5 PTS) (T. Forrest 1 AST),"[1627863, 1630235]",1610612762.0,UTA,,,,House Jr.,D. House Jr.,,,,,23.06,Made,,,,,,,,,,,5.0,T. Forrest,1630235.0,1.0,,,,,
83,PT04M54.00S,2022-01-08T00:51:50.5Z,1,REGULAR,foul,personal,['3freethrow'],1629672,,,1610612761,11,26,2022-01-08T00:52:01Z,830000,,,0,,E. Paschall shooting personal FOUL (1 PF) (VanVleet 3 FT),"[1629672, 1627832]",1610612762.0,UTA,shooting,,,Paschall,E. Paschall,,,,,,,,,,,,,,203591.0,,,,,,,1.0,0.0,VanVleet,1627832.0,
86,PT04M54.00S,2022-01-08T00:52:15.8Z,1,REGULAR,freethrow,1 of 3,[],1627832,,,1610612761,12,26,2022-01-08T00:52:15Z,850000,,,0,,F. VanVleet Free Throw 1 of 3 (3 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,Made,,,,,,,,,,,3.0,,,,,,,,
