actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-28T23:10:48.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-28T23:10:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-28T23:10:51.3Z,1,REGULAR,jumpball,recovered,[],1629684,,,1610612738,0,0,2021-11-28T23:10:51Z,40000,,,0,,Jump Ball A. Horford vs. P. Achiuwa: Tip to G. Williams,"[1629684, 201143, 1630173]",1610612738.0,BOS,startperiod,G. Williams,1629684.0,Williams,G. Williams,Horford,201143.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-11-28T23:11:10.5Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612738,0,0,2021-11-28T23:11:52Z,70000,,,0,,P. Siakam shooting personal FOUL (1 PF) (Horford 2 FT),"[1627783, 201143]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,1628484.0,1.0,0.0,Horford,201143.0,,,,,,,,,,,,,,,,
9,PT11M39.00S,2021-11-28T23:11:36.5Z,1,REGULAR,freethrow,1 of 2,[],201143,,,1610612738,0,1,2021-11-28T23:11:36Z,90000,,,0,,A. Horford Free Throw 1 of 2 (1 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M39.00S,2021-11-28T23:11:56.6Z,1,REGULAR,freethrow,2 of 2,[],201143,,,1610612738,0,2,2021-11-28T23:11:56Z,100000,,,0,,A. Horford Free Throw 2 of 2 (2 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
11,PT11M23.00S,2021-11-28T23:12:14.4Z,1,REGULAR,3pt,Jump Shot,[],1630567,32.14520367936925,73.52941176470588,1610612761,0,2,2021-11-28T23:12:20Z,110000,-118.0,250.0,1,left,MISS S. Barnes 27' bank 3PT,[1630567],1610612761.0,TOR,bank,,,Barnes,S. Barnes,,,,,,,,,,Missed,,27.6,,,,,,,,,,,,,
12,PT11M20.00S,2021-11-28T23:12:17.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,2,2021-11-28T23:12:20Z,120000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M16.00S,2021-11-28T23:12:21.8Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],201143,83.78777923784494,21.07843137254902,1610612738,0,4,2021-11-28T23:12:29Z,130000,-145.0,100.0,1,right,A. Horford 17' running Jump Shot (4 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,running,,,Horford,A. Horford,,,,,,,,,,Made,4.0,17.58,,,,,J. Tatum,1628369.0,1.0,,,,,,
15,PT11M08.00S,2021-11-28T23:12:28.6Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,0,4,2021-11-28T23:12:37Z,150000,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 1629684]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,1.0,Williams,1629684.0,,,
16,PT11M08.00S,2021-11-28T23:12:28.6Z,1,REGULAR,steal,,[],1629684,,,1610612738,0,4,2021-11-28T23:12:31Z,160000,,,0,,G. Williams STEAL (1 STL),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT11M04.00S,2021-11-28T23:12:32.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629684,92.85479632063075,48.529411764705884,1610612738,0,4,2021-11-28T23:12:57Z,170000,-7.0,15.0,1,right,MISS G. Williams Layup - blocked,"[1629684, 1630567]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,Missed,,1.65,,,,,,,,,,,Barnes,1630567.0,
18,PT11M04.00S,2021-11-28T23:12:32.6Z,1,REGULAR,block,,[],1630567,,,1610612738,0,4,2021-11-28T23:12:35Z,180000,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT11M01.00S,2021-11-28T23:12:35.6Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,0,4,2021-11-28T23:12:57Z,190000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,
20,PT10M55.00S,2021-11-28T23:12:41.6Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,0,4,2021-11-28T23:13:11Z,200000,,,0,,S. Barnes bad pass TURNOVER (2 TO),"[1630567, 1627759]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,2.0,Brown,1627759.0,,,
21,PT10M55.00S,2021-11-28T23:12:41.6Z,1,REGULAR,steal,,[],1627759,,,1610612738,0,4,2021-11-28T23:12:44Z,210000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
