actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-05T23:10:23.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-05T23:10:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2021-12-05T23:10:25.9Z,1,REGULAR,jumpball,recovered,[],0,,,1610612764,0,0,2021-12-05T23:10:26Z,40000,,,0,,Jump Ball D. Gafford vs. P. Achiuwa: Tip to Team (WAS),"[1629655, 1630173]",1610612764.0,WAS,startperiod,Team (WAS),Gafford,1629655.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M59.00S,2021-12-05T23:10:32.2Z,1,REGULAR,foul,personal,[],1630173,,,1610612764,0,0,2021-12-05T23:11:06Z,70000,,,0,,P. Achiuwa loose ball personal FOUL (1 PF),"[1630173, 1629655]",1610612761.0,TOR,loose ball,,,,,,1628159.0,1.0,0.0,Achiuwa,P. Achiuwa,Gafford,1629655.0,,,,,,,,,,,,,,,
10,PT11M45.00S,2021-12-05T23:11:12.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,8.754927726675426,45.09803921568628,1610612764,0,0,2021-12-05T23:11:59Z,100000,25.0,30.0,1,left,MISS B. Beal driving reverse Layup,[203078],1610612764.0,WAS,driving reverse,,,,,,,,,Beal,B. Beal,,,3.86,Missed,,,,,,,,,,,,,
11,PT11M42.00S,2021-12-05T23:11:15.3Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,0,0,2021-12-05T23:11:15Z,110000,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612764.0,WAS,,,,,,,,,,Gafford,D. Gafford,,,,,10.0,1.0,0.0,1.0,,,,,,,,,
12,PT11M42.00S,2021-12-05T23:11:15.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629655,5.590000152587891,50.0,1610612764,0,0,2021-12-05T23:11:21Z,120000,0.0,0.0,1,left,MISS D. Gafford tip Layup,[1629655],1610612764.0,WAS,tip,,,,,,,,,Gafford,D. Gafford,,,0.0,Missed,,,,,,,,,,,,,
13,PT11M42.00S,2021-12-05T23:11:15.3Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,0,0,2021-12-05T23:11:21Z,130000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,,,,,,,Siakam,P. Siakam,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M32.00S,2021-12-05T23:11:25.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,84.31340341655716,43.38235294117647,1610612761,0,0,2021-12-05T23:11:37Z,140000,-33.0,95.0,1,right,MISS S. Barnes 10' turnaround fadeaway bank Shot,[1630567],1610612761.0,TOR,turnaround fadeaway bank,,,,,,,,,Barnes,S. Barnes,,,10.06,Missed,,,,,,,,,,,,,
15,PT11M28.00S,2021-12-05T23:11:29.3Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,0,0,2021-12-05T23:11:37Z,150000,,,0,,D. Gafford REBOUND (Off:1 Def:1),[1629655],1610612764.0,WAS,,,,,,,,,,Gafford,D. Gafford,,,,,14.0,2.0,1.0,1.0,,,,,,,,,
16,PT11M26.00S,2021-12-05T23:11:33.9Z,1,REGULAR,turnover,out-of-bounds,[],203484,,,1610612764,0,0,2021-12-05T23:11:42Z,160000,,,0,,K. Caldwell-Pope lost ball out-of-bounds TURNOVER (1 TO),[203484],1610612764.0,WAS,lost ball,,,,,,204059.0,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,1.0,,,,,,,,
