actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-24T23:40:42.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-24T23:40:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-24T23:40:44.1Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612739,0,0,2022-03-24T23:40:44Z,40000,,,0,,Jump Ball E. Mobley vs. S. Barnes: Tip to L. Markkanen,"[1628374, 1630596, 1630567]",1610612739.0,CLE,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Mobley,1630596.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-03-24T23:41:03.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,6.915243101182654,52.69607843137255,1610612739,0,2,2022-03-24T23:41:09Z,70000,-13.0,13.0,1,left,E. Mobley cutting DUNK (2 PTS) (D. Garland 1 AST),"[1630596, 1629636]",1610612739.0,CLE,cutting,,,Mobley,E. Mobley,,,,,1.84,Made,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,,,,,,
9,PT11M14.00S,2022-03-24T23:41:27.3Z,1,REGULAR,3pt,Jump Shot,[],1628384,94.1688567674113,97.54901960784314,1610612761,0,2,2022-03-24T23:41:32Z,90000,238.0,2.0,1,right,MISS O. Anunoby 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,23.77,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M11.00S,2022-03-24T23:41:30.3Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,0,2,2022-03-24T23:41:32Z,100000,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M08.00S,2022-03-24T23:41:33.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630171,8.754927726675426,45.34313725490196,1610612739,0,2,2022-03-24T23:41:50Z,110000,23.0,30.0,1,left,MISS I. Okoro running Layup - blocked,"[1630171, 1628384]",1610612739.0,CLE,running,,,Okoro,I. Okoro,,,,,3.78,Missed,,,,,,,,,Anunoby,1628384.0,,,,,,,,,
15,PT11M08.00S,2022-03-24T23:41:33.6Z,1,REGULAR,block,,[],1628384,,,1610612739,0,2,2022-03-24T23:41:50Z,115000,,,0,,O. Anunoby BLOCK (1 BLK),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2022-03-24T23:41:36.6Z,1,REGULAR,rebound,defensive,[],203920,,,1610612761,0,2,2022-03-24T23:44:05Z,120000,,,0,,K. Birch REBOUND (Off:0 Def:1),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M00.00S,2022-03-24T23:41:42.3Z,1,REGULAR,turnover,lost ball,[],1630567,,,1610612761,0,2,2022-03-24T23:41:58Z,130000,,,0,,S. Barnes lost ball TURNOVER (1 TO),"[1630567, 201567]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,1.0,Love,201567.0,,,,,,
14,PT11M00.00S,2022-03-24T23:41:42.3Z,1,REGULAR,steal,,[],201567,,,1610612739,0,2,2022-03-24T23:41:44Z,140000,,,0,,K. Love STEAL (1 STL),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
