actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-05T00:10:02.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-05T00:10:02Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-05T00:10:05.1Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2022-01-05T00:10:05Z,40000,,,0,,Jump Ball J. Poeltl vs. P. Siakam: Tip to K. Johnson,"[1629640, 1627751, 1627783]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Siakam,1627783.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-01-05T00:10:16.0Z,1,REGULAR,3pt,Jump Shot,[],1630170,30.56833114323259,20.34313725490196,1610612759,0,3,2022-01-05T00:10:23Z,70000,148.0,235.0,1,left,D. Vassell 27' 3PT  (3 PTS) (K. Johnson 1 AST),"[1630170, 1629640]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,27.77,Made,3.0,K. Johnson,1629640.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-01-05T00:10:40.0Z,1,REGULAR,3pt,Jump Shot,[],1627832,86.41590013140605,4.166666666666666,1610612761,3,3,2022-01-05T00:10:45Z,90000,-229.0,75.0,1,right,F. VanVleet 24' 3PT  (3 PTS) (S. Barnes 1 AST),"[1627832, 1630567]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,24.12,Made,3.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,,,
11,PT11M06.00S,2022-01-05T00:11:01.1Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612759,3,3,2022-01-05T00:11:11Z,110000,,,0,,P. Siakam shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1627783, 1627751]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,,,,,,,1628159.0,1.0,0.0,Poeltl,1627751.0,,,,,,,,,
13,PT11M06.00S,2022-01-05T00:11:21.9Z,1,REGULAR,freethrow,1 of 2,[],1627751,,,1610612759,3,3,2022-01-05T00:11:44Z,130000,,,0,,MISS J. Poeltl Free Throw 1 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2022-01-05T00:11:21.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612759,3,3,2022-01-05T00:11:44Z,140000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,
15,PT11M06.00S,2022-01-05T00:11:21.9Z,1,REGULAR,freethrow,2 of 2,[],1627751,,,1610612759,3,3,2022-01-05T00:11:44Z,150000,,,0,,MISS J. Poeltl Free Throw 2 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Missed,,,,,,,,,,,,,,,,,,
16,PT11M03.00S,2022-01-05T00:11:24.9Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,3,3,2022-01-05T00:11:44Z,160000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M52.00S,2022-01-05T00:11:55.5Z,1,REGULAR,foul,offensive,[],1627783,,,1610612761,3,3,2022-01-05T00:12:25Z,170000,,,0,,P. Siakam offensive FOUL (2 PF),"[1627783, 1630200]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,1628159.0,2.0,0.0,Jones,1630200.0,,,,,,,,,
19,PT10M52.00S,2022-01-05T00:11:55.5Z,1,REGULAR,turnover,offensive foul,[],1627783,,,1610612761,3,3,2022-01-05T00:11:55Z,190000,,,0,,P. Siakam offensive foul TURNOVER (1 TO),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,1628159.0,,,,,,,,,1.0,,,,
20,PT10M36.00S,2022-01-05T00:12:28.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627751,14.668199737187912,50.73529411764706,1610612759,3,3,2022-01-05T00:12:31Z,200000,-4.0,85.0,1,left,MISS J. Poeltl 8' Hook,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,8.55,Missed,,,,,,,,,,,,,,,,,,
21,PT10M33.00S,2022-01-05T00:12:31.1Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,3,3,2022-01-05T00:12:31Z,210000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,
