actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-23T23:40:45.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-23T23:40:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-10-23T23:40:47.6Z,1,REGULAR,jumpball,recovered,[],203939,,,1610612742,0,0,2021-10-23T23:40:47Z,40000,,,0,,Jump Ball K. Porzingis vs. P. Achiuwa: Tip to D. Powell,"[203939, 204001, 1630173]",1610612742.0,DAL,startperiod,D. Powell,203939.0,Powell,D. Powell,Porzingis,204001.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-10-23T23:40:59.8Z,1,REGULAR,3pt,Jump Shot,[],204001,28.86005256241787,17.401960784313726,1610612742,0,0,2021-10-23T23:41:04Z,70000,163.0,219.0,1,left,MISS K. Porzingis 27' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,27.28,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-10-23T23:41:02.8Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,0,2021-10-23T23:41:04Z,80000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2021-10-23T23:41:17.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628384,93.24901445466492,49.01960784313725,1610612761,2,0,2021-10-23T23:41:22Z,90000,-5.0,11.0,1,right,O. Anunoby driving DUNK (2 PTS),[1628384],1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,1.2,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M02.00S,2021-10-23T23:41:42.5Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,2,0,2021-10-23T23:41:47Z,100000,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 1628384]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,1.0,Anunoby,1628384.0,,,,,,,,,,,
11,PT11M02.00S,2021-10-23T23:41:42.5Z,1,REGULAR,steal,,[],1628384,,,1610612761,2,0,2021-10-23T23:41:45Z,110000,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2021-10-23T23:41:47.6Z,1,REGULAR,turnover,out-of-bounds,[],1628384,,,1610612761,2,0,2021-10-23T23:41:53Z,120000,,,0,,O. Anunoby bad pass out-of-bounds TURNOVER (1 TO),[1628384],1610612761.0,TOR,bad pass,,,Anunoby,O. Anunoby,,,,,,,,,,,,1.0,,,1626302.0,,,,,,,,,,
13,PT10M49.00S,2021-10-23T23:42:05.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203939,5.469776609724048,50.0,1610612742,2,2,2021-10-23T23:42:09Z,130000,0.0,-1.0,1,left,D. Powell cutting DUNK (2 PTS) (L. Doncic 1 AST),"[203939, 1629029]",1610612742.0,DAL,cutting,,,Powell,D. Powell,,,,,0.11,Made,,,,,2.0,,,,,L. Doncic,1629029.0,1.0,,,,,,,
15,PT10M30.00S,2021-10-23T23:42:23.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,93.9060446780552,47.794117647058826,1610612761,4,2,2021-10-23T23:42:27Z,150000,-11.0,5.0,1,right,O. Anunoby Layup (4 PTS) (S. Barnes 1 AST),"[1628384, 1630567]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,1.2,Made,,,,,4.0,,,,,S. Barnes,1630567.0,1.0,,,,,,,
