actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-04T00:40:34.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-04T00:40:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-04T00:40:36.1Z,1,REGULAR,jumpball,recovered,[],1630201,,,1610612761,0,0,2022-03-04T00:40:36Z,40000,,,0,,Jump Ball S. Barnes vs. I. Stewart: Tip to M. Flynn,"[1630201, 1630567, 1630191]",1610612761.0,TOR,startperiod,M. Flynn,1630201.0,Flynn,M. Flynn,Barnes,1630567.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-03-04T00:40:52.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203920,86.28449408672799,51.470588235294116,1610612761,0,0,2022-03-04T00:40:58Z,70000,7.0,76.0,1,right,MISS K. Birch 7' floating Shot,[203920],1610612761.0,TOR,floating,,,Birch,K. Birch,,,,,7.68,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-03-04T00:40:55.0Z,1,REGULAR,rebound,defensive,[],202709,,,1610612765,0,0,2022-03-04T00:40:55Z,80000,,,0,,C. Joseph REBOUND (Off:0 Def:1),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2022-03-04T00:41:10.6Z,1,REGULAR,2pt,Jump Shot,[],202709,17.16491458607096,26.715686274509803,1610612765,0,0,2022-03-04T00:41:14Z,90000,116.0,109.0,1,left,MISS C. Joseph 15' pullup Shot,[202709],1610612765.0,DET,pullup,,,Joseph,C. Joseph,,,,,15.94,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-03-04T00:41:12.6Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,0,0,2022-03-04T00:41:14Z,100000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M11.00S,2022-03-04T00:41:22.7Z,1,REGULAR,2pt,Layup,[],1629018,89.70105124835742,31.127450980392158,1610612761,0,0,2022-03-04T00:41:33Z,110000,-94.0,44.0,1,right,MISS G. Trent Jr. 10' driving Layup,[1629018],1610612761.0,TOR,driving,,,Trent Jr.,G. Trent Jr.,,,,,10.43,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2022-03-04T00:41:22.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,0,0,2022-03-04T00:41:33Z,130000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2022-03-04T00:41:27.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,0,0,2022-03-04T00:41:27Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2022-03-04T00:41:53.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627783,74.32654402102497,47.05882352941176,1610612761,0,0,2022-03-04T00:41:58Z,150000,-15.0,189.0,1,right,MISS P. Siakam 18' step back Shot,[1627783],1610612761.0,TOR,step back,,,Siakam,P. Siakam,,,,,18.94,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M55.00S,2022-03-04T00:41:58.3Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,0,0,2022-03-04T00:41:58Z,160000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M44.00S,2022-03-04T00:42:10.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,6.783837056504599,43.872549019607845,1610612765,0,2,2022-03-04T00:42:15Z,170000,31.0,11.0,1,left,S. Bey driving Layup (2 PTS),[1630180],1610612765.0,DET,driving,,,Bey,S. Bey,,,,,3.26,Made,,,,,2.0,,,,,,,,,,,,,,
18,PT10M34.00S,2022-03-04T00:42:20.8Z,1,REGULAR,foul,personal,['2freethrow'],1630191,,,1610612761,0,2,2022-03-04T00:42:31Z,180000,,,0,,I. Stewart shooting personal FOUL (1 PF) (Barnes 2 FT),"[1630191, 1630567]",1610612765.0,DET,shooting,,,Stewart,I. Stewart,,,,,,,,,,,,1830.0,1.0,0.0,Barnes,1630567.0,,,,,,,,,
20,PT10M34.00S,2022-03-04T00:43:16.1Z,1,REGULAR,freethrow,1 of 2,[],1630567,,,1610612761,0,2,2022-03-04T00:43:16Z,200000,,,0,,MISS S. Barnes Free Throw 1 of 2,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M34.00S,2022-03-04T00:43:16.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,0,2,2022-03-04T00:43:16Z,210000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,
22,PT10M34.00S,2022-03-04T00:43:31.1Z,1,REGULAR,freethrow,2 of 2,[],1630567,,,1610612761,1,2,2022-03-04T00:43:31Z,220000,,,0,,S. Barnes Free Throw 2 of 2 (1 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
23,PT10M18.00S,2022-03-04T00:43:47.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,11.251642575558476,52.20588235294118,1610612765,1,4,2022-03-04T00:43:54Z,230000,-11.0,53.0,1,left,J. Grant driving floating bank Jump Shot (2 PTS),[203924],1610612765.0,DET,driving floating bank,,,Grant,J. Grant,,,,,5.44,Made,,,,,2.0,,,,,,,,,,,,,,
