actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-05T23:40:47.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-05T23:40:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-04-05T23:40:50.1Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2022-04-05T23:40:50Z,40000,,,0,,Jump Ball S. Barnes vs. C. Capela: Tip to P. Siakam,"[1627783, 1630567, 203991]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Barnes,1630567.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-04-05T23:41:06.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627783,86.15308804204993,49.754901960784316,1610612761,2,0,2022-04-05T23:41:10Z,70000,-1.0,78.0,1,right,P. Siakam 7' driving Hook (2 PTS),[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,7.77,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2022-04-05T23:41:29.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,13.354139290407357,50.49019607843137,1610612737,2,2,2022-04-05T23:41:33Z,80000,-2.0,73.0,1,left,C. Capela 7' Hook (2 PTS) (T. Luwawu-Cabarrot 1 AST),"[203991, 1627789]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,7.3,Made,2.0,T. Luwawu-Cabarrot,1627789.0,1.0,,,,,,,,,,,,,,,
10,PT11M04.00S,2022-04-05T23:41:43.4Z,1,REGULAR,foul,personal,['2freethrow'],1629631,,,1610612761,2,2,2022-04-05T23:41:54Z,100000,,,0,,D. Hunter shooting personal FOUL (1 PF) (Barnes 2 FT),"[1629631, 1630567]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,,,,,,,1179.0,1.0,0.0,Barnes,1630567.0,,,,,,,,,,
12,PT11M04.00S,2022-04-05T23:42:07.2Z,1,REGULAR,freethrow,1 of 2,[],1630567,,,1610612761,2,2,2022-04-05T23:42:07Z,120000,,,0,,MISS S. Barnes Free Throw 1 of 2,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2022-04-05T23:42:07.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,2,2,2022-04-05T23:42:07Z,130000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,
14,PT11M04.00S,2022-04-05T23:42:21.1Z,1,REGULAR,freethrow,2 of 2,[],1630567,,,1610612761,3,2,2022-04-05T23:42:21Z,140000,,,0,,S. Barnes Free Throw 2 of 2 (1 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2022-04-05T23:42:32.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,14.931011826544022,63.970588235294116,1610612737,3,2,2022-04-05T23:42:44Z,150000,-70.0,88.0,1,left,MISS T. Young 11' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,11.23,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2022-04-05T23:42:34.6Z,1,REGULAR,rebound,defensive,[],203920,,,1610612761,3,2,2022-04-05T23:42:34Z,160000,,,0,,K. Birch REBOUND (Off:0 Def:1),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,
