actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-26T00:10:10.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-26T00:10:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-26T00:10:12.7Z,1,REGULAR,jumpball,recovered,[],1626179,,,1610612766,0,0,2022-01-26T00:10:12Z,40000,,,0,,Jump Ball M. Plumlee vs. P. Achiuwa: Tip to T. Rozier,"[1626179, 203486, 1630173]",1610612766.0,CHA,startperiod,T. Rozier,1626179.0,Rozier,T. Rozier,Plumlee,203486.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-01-26T00:10:26.0Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612766,0,0,2022-01-26T00:10:34Z,70000,,,0,,P. Siakam shooting personal FOUL (1 PF) (Bridges 2 FT),"[1627783, 1628970]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,203592.0,1.0,0.0,Bridges,1628970.0,,,,,,,,,,,,,,,,
9,PT11M45.00S,2022-01-26T00:10:49.5Z,1,REGULAR,freethrow,1 of 2,[],1628970,,,1610612766,0,1,2022-01-26T00:10:49Z,90000,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M45.00S,2022-01-26T00:11:03.0Z,1,REGULAR,freethrow,2 of 2,[],1628970,,,1610612766,0,2,2022-01-26T00:11:03Z,100000,,,0,,M. Bridges Free Throw 2 of 2 (2 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
11,PT11M26.00S,2022-01-26T00:11:25.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,88.12417871222075,39.950980392156865,1610612761,2,2,2022-01-26T00:11:32Z,110000,-50.0,59.0,1,right,P. Siakam 7' turnaround bank Jump Shot (2 PTS),[1627783],1610612761.0,TOR,turnaround bank,,,Siakam,P. Siakam,,,,,,,,,,Made,2.0,7.75,,,,,,,,,,,,,
12,PT11M12.00S,2022-01-26T00:11:39.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,7.5722733245729295,48.03921568627451,1610612766,2,4,2022-01-26T00:11:45Z,120000,10.0,19.0,1,left,M. Plumlee cutting Layup (2 PTS) (L. Ball 1 AST),"[203486, 1630163]",1610612766.0,CHA,cutting,,,Plumlee,M. Plumlee,,,,,,,,,,Made,2.0,2.11,L. Ball,1630163.0,1.0,,,,,,,,,,
14,PT10M48.00S,2022-01-26T00:12:03.2Z,1,REGULAR,2pt,Jump Shot,[],1630173,94.69448094612353,88.97058823529412,1610612761,4,4,2022-01-26T00:12:09Z,140000,195.0,-3.0,1,right,P. Achiuwa 19' Jump Shot (2 PTS) (P. Siakam 1 AST),"[1630173, 1627783]",1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,Made,2.0,19.49,P. Siakam,1627783.0,1.0,,,,,,,,,,
16,PT10M36.00S,2022-01-26T00:12:17.5Z,1,REGULAR,turnover,out-of-bounds,[],203486,,,1610612766,4,4,2022-01-26T00:12:24Z,160000,,,0,,M. Plumlee bad pass out-of-bounds TURNOVER (1 TO),[203486],1610612766.0,CHA,bad pass,,,Plumlee,M. Plumlee,,,,,201246.0,,,,,,,,,,,1.0,,,,,,,,,
17,PT10M28.00S,2022-01-26T00:12:44.8Z,1,REGULAR,turnover,8-second-violation,['team'],0,,,1610612761,4,4,2022-01-26T00:12:54Z,170000,,,0,,TOR 8-second-violation Team TURNOVER,[],1610612761.0,TOR,,,,,,,,,,201246.0,,,,,,,,,,,,,,,,,,,,
18,PT10M19.00S,2022-01-26T00:13:03.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626179,7.30946123521682,2.2058823529411766,1610612766,4,4,2022-01-26T00:13:09Z,180000,239.0,16.0,1,left,MISS T. Rozier 3PT - blocked,"[1626179, 1628449]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,Missed,,23.95,,,,,Boucher,1628449.0,,,,,,,
41,PT10M19.00S,2022-01-26T00:13:03.3Z,1,REGULAR,block,,[],1628449,,,1610612766,4,4,2022-01-26T00:15:49Z,185000,,,0,,C. Boucher BLOCK (1 BLK),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M15.00S,2022-01-26T00:13:07.3Z,1,REGULAR,rebound,offensive,[],1626179,,,1610612766,4,4,2022-01-26T00:13:09Z,190000,,,0,,T. Rozier REBOUND (Off:1 Def:0),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,18.0,1.0,0.0,1.0,,,
20,PT10M14.00S,2022-01-26T00:13:07.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626179,7.046649145860711,47.30392156862745,1610612766,4,6,2022-01-26T00:13:14Z,200000,13.0,14.0,1,left,T. Rozier putback Layup (2 PTS),[1626179],1610612766.0,CHA,putback,,,Rozier,T. Rozier,,,,,,,,,,Made,2.0,1.92,,,,,,,,,,,,,
21,PT10M01.00S,2022-01-26T00:13:20.3Z,1,REGULAR,3pt,Jump Shot,[],1629018,66.70499342969777,51.225490196078425,1610612761,4,6,2022-01-26T00:13:27Z,210000,6.0,260.0,1,right,MISS G. Trent Jr. 26' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,Missed,,26.06,,,,,,,,,,,,,
22,PT09M57.00S,2022-01-26T00:13:24.3Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612761,4,6,2022-01-26T00:20:54Z,220000,,,0,,P. Achiuwa REBOUND (Off:1 Def:0),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,21.0,1.0,0.0,1.0,,,
23,PT09M57.00S,2022-01-26T00:13:24.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630173,94.40999984741211,50.0,1610612761,4,6,2022-01-26T00:21:32Z,230000,0.0,0.0,1,right,MISS P. Achiuwa tip Layup,[1630173],1610612761.0,TOR,tip,,,Achiuwa,P. Achiuwa,,,,,,,,,,Missed,,0.0,,,,,,,,,,,,,
24,PT09M55.00S,2022-01-26T00:13:26.7Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612761,4,6,2022-01-26T00:20:01Z,240000,,,0,,P. Achiuwa REBOUND (Off:2 Def:0),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,23.0,2.0,0.0,2.0,,,
25,PT09M49.00S,2022-01-26T00:13:33.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627783,92.59198423127464,56.127450980392155,1610612761,6,6,2022-01-26T00:13:40Z,250000,31.0,17.0,1,right,P. Siakam driving Layup (4 PTS),[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,,,,,,Made,4.0,3.51,,,,,,,,,,,,,
