actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-05T23:40:11.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-05T23:40:11Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-05T23:40:13.6Z,1,REGULAR,jumpball,recovered,[],1629012,,,1610612739,0,0,2021-11-05T23:40:13Z,40000,,,0,,Jump Ball J. Allen vs. P. Achiuwa: Tip to C. Sexton,"[1629012, 1628386, 1630173]",1610612739.0,CLE,startperiod,C. Sexton,1629012.0,Sexton,C. Sexton,Allen,1628386.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-11-05T23:40:26.0Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,0,0,2021-11-05T23:40:38Z,70000,,,0,,D. Garland bad pass out-of-bounds TURNOVER (1 TO),[1629636],1610612739.0,CLE,bad pass,,,Garland,D. Garland,,,,,1628954.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2021-11-05T23:40:47.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629018,71.82982917214193,23.774509803921568,1610612761,3,0,2021-11-05T23:41:03Z,80000,-131.0,212.0,1,right,G. Trent Jr. 24' 3PT step back (3 PTS),[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,,,24.95,Made,3.0,,,,,,,,,,,,,,,,
9,PT11M11.00S,2021-11-05T23:41:04.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,16.376478318002626,43.13725490196079,1610612739,3,0,2021-11-05T23:41:13Z,90000,34.0,101.0,1,left,MISS C. Sexton 10' driving floating Shot,[1629012],1610612739.0,CLE,driving floating,,,Sexton,C. Sexton,,,,,,,10.7,Missed,,,,,,,,,,,,,,,,,
10,PT11M09.00S,2021-11-05T23:41:06.1Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,3,0,2021-11-05T23:41:13Z,100000,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT10M59.00S,2021-11-05T23:41:16.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630173,87.59855453350855,52.20588235294118,1610612761,5,0,2021-11-05T23:41:23Z,110000,11.0,64.0,1,right,P. Achiuwa 6' turnaround Jump Shot (2 PTS) (F. VanVleet 1 AST),"[1630173, 1627832]",1610612761.0,TOR,turnaround,,,Achiuwa,P. Achiuwa,,,,,,,6.5,Made,2.0,,,,,F. VanVleet,1627832.0,1.0,,,,,,,,,
13,PT10M43.00S,2021-11-05T23:41:32.8Z,1,REGULAR,turnover,out-of-bounds,[],1630596,,,1610612739,5,0,2021-11-05T23:41:53Z,130000,,,0,,E. Mobley lost ball out-of-bounds TURNOVER (1 TO),[1630596],1610612739.0,CLE,lost ball,,,Mobley,E. Mobley,,,,,1628954.0,1.0,,,,,,,,,,,,,,,,,,,
14,PT10M31.00S,2021-11-05T23:41:53.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628384,82.47371879106439,50.245098039215684,1610612761,5,0,2021-11-06T01:08:48Z,140000,1.0,112.0,1,right,MISS O. Anunoby 11' turnaround fadeaway Shot,[1628384],1610612761.0,TOR,turnaround fadeaway,,,Anunoby,O. Anunoby,,,,,,,11.22,Missed,,,,,,,,,,,,,,,,,
16,PT10M28.00S,2021-11-05T23:41:56.0Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,5,0,2021-11-05T23:42:01Z,160000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
