actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-12T00:40:28.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-12T00:40:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-12T00:40:30.6Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2022-01-12T00:40:30Z,40000,,,0,,Jump Ball D. Ayton vs. K. Birch: Tip to C. Paul,"[101108, 1629028, 203920]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Birch,203920.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-01-12T00:40:44.6Z,1,REGULAR,turnover,bad pass,[],203109,,,1610612756,0,0,2022-01-12T00:40:51Z,70000,,,0,,J. Crowder bad pass TURNOVER (1 TO),"[203109, 1629139]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,1.0,Watanabe,1629139.0,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-01-12T00:40:44.6Z,1,REGULAR,steal,,[],1629139,,,1610612761,0,0,2022-01-12T00:40:46Z,80000,,,0,,Y. Watanabe STEAL (1 STL),[1629139],1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-01-12T00:40:49.5Z,1,REGULAR,turnover,out-of-bounds,[],1627783,,,1610612761,0,0,2022-01-12T00:40:57Z,90000,,,0,,P. Siakam lost ball out-of-bounds TURNOVER (1 TO),[1627783],1610612761.0,TOR,lost ball,,,Siakam,P. Siakam,,,,,1.0,,,1179.0,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2022-01-12T00:41:12.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203109,81.15965834428384,92.40196078431373,1610612756,0,3,2022-01-12T00:41:18Z,100000,212.0,125.0,1,right,J. Crowder 24' 3PT  (3 PTS) (D. Booker 1 AST),"[203109, 1626164]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,24.59,Made,3.0,D. Booker,1626164.0,1.0,,,,,,,,,,,
12,PT10M58.00S,2022-01-12T00:41:43.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612761,0,3,2022-01-12T00:41:53Z,120000,,,0,,TOR shot clock Team TURNOVER,[],1610612761.0,TOR,,,,,,,,,,,,,1627519.0,,,,,,,,,,,,,,,,,
13,PT10M48.00S,2022-01-12T00:42:02.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,68.67608409986859,32.84313725490196,1610612756,0,3,2022-01-12T00:42:06Z,130000,-86.0,242.0,1,right,MISS D. Booker 25' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,,,,,25.67,Missed,,,,,,,,,,,,,,,
14,PT10M46.00S,2022-01-12T00:42:04.3Z,1,REGULAR,rebound,defensive,[],203920,,,1610612761,0,3,2022-01-12T00:42:06Z,140000,,,0,,K. Birch REBOUND (Off:0 Def:1),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M30.00S,2022-01-12T00:42:20.8Z,1,REGULAR,turnover,bad pass,[],1629139,,,1610612761,0,3,2022-01-12T00:42:25Z,150000,,,0,,Y. Watanabe bad pass TURNOVER (1 TO),"[1629139, 1626164]",1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,1.0,Booker,1626164.0,,,,,,,,,,,,,,,,,,
16,PT10M30.00S,2022-01-12T00:42:20.8Z,1,REGULAR,steal,,[],1626164,,,1610612756,0,3,2022-01-12T00:42:22Z,160000,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M29.00S,2022-01-12T00:42:24.7Z,1,REGULAR,foul,personal,['2freethrow'],1627832,,,1610612756,0,3,2022-01-12T00:44:04Z,170000,,,0,,F. VanVleet clear-path personal FOUL (1 PF) (Booker 2 FT),"[1627832, 1626164]",1610612761.0,TOR,clear-path,,,VanVleet,F. VanVleet,,,,,,,,1179.0,,,,,,,,,,,1.0,0.0,Booker,1626164.0,,,
19,PT10M29.00S,2022-01-12T00:42:41.8Z,1,REGULAR,instantreplay,request,[],0,,,1610612756,0,3,2022-01-12T00:43:44Z,190000,,,0,,,[],,,support,,,,,,,,,,,,1179.0,,,,,,,,,,,,,,,Clear Path - Supported Call,,
20,PT10M29.00S,2022-01-12T00:44:09.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1626164,,,1610612756,0,3,2022-01-12T00:44:09Z,200000,,,0,,MISS D. Booker clear-path Free Throw 1 of 2,[1626164],1610612756.0,PHX,clear-path,,,Booker,D. Booker,,,,,,,,,,Missed,,,,,,,,,,,,,,,
21,PT10M29.00S,2022-01-12T00:44:09.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,0,3,2022-01-12T00:44:09Z,210000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
22,PT10M29.00S,2022-01-12T00:44:10.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1626164,,,1610612756,0,4,2022-01-12T00:44:10Z,220000,,,0,,D. Booker clear-path Free Throw 2 of 2 (1 PTS),[1626164],1610612756.0,PHX,clear-path,,,Booker,D. Booker,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
23,PT10M15.00S,2022-01-12T00:44:34.3Z,1,REGULAR,turnover,lost ball,[],1629028,,,1610612756,0,4,2022-01-12T00:44:40Z,230000,,,0,,D. Ayton lost ball TURNOVER (1 TO),"[1629028, 1627832]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,1.0,VanVleet,1627832.0,,,,,,,,,,,,,,,,,,
24,PT10M15.00S,2022-01-12T00:44:34.3Z,1,REGULAR,steal,,[],1627832,,,1610612761,0,4,2022-01-12T00:45:11Z,240000,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M01.00S,2022-01-12T00:44:49.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203920,7.440867279894875,44.11764705882353,1610612761,2,4,2022-01-12T00:44:54Z,250000,29.0,17.0,1,left,K. Birch Layup (2 PTS) (P. Siakam 1 AST),"[203920, 1627783]",1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,3.42,Made,2.0,P. Siakam,1627783.0,1.0,,,,,,,,,,,
27,PT09M51.00S,2022-01-12T00:44:57.8Z,1,REGULAR,2pt,Jump Shot,[],1626164,92.9862023653088,82.1078431372549,1610612756,2,4,2022-01-12T00:45:02Z,270000,161.0,13.0,1,right,MISS D. Booker 16' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,,,,,16.11,Missed,,,,,,,,,,,,,,,
28,PT09M49.00S,2022-01-12T00:44:59.8Z,1,REGULAR,rebound,defensive,[],203920,,,1610612761,2,4,2022-01-12T00:45:02Z,280000,,,0,,K. Birch REBOUND (Off:0 Def:2),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,
29,PT09M42.00S,2022-01-12T00:45:07.4Z,1,REGULAR,2pt,Jump Shot,[],1627832,24.52365308804205,45.83333333333333,1610612761,2,4,2022-01-12T00:45:13Z,290000,21.0,178.0,1,left,MISS F. VanVleet 17' pullup Shot,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,,,,,17.92,Missed,,,,,,,,,,,,,,,
30,PT09M38.00S,2022-01-12T00:45:11.5Z,1,REGULAR,rebound,offensive,[],203920,,,1610612761,2,4,2022-01-12T00:45:11Z,300000,,,0,,K. Birch REBOUND (Off:1 Def:2),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,29.0,3.0,2.0,1.0,,,,,,,
31,PT09M36.00S,2022-01-12T00:45:13.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203920,12.302890932982917,49.754901960784316,1610612761,4,4,2022-01-12T00:45:17Z,310000,1.0,63.0,1,left,K. Birch 6' turnaround Jump Shot (4 PTS),[203920],1610612761.0,TOR,turnaround,,,Birch,K. Birch,,,,,,,,,6.31,Made,4.0,,,,,,,,,,,,,,
32,PT09M16.00S,2022-01-12T00:45:33.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,93.64323258869908,52.94117647058824,1610612756,4,6,2022-01-12T00:47:28Z,320000,15.0,7.0,1,right,D. Ayton cutting Layup (2 PTS) (C. Paul 1 AST),"[1629028, 101108]",1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,,,,,1.64,Made,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,
34,PT09M03.00S,2022-01-12T00:45:46.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,17.16491458607096,46.07843137254902,1610612761,6,6,2022-01-12T00:45:53Z,340000,20.0,109.0,1,left,P. Siakam 11' fadeaway Jump Shot (2 PTS),[1627783],1610612761.0,TOR,fadeaway,,,Siakam,P. Siakam,,,,,,,,,11.06,Made,2.0,,,,,,,,,,,,,,
35,PT08M47.00S,2022-01-12T00:46:02.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,83.78777923784494,42.40196078431372,1610612756,6,8,2022-01-12T00:46:09Z,350000,-38.0,100.0,1,right,M. Bridges 10' fadeaway Jump Shot (2 PTS),[1628969],1610612756.0,PHX,fadeaway,,,Bridges,M. Bridges,,,,,,,,,10.69,Made,2.0,,,,,,,,,,,,,,
