actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-23T23:10:02.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-23T23:10:02Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-23T23:10:05.5Z,1,REGULAR,jumpball,recovered,[],1629014,,,1610612757,0,0,2022-01-23T23:10:05Z,40000,,,0,,Jump Ball J. Nurkic vs. S. Barnes: Tip to A. Simons,"[1629014, 203994, 1630567]",1610612757.0,POR,startperiod,A. Simons,1629014.0,Simons,A. Simons,Nurkic,203994.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-01-23T23:10:15.1Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612757,0,0,2022-01-23T23:10:20Z,70000,,,0,,J. Nurkic bad pass TURNOVER (1 TO),"[203994, 1628384]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,1.0,Anunoby,1628384.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2022-01-23T23:10:15.1Z,1,REGULAR,steal,,[],1628384,,,1610612761,0,0,2022-01-23T23:10:17Z,80000,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2022-01-23T23:10:19.0Z,1,REGULAR,turnover,lost ball,[],1629018,,,1610612761,0,0,2022-01-23T23:10:23Z,90000,,,0,,G. Trent Jr. lost ball TURNOVER (1 TO),"[1629018, 1629014]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,1.0,Simons,1629014.0,,,,,,,,,,,,,,,,,
10,PT11M43.00S,2022-01-23T23:10:19.0Z,1,REGULAR,steal,,[],1629014,,,1610612757,0,0,2022-01-23T23:10:21Z,100000,,,0,,A. Simons STEAL (1 STL),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M41.00S,2022-01-23T23:10:28.3Z,1,REGULAR,turnover,out-of-bounds,[],203994,,,1610612757,0,0,2022-01-23T23:10:37Z,110000,,,0,,J. Nurkic lost ball out-of-bounds TURNOVER (2 TO),[203994],1610612757.0,POR,lost ball,,,Nurkic,J. Nurkic,,,,,2.0,,,201638.0,,,,,,,,,,,,,,,,
12,PT11M30.00S,2022-01-23T23:10:47.3Z,1,REGULAR,turnover,lost ball,[],1627832,,,1610612761,0,0,2022-01-23T23:10:50Z,120000,,,0,,F. VanVleet lost ball TURNOVER (1 TO),"[1627832, 203468]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,1.0,McCollum,203468.0,,,,,,,,,,,,,,,,,
13,PT11M30.00S,2022-01-23T23:10:47.3Z,1,REGULAR,steal,,[],203468,,,1610612757,0,0,2022-01-23T23:10:49Z,130000,,,0,,C. McCollum STEAL (1 STL),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M26.00S,2022-01-23T23:10:51.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629642,7.046649145860711,48.28431372549019,1610612757,0,2,2022-01-23T23:10:58Z,140000,9.0,14.0,1,left,N. Little running DUNK (2 PTS) (C. McCollum 1 AST),"[1629642, 203468]",1610612757.0,POR,running,,,Little,N. Little,,,,,,,,,1.62,Made,2.0,C. McCollum,203468.0,1.0,,,,,,,,,,
