actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-12-14T00:10:27.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-14T00:10:27Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-14T00:10:30.7Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612758,0,0,2021-12-14T00:10:30Z,40000,,,0,,Jump Ball A. Len vs. C. Boucher: Tip to D. Fox,"[1628368, 203458, 1628449]",1610612758.0,SAC,startperiod,D. Fox,1628368.0,Fox,D. Fox,Len,203458.0,Boucher,1628449.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-12-14T00:10:46.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203458,14.4053876478318,46.81372549019608,1610612758,0,0,2021-12-14T00:11:10Z,70000,16.0,83.0,1,left,MISS A. Len 8' floating Shot,[203458],1610612758.0,SAC,floating,,,Len,A. Len,,,,,8.44,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-12-14T00:10:48.0Z,1,REGULAR,rebound,offensive,[],203458,,,1610612758,0,0,2021-12-14T00:14:06Z,80000,,,0,,A. Len REBOUND (Off:1 Def:0),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2021-12-14T00:10:54.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628368,31.35676741130092,24.509803921568626,1610612758,0,0,2021-12-14T00:11:00Z,90000,127.0,242.0,1,left,MISS D. Fox 27' pullup 3PT,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,27.38,Missed,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2021-12-14T00:10:57.5Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,0,0,2021-12-14T00:11:00Z,100000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M21.00S,2021-12-14T00:11:05.5Z,1,REGULAR,3pt,Jump Shot,[],1628449,67.62483574244416,44.36274509803921,1610612761,0,0,2021-12-14T00:11:11Z,110000,-28.0,252.0,1,right,MISS C. Boucher 25' 3PT,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,25.34,Missed,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2021-12-14T00:11:06.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,0,0,2021-12-14T00:11:11Z,120000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2021-12-14T00:11:10.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,0,0,2021-12-14T00:11:10Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2021-12-14T00:11:25.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203458,10.068988173455978,40.931372549019606,1610612758,0,0,2021-12-14T00:11:29Z,140000,45.0,42.0,1,left,MISS A. Len 6' cutting Layup - blocked,"[203458, 1630567]",1610612758.0,SAC,cutting,,,Len,A. Len,,,,,6.18,Missed,,,,,Barnes,1630567.0,,,,,,,,,,,,
