actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-01T20:11:00.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-01T20:11:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-01T20:11:02.5Z,1,REGULAR,jumpball,recovered,[],1626157,,,1610612750,0,0,2024-01-01T20:11:02Z,40000,False,,,0,,Jump Ball R. Gobert vs. I. Hartenstein: Tip to K. Towns,"[1626157, 203497, 1628392]",1610612750.0,MIN,startperiod,K. Towns,1626157.0,Towns,K. Towns,Gobert,203497.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-01-01T20:11:18.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,6.258212877792378,52.69607843137255,1610612750,0,2,2024-01-01T20:11:34Z,70000,False,-13.0,6.0,1,left,K. Towns turnaround Hook (2 PTS),[1626157],1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,1.49,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2024-01-01T20:11:38.6Z,1,REGULAR,3pt,Jump Shot,[],203944,95.48291721419186,95.83333333333334,1610612752,3,2,2024-01-01T20:11:42Z,90000,False,229.0,-10.0,1,right,J. Randle 3PT  (3 PTS) (I. Hartenstein 1 AST),"[203944, 1628392]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Right Corner 3,24+ Right,22.94,Made,3.0,I. Hartenstein,1628392.0,1.0,,,,,,,,,,,,,,
11,PT11M04.00S,2024-01-01T20:11:55.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,11.383048620236531,44.6078431372549,1610612750,3,4,2024-01-01T20:12:01Z,110000,False,27.0,55.0,1,left,K. Towns 6' driving Hook (4 PTS) (M. Conley 1 AST),"[1626157, 201144]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,6.08,Made,4.0,M. Conley,201144.0,1.0,,,,,,,,,,,,,,
12,PT10M38.00S,2024-01-01T20:12:21.5Z,1,REGULAR,3pt,Jump Shot,[],1628973,67.23061760840999,51.470588235294116,1610612752,3,4,2024-01-01T20:13:54Z,120000,False,7.0,256.0,1,right,MISS J. Brunson 25' pullup 3PT,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,25.56,Missed,,,,,,,,,,,,,,,,,,
13,PT10M37.00S,2024-01-01T20:12:22.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,3,4,2024-01-01T20:12:27Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,12.0,,,,,,,,,,,,,
14,PT10M37.00S,2024-01-01T20:12:24.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612752,3,4,2024-01-01T20:12:30Z,140000,False,,,0,,NYK shot clock Team TURNOVER,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,2004.0,,,,,,,,,,,,
15,PT10M30.00S,2024-01-01T20:12:42.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201144,31.61957950065703,44.85294117647059,1610612750,3,4,2024-01-01T20:12:46Z,150000,False,26.0,245.0,1,left,MISS M. Conley 24' 3PT,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Center,24.6,Missed,,,,,,,,,,,,,,,,,,
16,PT10M28.00S,2024-01-01T20:12:44.0Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,3,4,2024-01-01T20:12:46Z,160000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Center,,,,,,,15.0,,1.0,1.0,0.0,,,,,,,,,
17,PT10M23.00S,2024-01-01T20:12:49.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628973,93.51182654402102,60.5392156862745,1610612752,3,4,2024-01-01T21:21:24Z,170000,False,53.0,8.0,1,right,MISS J. Brunson running Layup,[1628973],1610612752.0,NYK,running,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,5.34,Missed,,,,,,,,,,,,,,,,,,
18,PT10M21.00S,2024-01-01T20:12:51.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,3,4,2024-01-01T20:12:57Z,180000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,17.0,,1.0,1.0,0.0,,,,,,,,,
20,PT10M00.00S,2024-01-01T20:13:27.1Z,1,REGULAR,3pt,Jump Shot,[],1630183,6.389618922470433,2.941176470588235,1610612750,3,7,2024-01-01T20:13:30Z,200000,False,235.0,8.0,1,left,J. McDaniels 3PT  (3 PTS) (R. Gobert 1 AST),"[1630183, 203497]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,23.54,Made,3.0,R. Gobert,203497.0,1.0,,,,,,,,,,,,,,
22,PT09M41.00S,2024-01-01T20:13:45.9Z,1,REGULAR,3pt,Jump Shot,[],1628384,92.85479632063075,3.9215686274509802,1610612752,6,7,2024-01-01T20:13:50Z,220000,False,-230.0,15.0,1,right,O. Anunoby 3PT  (3 PTS) (J. Brunson 1 AST),"[1628384, 1628973]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,23.09,Made,3.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,,
24,PT09M23.00S,2024-01-01T20:14:03.5Z,1,REGULAR,3pt,Jump Shot,[],1630162,32.14520367936925,43.38235294117647,1610612750,6,10,2024-01-01T20:14:08Z,240000,False,33.0,250.0,1,left,A. Edwards 25' 3PT  (3 PTS) (K. Towns 1 AST),"[1630162, 1626157]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,25.19,Made,3.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,
26,PT09M00.00S,2024-01-01T20:14:27.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,87.33574244415243,43.627450980392155,1610612752,6,10,2024-01-01T20:14:38Z,260000,False,-32.0,67.0,1,right,MISS I. Hartenstein 7' floating Shot,[1628392],1610612752.0,NYK,floating,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,7.38,Missed,,,,,,,,,,,,,,,,,,
27,PT08M58.00S,2024-01-01T20:14:29.1Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,6,10,2024-01-01T20:14:38Z,270000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,26.0,,1.0,1.0,0.0,,,,,,,,,
28,PT08M49.00S,2024-01-01T20:14:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,5.863994743758213,50.0,1610612750,6,12,2024-01-01T20:14:41Z,280000,False,0.0,3.0,1,left,A. Edwards driving Layup (5 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,0.26,Made,5.0,,,,,,,,,,,,,,,,,
