actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-10T00:42:34.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-10T00:42:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2024-01-10T00:42:40.0Z,1,REGULAR,jumpball,recovered,[],1630703,,,1610612757,0,0,2024-01-10T00:42:40Z,40000,False,,,0,,Jump Ball D. Reath vs. I. Hartenstein: Tip to S. Henderson,"[1630703, 1641871, 1628392]",1610612757.0,POR,startperiod,S. Henderson,1630703.0,Henderson,S. Henderson,Reath,1641871.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-01-10T00:42:48.1Z,1,REGULAR,turnover,bad pass,[],1630703,,,1610612757,0,0,2024-01-10T00:42:53Z,70000,False,,,0,,S. Henderson bad pass TURNOVER (1 TO),"[1630703, 1628978]",1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Mid-Range,16-24 Left Center,1.0,DiVincenzo,1628978.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2024-01-10T00:42:48.1Z,1,REGULAR,steal,,[],1628978,,,1610612752,0,0,2024-01-10T00:42:51Z,80000,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2024-01-10T00:42:51.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628978,95.48291721419186,50.98039215686274,1610612752,2,0,2024-01-10T00:42:58Z,90000,False,5.0,-10.0,1,right,D. DiVincenzo running DUNK (2 PTS),[1628978],1610612752.0,NYK,running,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,,,,1.11,Made,2.0,,,,,,,,,,,,,,
10,PT11M29.00S,2024-01-10T00:43:04.7Z,1,REGULAR,turnover,lost ball,[],1630703,,,1610612757,2,0,2024-01-10T00:43:08Z,100000,False,,,0,,S. Henderson lost ball TURNOVER (2 TO),"[1630703, 1628392]",1610612757.0,POR,,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),0-8 Center,2.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,
11,PT11M29.00S,2024-01-10T00:43:04.7Z,1,REGULAR,steal,,[],1628392,,,1610612752,2,0,2024-01-10T00:43:06Z,110000,False,,,0,,I. Hartenstein STEAL (1 STL),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2024-01-10T00:43:10.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628978,80.50262812089356,89.70588235294117,1610612752,2,0,2024-01-10T00:43:53Z,120000,False,199.0,131.0,1,right,MISS D. DiVincenzo running 3PT,[1628978],1610612752.0,NYK,running,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,,23.77,Missed,,,,,,,,,,,,,,,
13,PT11M22.00S,2024-01-10T00:43:12.1Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,2,0,2024-01-10T00:43:22Z,130000,False,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M02.00S,2024-01-10T00:43:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,5.075558475689881,47.549019607843135,1610612757,2,2,2024-01-10T00:43:35Z,140000,False,12.0,-5.0,1,left,J. Grant driving Layup (2 PTS),[203924],1610612757.0,POR,driving,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,,1.32,Made,2.0,,,,,,,,,,,,,,
