actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-12T23:42:36.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-12T23:42:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-04-12T23:42:38.3Z,1,REGULAR,jumpball,recovered,[],1630570,,,1610612751,0,0,2024-04-12T23:42:38Z,40000,False,,,0,,Jump Ball N. Claxton vs. J. Sims: Tip to T. Watford,"[1630570, 1629651, 1630579]",1610612751.0,BKN,startperiod,T. Watford,1630570.0,Watford,T. Watford,Claxton,1629651.0,Sims,1630579.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-04-12T23:42:58.0Z,1,REGULAR,3pt,Jump Shot,[],1628969,10.988830486202366,95.09803921568627,1610612751,0,0,2024-04-12T23:43:10Z,70000,False,-225.0,51.0,1,left,MISS M. Bridges 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,23.12,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-04-12T23:43:00.0Z,1,REGULAR,rebound,offensive,[],1641730,,,1610612751,0,0,2024-04-12T23:43:10Z,80000,False,,,0,,N. Clowney REBOUND (Off:1 Def:0),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Left Corner 3,24+ Left,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M35.00S,2024-04-12T23:43:05.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641730,5.590000152587891,50.0,1610612751,0,2,2024-04-12T23:43:17Z,90000,False,0.0,0.0,1,left,N. Clowney tip Layup (2 PTS),[1641730],1610612751.0,BKN,tip,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M22.00S,2024-04-12T23:43:14.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,93.64323258869908,46.568627450980394,1610612752,0,2,2024-04-12T23:43:23Z,100000,False,-17.0,7.0,1,right,MISS O. Anunoby driving Layup,[1628384],1610612752.0,NYK,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1.87,Missed,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2024-04-12T23:43:15.4Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612751,0,2,2024-04-12T23:43:23Z,110000,False,,,0,,T. Watford REBOUND (Off:0 Def:1),[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,Restricted Area,0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M12.00S,2024-04-12T23:43:24.2Z,1,REGULAR,3pt,Jump Shot,[],1641730,7.703679369250986,3.1862745098039214,1610612751,0,2,2024-04-12T23:43:29Z,120000,False,234.0,20.0,1,left,MISS N. Clowney 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Right Corner 3,24+ Right,23.49,Missed,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2024-04-12T23:43:26.2Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,0,2,2024-04-12T23:43:29Z,130000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Right Corner 3,24+ Right,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M57.00S,2024-04-12T23:43:38.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,79.84559789750328,65.68627450980392,1610612752,0,2,2024-04-12T23:43:45Z,140000,False,78.0,137.0,1,right,MISS J. Brunson 15' step back Shot,[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Right,15.78,Missed,,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2024-04-12T23:43:40.9Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,0,2,2024-04-12T23:43:45Z,150000,False,,,0,,N. Clowney REBOUND (Off:1 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),8-16 Right,,,14.0,2.0,1.0,1.0,,,,,,,,,,,,,,
16,PT10M49.00S,2024-04-12T23:43:49.3Z,1,REGULAR,foul,personal,[],1628404,,,1610612751,0,2,2024-04-12T23:43:58Z,160000,False,,,0,,J. Hart personal FOUL (1 PF),"[1628404, 1629651]",1610612752.0,NYK,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627961.0,1.0,0.0,Claxton,1629651.0,,,,,,,,
18,PT10M40.00S,2024-04-12T23:44:19.7Z,1,REGULAR,2pt,Jump Shot,[],1630560,9.017739816031538,12.990196078431374,1610612751,0,2,2024-04-12T23:44:45Z,180000,False,185.0,32.0,1,left,MISS C. Thomas 18' pullup Shot,[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Right,18.78,Missed,,,,,,,,,,,,,,,,,,
19,PT10M38.00S,2024-04-12T23:44:21.7Z,1,REGULAR,rebound,offensive,[],1641730,,,1610612751,0,2,2024-04-12T23:44:25Z,190000,False,,,0,,N. Clowney REBOUND (Off:2 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Mid-Range,16-24 Right,,,18.0,3.0,1.0,2.0,,,,,,,,,,,,,,
20,PT10M35.00S,2024-04-12T23:44:25.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630570,27.414586070959263,78.67647058823529,1610612751,0,5,2024-04-12T23:44:29Z,200000,False,-143.0,205.0,1,left,T. Watford 25' 3PT  (3 PTS) (N. Claxton 1 AST),"[1630570, 1629651]",1610612751.0,BKN,,,,Watford,T. Watford,,,,,Above the Break 3,24+ Left Center,25.03,Made,,,,,3.0,,,,,,N. Claxton,1629651.0,1.0,,,,,
22,PT10M15.00S,2024-04-12T23:44:46.4Z,1,REGULAR,turnover,out-of-bounds,[],1628978,,,1610612752,0,5,2024-04-12T23:44:51Z,220000,False,,,0,,D. DiVincenzo lost ball out-of-bounds TURNOVER (1 TO),[1628978],1610612752.0,NYK,lost ball,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,16-24 Right,,,,,,,,101283.0,,,,,,,,1.0,,,,
23,PT09M50.00S,2024-04-12T23:45:17.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630570,11.251642575558476,41.42156862745098,1610612751,0,7,2024-04-12T23:45:23Z,230000,False,43.0,53.0,1,left,T. Watford 6' driving floating Jump Shot (5 PTS) (N. Claxton 2 AST),"[1630570, 1629651]",1610612751.0,BKN,driving floating,,,Watford,T. Watford,,,,,In The Paint (Non-RA),0-8 Center,6.84,Made,,,,,5.0,,,,,,N. Claxton,1629651.0,2.0,,,,,
25,PT09M37.00S,2024-04-12T23:45:30.8Z,1,REGULAR,3pt,Jump Shot,[],1628973,75.50919842312747,85.29411764705883,1610612752,0,7,2024-04-12T23:45:37Z,250000,False,176.0,178.0,1,right,MISS J. Brunson 25' 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,25.05,Missed,,,,,,,,,,,,,,,,,,
