actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-19T00:41:38.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-19T00:41:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2024-01-19T00:41:45.0Z,1,REGULAR,jumpball,recovered,[],1629673,,,1610612764,0,0,2024-01-19T00:41:45Z,40000,False,,,0,,Jump Ball M. Bagley III vs. I. Hartenstein: Tip to J. Poole,"[1629673, 1628963, 1628392]",1610612764.0,WAS,startperiod,J. Poole,1629673.0,Poole,J. Poole,Bagley III,1628963.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-01-19T00:42:00.0Z,1,REGULAR,foul,personal,['2freethrow'],1628978,,,1610612764,0,0,2024-01-19T00:42:12Z,70000,False,,,0,,D. DiVincenzo shooting personal FOUL (1 PF) (Avdija 2 FT),"[1628978, 1630166]",1610612752.0,NYK,shooting,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,8-16 Right,1179.0,1.0,0.0,Avdija,1630166.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2024-01-19T00:42:23.0Z,1,REGULAR,freethrow,1 of 2,[],1630166,,,1610612764,0,1,2024-01-19T00:42:23Z,90000,False,,,0,,D. Avdija Free Throw 1 of 2 (1 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M40.00S,2024-01-19T00:42:36.3Z,1,REGULAR,freethrow,2 of 2,[],1630166,,,1610612764,0,2,2024-01-19T00:42:36Z,100000,False,,,0,,D. Avdija Free Throw 2 of 2 (2 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M24.00S,2024-01-19T00:42:54.4Z,1,REGULAR,2pt,Jump Shot,[],1628973,18.610381077529567,23.284313725490197,1610612752,0,2,2024-01-19T00:43:15Z,110000,False,134.0,122.0,1,left,MISS J. Brunson 18' step back Shot,[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Right Center,,,,,,Missed,,18.12,,,,,,,,,,,,
12,PT11M22.00S,2024-01-19T00:42:56.4Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612764,0,2,2024-01-19T00:43:15Z,120000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Mid-Range,16-24 Right Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M12.00S,2024-01-19T00:43:06.6Z,1,REGULAR,3pt,Jump Shot,[],1628398,73.66951379763469,15.441176470588236,1610612764,0,2,2024-01-19T00:43:19Z,130000,False,-173.0,195.0,1,right,MISS K. Kuzma 26' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,26.05,,,,,,,,,,,,
14,PT11M10.00S,2024-01-19T00:43:08.6Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,0,2,2024-01-19T00:43:19Z,140000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Left Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT11M02.00S,2024-01-19T00:43:16.3Z,1,REGULAR,3pt,Jump Shot,[],1628978,22.158344283837057,7.352941176470589,1610612752,0,2,2024-01-19T00:43:23Z,150000,False,213.0,156.0,1,left,MISS D. DiVincenzo 26' 3PT,[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,26.41,,,,,,,,,,,,
