actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-26T00:41:53.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-26T00:41:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-26T00:41:56.5Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2024-01-26T00:41:56Z,40000,False,,,0,,Jump Ball N. Jokic vs. J. Sims: Tip to A. Gordon,"[203932, 203999, 1630579]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Sims,1630579.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-01-26T00:42:09.7Z,1,REGULAR,turnover,out-of-bounds,[],1627750,,,1610612743,0,0,2024-01-26T00:42:14Z,70000,False,,,0,,J. Murray bad pass out-of-bounds TURNOVER (1 TO),[1627750],1610612743.0,DEN,bad pass,,,Murray,J. Murray,,,,,Mid-Range,16-24 Right Center,101283.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2024-01-26T00:42:30.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628384,82.21090670170827,94.36274509803921,1610612752,3,0,2024-01-26T00:42:33Z,80000,False,222.0,115.0,1,right,O. Anunoby 24' 3PT  (3 PTS) (D. DiVincenzo 1 AST),"[1628384, 1628978]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,,,24.97,Made,3.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,,,
10,PT11M03.00S,2024-01-26T00:42:54.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,10.200394218134035,48.529411764705884,1610612743,3,0,2024-01-26T00:42:58Z,100000,False,7.0,43.0,1,left,MISS N. Jokic driving Layup,[203999],1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,4.4,Missed,,,,,,,,,,,,,,,,
11,PT10M59.00S,2024-01-26T00:42:57.8Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,3,0,2024-01-26T00:42:57Z,110000,False,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,
12,PT10M59.00S,2024-01-26T00:42:57.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203999,5.590000152587891,50.0,1610612743,3,2,2024-01-26T00:43:39Z,120000,False,0.0,0.0,1,left,N. Jokic tip Layup (2 PTS),[203999],1610612743.0,DEN,tip,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,0.0,Made,2.0,,,,,,,,,,,,,,,
13,PT10M43.00S,2024-01-26T00:43:14.3Z,1,REGULAR,3pt,Jump Shot,[],1628384,77.34888304862024,11.27450980392157,1610612752,3,2,2024-01-26T00:43:17Z,130000,False,-194.0,160.0,1,right,MISS O. Anunoby 25' 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,25.14,Missed,,,,,,,,,,,,,,,,
14,PT10M41.00S,2024-01-26T00:43:16.3Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,3,2,2024-01-26T00:43:17Z,140000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M32.00S,2024-01-26T00:43:25.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203932,14.799605781865965,48.28431372549019,1610612743,3,2,2024-01-26T00:43:29Z,150000,False,9.0,87.0,1,left,MISS A. Gordon 8' fadeaway Shot,[203932],1610612743.0,DEN,fadeaway,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),8-16 Center,,,8.7,Missed,,,,,,,,,,,,,,,,
16,PT10M29.00S,2024-01-26T00:43:28.8Z,1,REGULAR,rebound,offensive,[],1629008,,,1610612743,3,2,2024-01-26T00:43:29Z,160000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:0),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,
17,PT10M28.00S,2024-01-26T00:43:29.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629008,6.915243101182654,50.0,1610612743,3,2,2024-01-26T00:44:20Z,170000,False,0.0,13.0,1,left,MISS M. Porter Jr. putback Layup,[1629008],1610612743.0,DEN,putback,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,1.25,Missed,,,,,,,,,,,,,,,,
18,PT10M25.00S,2024-01-26T00:43:32.0Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612752,3,2,2024-01-26T00:43:32Z,180000,False,,,0,,J. Sims REBOUND (Off:0 Def:1),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
