actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-04T01:41:18.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-04T01:41:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-02-04T01:41:20.0Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2024-02-04T01:41:20Z,40000,False,,,0,,Jump Ball A. Davis vs. I. Hartenstein: Tip to L. James,"[2544, 203076, 1628392]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-02-04T01:41:32.4Z,1,REGULAR,2pt,Jump Shot,[],1629060,20.71287779237845,50.0,1610612747,0,2,2024-02-04T01:41:37Z,70000,False,0.0,142.0,1,left,R. Hachimura 14' Jump Shot (2 PTS) (D. Russell 1 AST),"[1629060, 1626156]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Mid-Range,8-16 Center,14.22,Made,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-02-04T01:41:51.3Z,1,REGULAR,3pt,Jump Shot,[],1630173,94.1688567674113,3.1862745098039214,1610612752,0,2,2024-02-04T01:41:59Z,90000,False,-234.0,2.0,1,right,MISS P. Achiuwa 3PT,[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Left Corner 3,24+ Left,23.41,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2024-02-04T01:41:53.3Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612752,0,2,2024-02-04T01:41:59Z,100000,False,,,0,,J. Hart REBOUND (Off:1 Def:0),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Left Corner 3,24+ Left,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M21.00S,2024-02-04T01:41:56.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628973,69.46452036793693,27.941176470588236,1610612752,0,2,2024-02-04T01:42:03Z,110000,False,-110.0,235.0,1,right,MISS J. Brunson 25' 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,25.91,Missed,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2024-02-04T01:41:58.1Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,2,2024-02-04T01:42:03Z,120000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M08.00S,2024-02-04T01:42:09.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,7.046649145860711,59.80392156862745,1610612747,0,2,2024-02-04T01:42:17Z,130000,False,-49.0,14.0,1,left,MISS L. James fadeaway Shot,[2544],1610612747.0,LAL,fadeaway,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,5.09,Missed,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2024-02-04T01:42:11.1Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,0,2,2024-02-04T01:42:17Z,140000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M57.00S,2024-02-04T01:42:20.3Z,1,REGULAR,3pt,Jump Shot,[],1628404,76.69185282522996,12.009803921568627,1610612752,0,2,2024-02-04T01:42:26Z,150000,False,-190.0,167.0,1,right,MISS J. Hart 25' 3PT,[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Left Center,25.27,Missed,,,,,,,,,,,,,,,,,,
