actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-12T17:11:26.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-12T17:11:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-12T17:11:28.8Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2023-11-12T17:11:28Z,40000,False,,,0,,Jump Ball M. Robinson vs. M. Williams: Tip to J. Brunson,"[1628973, 1629011, 1631109]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Robinson,1629011.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2023-11-12T17:11:49.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,17.16491458607096,51.71568627450981,1610612752,2,0,2023-11-12T17:11:54Z,70000,False,-9.0,109.0,1,left,J. Randle 10' fadeaway Jump Shot (2 PTS),[203944],1610612752.0,NYK,fadeaway,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,10.92,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2023-11-12T17:12:00.2Z,1,REGULAR,turnover,bad pass,[],202330,,,1610612766,2,0,2023-11-12T17:12:05Z,80000,False,,,0,,G. Hayward bad pass TURNOVER (1 TO),"[202330, 203944]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Left Center,,,,1.0,Randle,203944.0,,,,,,,,,,,,,,
9,PT11M25.00S,2023-11-12T17:12:00.2Z,1,REGULAR,steal,,[],203944,,,1610612752,2,0,2023-11-12T17:12:01Z,90000,False,,,0,,J. Randle STEAL (1 STL),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2023-11-12T17:12:04.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203944,24.392247043363994,13.23529411764706,1610612752,5,0,2023-11-12T17:12:12Z,100000,False,184.0,177.0,1,left,J. Randle 25' 3PT running pullup (5 PTS),[203944],1610612752.0,NYK,running pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,25.5,Made,5.0,,,,,,,,,,,,,,,,,
11,PT10M59.00S,2023-11-12T17:12:26.2Z,1,REGULAR,turnover,bad pass,[],202330,,,1610612766,5,0,2023-11-12T17:12:29Z,110000,False,,,0,,G. Hayward bad pass TURNOVER (2 TO),"[202330, 1629656]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Right Center,,,,2.0,Grimes,1629656.0,,,,,,,,,,,,,,
12,PT10M59.00S,2023-11-12T17:12:26.2Z,1,REGULAR,steal,,[],1629656,,,1610612752,5,0,2023-11-12T17:12:28Z,120000,False,,,0,,Q. Grimes STEAL (1 STL),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2023-11-12T17:12:31.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629628,4.944152431011826,49.50980392156863,1610612752,5,0,2023-11-12T17:12:36Z,130000,False,2.0,-6.0,1,left,MISS R. Barrett running Layup,[1629628],1610612752.0,NYK,running,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,0.65,Missed,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2023-11-12T17:12:31.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,5,0,2023-11-12T17:12:36Z,140000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,13.0,,,,,,,,,,,,,
