actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-25T01:41:25.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-25T01:41:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-02-25T01:41:29.7Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2024-02-25T01:41:29Z,40000,False,,,0,,Jump Ball K. Porzingis vs. I. Hartenstein: Tip to D. White,"[1628401, 204001, 1628392]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porzingis,204001.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-02-25T01:41:44.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,28.991458607095925,22.30392156862745,1610612738,0,3,2024-02-25T01:41:49Z,70000,False,138.0,220.0,1,left,J. Brown 26' 3PT step back (3 PTS),[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,26.0,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2024-02-25T01:41:59.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,81.42247043363994,46.07843137254902,1610612752,2,3,2024-02-25T01:42:03Z,80000,False,-20.0,122.0,1,right,J. Brunson 12' pullup Jump Shot (2 PTS),[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,12.37,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M11.00S,2024-02-25T01:42:14.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204001,6.521024967148489,50.98039215686274,1610612738,2,3,2024-02-25T01:42:17Z,90000,False,-5.0,9.0,1,left,MISS K. Porzingis cutting Layup,[204001],1610612738.0,BOS,cutting,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,1.01,Missed,,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2024-02-25T01:42:17.4Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,2,3,2024-02-25T01:42:17Z,110000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M06.00S,2024-02-25T01:42:19.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628973,75.50919842312747,14.460784313725492,1610612752,5,3,2024-02-25T01:42:23Z,120000,False,-178.0,178.0,1,right,J. Brunson 25' 3PT running pullup (5 PTS) (J. Hart 1 AST),"[1628973, 1628404]",1610612752.0,NYK,running pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,25.13,Made,5.0,,,,,J. Hart,1628404.0,1.0,,,,,,,,,,
14,PT10M45.00S,2024-02-25T01:42:39.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,18.74178712220762,62.745098039215684,1610612738,5,5,2024-02-25T01:42:43Z,140000,False,-64.0,124.0,1,left,K. Porzingis 13' step back Jump Shot (2 PTS) (D. White 1 AST),"[204001, 1628401]",1610612738.0,BOS,step back,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),8-16 Center,13.91,Made,2.0,,,,,D. White,1628401.0,1.0,,,,,,,,,,
16,PT10M22.00S,2024-02-25T01:43:03.1Z,1,REGULAR,2pt,Jump Shot,[],1628973,76.82325886990802,42.40196078431372,1610612752,5,5,2024-02-25T01:43:06Z,160000,False,-38.0,165.0,1,right,MISS J. Brunson 16' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Center,16.97,Missed,,,,,,,,,,,,,,,,,,
17,PT10M20.00S,2024-02-25T01:43:05.1Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,5,5,2024-02-25T01:43:06Z,170000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Center,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M16.00S,2024-02-25T01:43:09.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201950,21.76412614980289,10.049019607843137,1610612738,5,5,2024-02-25T01:43:13Z,180000,False,200.0,152.0,1,left,MISS J. Holiday 25' running pullup 3PT,[201950],1610612738.0,BOS,running pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,25.11,Missed,,,,,,,,,,,,,,,,,,
19,PT10M12.00S,2024-02-25T01:43:13.6Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612752,5,5,2024-02-25T01:43:13Z,190000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Right Center,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT09M54.00S,2024-02-25T01:43:31.1Z,1,REGULAR,3pt,Jump Shot,[],1628978,76.82325886990802,11.76470588235294,1610612752,5,5,2024-02-25T01:43:35Z,200000,False,-191.0,165.0,1,right,MISS D. DiVincenzo 25' 3PT,[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,25.28,Missed,,,,,,,,,,,,,,,,,,
