actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-25T23:43:08.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-25T23:43:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-25T23:43:13.5Z,1,REGULAR,jumpball,recovered,[],1631204,,,1610612765,0,0,2024-03-25T23:43:13Z,40000,False,,,0,,Jump Ball J. Wiseman vs. I. Hartenstein: Tip to M. Sasser,"[1631204, 1630164, 1628392]",1610612765.0,DET,startperiod,M. Sasser,1631204.0,Sasser,M. Sasser,Wiseman,1630164.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2024-03-25T23:43:20.0Z,1,REGULAR,foul,offensive,[],1631204,,,1610612765,0,0,2024-03-25T23:43:33Z,70000,False,,,0,,M. Sasser offensive FOUL (1 PF),"[1631204, 1628392]",1610612765.0,DET,,,,Sasser,M. Sasser,,,,,Above the Break 3,24+ Left Center,1629178.0,1.0,0.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,
9,PT11M49.00S,2024-03-25T23:43:20.0Z,1,REGULAR,turnover,offensive foul,[],1631204,,,1610612765,0,0,2024-03-25T23:43:20Z,90000,False,,,0,,M. Sasser offensive foul TURNOVER (1 TO),[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,Above the Break 3,24+ Left Center,1629178.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M29.00S,2024-03-25T23:43:48.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628392,15.982260183968464,49.01960784313725,1610612752,2,0,2024-03-25T23:43:57Z,100000,False,5.0,98.0,1,left,I. Hartenstein 9' floating Jump Shot (2 PTS) (J. Hart 1 AST),"[1628392, 1628404]",1610612752.0,NYK,floating,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,9.78,Made,2.0,J. Hart,1628404.0,1.0,,,,,,,,
12,PT11M09.00S,2024-03-25T23:44:08.2Z,1,REGULAR,2pt,Jump Shot,[],1631093,79.45137976346912,48.28431372549019,1610612765,2,0,2024-03-25T23:44:11Z,120000,False,-9.0,141.0,1,right,MISS J. Ivey 14' pullup Shot,[1631093],1610612765.0,DET,pullup,,,Ivey,J. Ivey,,,,,Mid-Range,8-16 Center,,,,,,,14.1,Missed,,,,,,,,,,,,
13,PT11M07.00S,2024-03-25T23:44:10.2Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,2,0,2024-03-25T23:44:11Z,130000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,
14,PT11M00.00S,2024-03-25T23:44:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,4.28712220762155,49.754901960784316,1610612752,4,0,2024-03-25T23:44:26Z,140000,False,1.0,-12.0,1,left,J. Hart driving Layup (2 PTS) (I. Hartenstein 1 AST),"[1628404, 1628392]",1610612752.0,NYK,driving,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,1.23,Made,2.0,I. Hartenstein,1628392.0,1.0,,,,,,,,
17,PT10M33.00S,2024-03-25T23:45:05.6Z,1,REGULAR,3pt,Jump Shot,[],1631204,77.08607095926413,11.519607843137255,1610612765,4,3,2024-03-25T23:45:09Z,170000,False,-192.0,163.0,1,right,M. Sasser 25' 3PT step back (3 PTS),[1631204],1610612765.0,DET,step back,,,Sasser,M. Sasser,,,,,Above the Break 3,24+ Left Center,,,,,,,25.21,Made,3.0,,,,,,,,,,,
18,PT10M13.00S,2024-03-25T23:45:25.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628978,6.521024967148489,51.9607843137255,1610612752,6,3,2024-03-25T23:45:31Z,180000,False,-10.0,9.0,1,left,D. DiVincenzo reverse Layup (2 PTS) (I. Hartenstein 2 AST),"[1628978, 1628392]",1610612752.0,NYK,reverse,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,,,,,,,1.32,Made,2.0,I. Hartenstein,1628392.0,2.0,,,,,,,,
