actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-27T00:41:09.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-27T00:41:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-02-27T00:41:12.0Z,1,REGULAR,jumpball,recovered,[],1630595,,,1610612765,0,0,2024-02-27T00:41:12Z,40000,False,,,0,,Jump Ball J. Duren vs. I. Hartenstein: Tip to C. Cunningham,"[1630595, 1631105, 1628392]",1610612765.0,DET,startperiod,C. Cunningham,1630595.0,Cunningham,C. Cunningham,Duren,1631105.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-02-27T00:41:24.7Z,1,REGULAR,turnover,out-of-bounds,[],1631323,,,1610612765,0,0,2024-02-27T00:41:35Z,70000,False,,,0,,S. Fontecchio step out-of-bounds TURNOVER (1 TO),[1631323],1610612765.0,DET,step,,,Fontecchio,S. Fontecchio,,,,,Left Corner 3,24+ Left,202058.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2024-02-27T00:41:51.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628404,86.81011826544021,55.14705882352941,1610612752,0,0,2024-02-27T00:42:12Z,80000,False,26.0,71.0,1,right,MISS J. Hart 7' driving floating Shot,[1628404],1610612752.0,NYK,driving floating,,,Hart,J. Hart,,,,,In The Paint (Non-RA),0-8 Center,,,7.6,Missed,,,,,,,,,,,,,,,,
9,PT11M26.00S,2024-02-27T00:41:53.2Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612752,0,0,2024-02-27T00:41:58Z,90000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:0),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M24.00S,2024-02-27T00:41:54.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630173,93.77463863337714,49.50980392156863,1610612752,2,0,2024-02-27T00:42:00Z,100000,False,-2.0,6.0,1,right,P. Achiuwa putback Layup (2 PTS),[1630173],1610612752.0,NYK,putback,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,0.65,Made,,,,,2.0,,,,,,,,,,,
11,PT11M11.00S,2024-02-27T00:42:07.7Z,1,REGULAR,3pt,Jump Shot,[],1630595,31.35676741130092,24.019607843137255,1610612765,2,3,2024-02-27T00:42:11Z,110000,False,130.0,242.0,1,left,C. Cunningham 27' 3PT  (3 PTS) (J. Ivey 1 AST),"[1630595, 1631093]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,,,27.49,Made,,,,,3.0,J. Ivey,1631093.0,1.0,,,,,,,,
13,PT10M51.00S,2024-02-27T00:42:27.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,87.20433639947439,35.294117647058826,1610612752,4,3,2024-02-27T00:42:30Z,130000,False,-74.0,68.0,1,right,J. Brunson 10' pullup Jump Shot (2 PTS) (I. Hartenstein 1 AST),"[1628973, 1628392]",1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Left,,,10.0,Made,,,,,2.0,I. Hartenstein,1628392.0,1.0,,,,,,,,
15,PT10M40.00S,2024-02-27T00:42:38.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641709,10.5946123521682,35.049019607843135,1610612765,4,5,2024-02-27T00:42:43Z,150000,False,75.0,47.0,1,left,A. Thompson 8' turnaround bank Jump Shot (2 PTS) (C. Cunningham 1 AST),"[1641709, 1630595]",1610612765.0,DET,turnaround bank,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Right,,,8.84,Made,,,,,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,
18,PT10M22.00S,2024-02-27T00:43:04.9Z,1,REGULAR,turnover,out-of-bounds,[],1628973,,,1610612752,4,5,2024-02-27T00:43:12Z,180000,False,,,0,,J. Brunson bad pass out-of-bounds TURNOVER (1 TO),[1628973],1610612752.0,NYK,bad pass,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Right,202058.0,1.0,,,,,,,,,,,,,,,,,,
