actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-09T00:44:11.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-09T00:44:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-09T00:44:14.5Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2023-11-09T00:44:14Z,40000,False,,,0,,Jump Ball M. Robinson vs. V. Wembanyama: Tip to J. Brunson,"[1628973, 1629011, 1641705]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Robinson,1629011.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-11-09T00:44:28.7Z,1,REGULAR,3pt,Jump Shot,[],203944,95.87713534822602,96.07843137254902,1610612752,0,0,2023-11-09T00:44:36Z,70000,False,230.0,-14.0,1,right,MISS J. Randle 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Right Corner 3,24+ Right,23.08,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-11-09T00:44:30.7Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,0,0,2023-11-09T00:44:36Z,80000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2023-11-09T00:44:37.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641705,31.61957950065703,34.068627450980394,1610612759,0,0,2023-11-09T00:45:16Z,90000,False,80.0,245.0,1,left,MISS V. Wembanyama 25' running 3PT,[1641705],1610612759.0,SAS,running,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,25.74,Missed,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2023-11-09T00:44:39.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2023-11-09T00:44:43Z,100000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M26.00S,2023-11-09T00:44:46.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,93.11760840998686,44.36274509803921,1610612752,0,0,2023-11-09T00:44:53Z,110000,False,-28.0,12.0,1,right,MISS J. Randle driving Layup - blocked,"[203944, 1628380]",1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,3.07,Missed,,,,,Collins,1628380.0,,,,,,,,,,,,
12,PT11M26.00S,2023-11-09T00:44:46.5Z,1,REGULAR,block,,[],1628380,,,1610612752,0,0,2023-11-09T00:44:49Z,120000,False,,,0,,Z. Collins BLOCK (1 BLK),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M25.00S,2023-11-09T00:44:47.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,0,0,2023-11-09T00:44:53Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,11.0,,,,,,,,,,,,,,,,,
15,PT11M13.00S,2023-11-09T00:45:11.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629628,76.16622864651774,13.23529411764706,1610612752,3,0,2023-11-09T00:45:15Z,150000,False,-184.0,172.0,1,right,R. Barrett 25' 3PT  (3 PTS) (J. Brunson 1 AST),"[1629628, 1628973]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,25.14,Made,,,,,,,3.0,J. Brunson,1628973.0,1.0,,,,,,,,
