actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-27T20:11:08.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-27T20:11:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-01-27T20:11:12.8Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2024-01-27T20:11:12Z,40000,False,,,0,,Jump Ball B. Adebayo vs. I. Hartenstein: Tip to T. Herro,"[1629639, 1628389, 1628392]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Adebayo,1628389.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-01-27T20:11:27.5Z,1,REGULAR,3pt,Jump Shot,[],1629312,12.959921156373195,94.85294117647058,1610612748,0,0,2024-01-27T20:11:33Z,70000,False,-224.0,69.0,1,left,MISS H. Highsmith 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Left Corner 3,24+ Left,23.48,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-01-27T20:11:29.5Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,0,0,2024-01-27T20:11:33Z,80000,False,,,0,,J. Butler REBOUND (Off:1 Def:0),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Left Corner 3,24+ Left,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2024-01-27T20:11:30.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,6.389618922470433,50.245098039215684,1610612748,0,2,2024-01-27T20:11:35Z,90000,False,-1.0,8.0,1,left,J. Butler putback Layup (2 PTS),[202710],1610612748.0,MIA,putback,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,0.77,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M21.00S,2024-01-27T20:11:50.7Z,1,REGULAR,foul,personal,['2freethrow'],202710,,,1610612752,0,2,2024-01-27T20:12:02Z,100000,False,,,0,,J. Butler shooting personal FOUL (1 PF) (Brunson 2 FT),"[202710, 1628973]",1610612748.0,MIA,shooting,,,Butler,J. Butler,,,,,Mid-Range,8-16 Left,,,,,,,,201639.0,1.0,0.0,Brunson,1628973.0,,,,,,,,
12,PT11M21.00S,2024-01-27T20:12:21.1Z,1,REGULAR,freethrow,1 of 2,[],1628973,,,1610612752,1,2,2024-01-27T20:12:21Z,120000,False,,,0,,J. Brunson Free Throw 1 of 2 (1 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
13,PT11M21.00S,2024-01-27T20:12:40.7Z,1,REGULAR,freethrow,2 of 2,[],1628973,,,1610612752,2,2,2024-01-27T20:12:40Z,130000,False,,,0,,J. Brunson Free Throw 2 of 2 (2 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
14,PT11M04.00S,2024-01-27T20:12:58.7Z,1,REGULAR,3pt,Jump Shot,[],1629639,28.728646517739815,73.77450980392157,1610612748,2,5,2024-01-27T20:13:02Z,140000,False,-119.0,218.0,1,left,T. Herro 24' 3PT  (3 PTS) (H. Highsmith 1 AST),"[1629639, 1629312]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,24.79,Made,,,,,3.0,,,,,,H. Highsmith,1629312.0,1.0,,,,,
16,PT10M46.00S,2024-01-27T20:13:17.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628384,94.30026281208936,47.549019607843135,1610612752,4,5,2024-01-27T20:13:20Z,160000,False,-12.0,1.0,1,right,O. Anunoby DUNK (2 PTS) (J. Randle 1 AST),"[1628384, 203944]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1.23,Made,,,,,2.0,,,,,,J. Randle,203944.0,1.0,,,,,
18,PT10M24.00S,2024-01-27T20:13:40.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,7.703679369250986,47.05882352941176,1610612748,4,5,2024-01-27T20:13:47Z,180000,False,15.0,20.0,1,left,MISS T. Rozier driving finger roll Layup,[1626179],1610612748.0,MIA,driving finger roll,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,2.47,Missed,,,,,,,,,,,,,,,,,,
19,PT10M23.00S,2024-01-27T20:13:41.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,4,5,2024-01-27T20:13:47Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Restricted Area,0-8 Center,,,18.0,,,,,,,,,,,,,,,,,
20,PT10M23.00S,2024-01-27T20:13:46.1Z,1,REGULAR,foul,personal,[],1628392,,,1610612748,4,5,2024-01-27T20:13:54Z,200000,False,,,0,,I. Hartenstein loose ball personal FOUL (1 PF),"[1628392, 1628389]",1610612752.0,NYK,loose ball,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,202901.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,
