actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-04T01:40:35.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-04T01:40:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-04T01:40:38.8Z,1,REGULAR,jumpball,recovered,[],201942,,,1610612741,0,0,2024-01-04T01:40:38Z,40000,False,,,0,,Jump Ball A. Drummond vs. I. Hartenstein: Tip to D. DeRozan,"[201942, 203083, 1628392]",1610612741.0,CHI,startperiod,D. DeRozan,201942.0,DeRozan,D. DeRozan,Drummond,203083.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-01-04T01:40:50.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630172,94.1688567674113,51.470588235294116,1610612741,0,0,2024-01-04T01:40:55Z,70000,False,7.0,2.0,1,right,MISS P. Williams driving DUNK - blocked,"[1630172, 1628392]",1610612741.0,CHI,driving,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,0.77,Missed,Hartenstein,1628392.0,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-01-04T01:40:50.3Z,1,REGULAR,block,,[],1628392,,,1610612741,0,0,2024-01-04T01:40:52Z,80000,False,,,0,,I. Hartenstein BLOCK (1 BLK),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2024-01-04T01:40:52.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2024-01-04T01:40:55Z,90000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M36.00S,2024-01-04T01:40:58.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628384,5.863994743758213,94.85294117647058,1610612752,0,0,2024-01-04T01:41:06Z,100000,False,-224.0,3.0,1,left,MISS O. Anunoby 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,22.43,Missed,,,,,,,,,,,,,,,,,,
11,PT11M34.00S,2024-01-04T01:41:00.9Z,1,REGULAR,rebound,defensive,[],203083,,,1610612741,0,0,2024-01-04T01:41:06Z,110000,False,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Left Corner 3,24+ Left,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M23.00S,2024-01-04T01:41:11.1Z,1,REGULAR,2pt,Jump Shot,[],201942,84.05059132720105,21.568627450980394,1610612741,0,0,2024-01-04T01:41:15Z,120000,False,-142.0,97.0,1,right,MISS D. DeRozan 17' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left,17.24,Missed,,,,,,,,,,,,,,,,,,
13,PT11M21.00S,2024-01-04T01:41:13.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2024-01-04T01:41:15Z,130000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,16-24 Left,,,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,
14,PT11M07.00S,2024-01-04T01:41:27.4Z,1,REGULAR,3pt,Jump Shot,[],1628978,26.62614980289093,80.3921568627451,1610612752,0,0,2024-01-04T01:41:33Z,140000,False,-152.0,198.0,1,left,MISS D. DiVincenzo 24' 3PT,[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,24.95,Missed,,,,,,,,,,,,,,,,,,
