actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-23T17:41:27.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-23T17:41:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M51.00S,2023-12-23T17:41:35.5Z,1,REGULAR,jumpball,recovered,[],1627736,,,1610612749,0,0,2023-12-23T17:41:35Z,40000,False,,,0,,Jump Ball B. Lopez vs. I. Hartenstein: Tip to M. Beasley,"[1627736, 201572, 1628392]",1610612749.0,MIL,startperiod,M. Beasley,1627736.0,Beasley,M. Beasley,Lopez,201572.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-12-23T17:41:46.5Z,1,REGULAR,foul,personal,['2freethrow'],1628392,,,1610612749,0,0,2023-12-23T17:41:55Z,70000,False,,,0,,I. Hartenstein shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1628392, 203507]",1610612752.0,NYK,shooting,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,2534.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2023-12-23T17:42:22.8Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,0,1,2023-12-23T17:42:22Z,90000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M42.00S,2023-12-23T17:42:47.5Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,0,2,2023-12-23T17:42:47Z,100000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (2 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M28.00S,2023-12-23T17:43:03.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,8.886333771353483,50.73529411764706,1610612752,2,2,2023-12-23T17:43:06Z,110000,False,-4.0,31.0,1,left,J. Brunson driving floating Jump Shot (2 PTS) (D. DiVincenzo 1 AST),"[1628973, 1628978]",1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,3.12,D. DiVincenzo,1628978.0,1.0,,,,,,,,,
13,PT11M14.00S,2023-12-23T17:43:16.8Z,1,REGULAR,3pt,Jump Shot,[],1627736,93.11760840998686,2.450980392156863,1610612749,2,2,2023-12-23T17:43:23Z,130000,False,-238.0,12.0,1,right,MISS M. Beasley 3PT,[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Left Corner 3,24+ Left,,,,,,Missed,,23.8,,,,,,,,,,,,
14,PT11M12.00S,2023-12-23T17:43:18.8Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,2,2,2023-12-23T17:43:23Z,140000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT11M07.00S,2023-12-23T17:43:25.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628978,24.655059132720105,85.29411764705883,1610612752,2,2,2023-12-23T17:43:48Z,150000,False,-176.0,179.0,1,left,MISS D. DiVincenzo 25' running 3PT,[1628978],1610612752.0,NYK,running,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.16,,,,,,,,,,,,
16,PT11M03.00S,2023-12-23T17:43:29.2Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612749,2,2,2023-12-23T17:43:35Z,160000,False,,,0,,M. Beasley REBOUND (Off:0 Def:1),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
